model,name1,name2,metric,name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
GPT-4o base,GPT-4o,base,Accuracy,111,85.3,82.7,98.0,99.3,82.0,79.3,86.0,96.7,66.0,85.3,70.7,88.0,98.0,87.3,68.7,62.7
GPT-4o base,GPT-4o,base,Precision,121,91.7,50.9,93.1,100.0,96.2,96.9,95.7,83.3,98.7,92.8,88.7,95.7,87.5,96.6,63.5,51.0
GPT-4o base,GPT-4o,base,Recall,131,86.3,100.0,96.4,95.5,76.2,68.5,78.8,55.6,60.3,79.0,59.8,73.8,100.0,76.7,70.1,43.9
GPT-4o base,GPT-4o,base,F1,141,88.9,67.5,94.7,97.7,85.1,80.3,86.5,66.7,74.9,85.3,71.4,83.3,93.3,85.5,66.7,47.2
GPT-4o FT,GPT-4o,FT,Accuracy,112,92.0,96.7,98.7,99.3,82.7,90.7,92.7,96.7,74.0,87.3,84.7,90.7,98.0,90.7,86.0,80.7
GPT-4o FT,GPT-4o,FT,Precision,122,94.1,89.3,100.0,100.0,96.3,94.3,94.0,100.0,94.8,93.1,92.6,88.5,87.5,89.3,85.9,78.0
GPT-4o FT,GPT-4o,FT,Recall,132,94.1,92.6,92.9,95.5,77.2,90.2,92.9,44.4,73.0,82.7,81.5,88.5,100.0,91.8,82.1,68.4
GPT-4o FT,GPT-4o,FT,F1,142,94.1,90.9,96.3,97.7,85.7,92.2,93.5,61.5,82.5,87.6,86.7,88.5,93.3,90.5,84.0,72.9
GPT-4o FT+QSP,GPT-4o,FT+QSP,Accuracy,114,92.7,95.3,96.7,100.0,82.7,86.7,89.3,94.7,77.3,89.3,87.3,87.3,96.7,84.0,75.3,70.0
GPT-4o FT+QSP,GPT-4o,FT+QSP,Precision,124,94.2,85.7,87.1,100.0,94.1,88.3,89.7,60.0,96.0,93.3,92.0,85.0,83.3,79.5,76.8,64.3
GPT-4o FT+QSP,GPT-4o,FT+QSP,Recall,134,95.1,88.9,96.4,100.0,79.2,90.2,91.8,33.3,76.2,86.4,87.0,83.6,95.2,90.4,64.2,47.4
GPT-4o FT+QSP,GPT-4o,FT+QSP,F1,144,94.6,87.3,91.5,100.0,86.0,89.2,90.7,42.9,85.0,89.7,89.4,84.3,88.9,84.6,69.9,54.5
GPT-4o QSP,GPT-4o,QSP,Accuracy,113,86.7,76.7,95.3,99.3,82.7,84.0,88.0,92.7,70.7,86.7,78.0,91.3,96.0,88.0,71.3,62.0
GPT-4o QSP,GPT-4o,QSP,Precision,123,88.0,43.5,80.0,95.7,93.1,83.3,85.3,37.5,96.6,95.5,87.3,91.4,77.8,91.0,70.7,50.0
GPT-4o QSP,GPT-4o,QSP,Recall,133,93.1,100.0,100.0,100.0,80.2,92.4,95.3,33.3,67.5,79.0,75.0,86.9,100.0,83.6,61.2,29.8
GPT-4o QSP,GPT-4o,QSP,F1,143,90.5,60.7,88.9,97.8,86.2,87.6,90.0,35.3,79.4,86.5,80.7,89.1,87.5,87.1,65.6,37.4
Llama3.1-70B base,Llama3.1-70B,base,Accuracy,211,77.3,94.7,92.0,98.7,80.7,78.7,84.0,93.3,66.0,78.7,77.3,83.3,97.3,78.0,51.3,43.3
Llama3.1-70B base,Llama3.1-70B,base,Precision,221,91.5,77.1,71.1,100.0,96.2,87.5,88.6,40.0,96.3,98.0,86.2,87.5,87.0,77.0,47.5,36.5
Llama3.1-70B base,Llama3.1-70B,base,Recall,231,73.5,100.0,96.4,90.9,74.3,76.1,82.4,22.2,61.9,61.7,75.0,68.9,95.2,78.1,85.1,66.7
Llama3.1-70B base,Llama3.1-70B,base,F1,241,81.5,87.1,81.8,95.2,83.8,81.4,85.4,28.6,75.4,75.8,80.2,77.1,90.9,77.6,61.0,47.2
Llama3.1-70B FT,Llama3.1-70B,FT,Accuracy,212,82.7,95.3,94.7,98.7,79.3,85.3,86.0,95.3,70.0,85.3,79.3,84.0,97.3,85.3,72.7,70.7
Llama3.1-70B FT,Llama3.1-70B,FT,Precision,222,92.2,85.7,91.7,100.0,100.0,96.1,94.4,75.0,98.8,96.8,96.9,97.4,94.7,98.1,77.1,69.7
Llama3.1-70B FT,Llama3.1-70B,FT,Recall,232,81.4,88.9,78.6,90.9,69.3,79.3,80.0,33.3,65.1,75.3,68.5,62.3,85.7,71.2,55.2,40.4
