model,display_label,metric,value,ci_low,ci_high,confidence_level
GPT-4o FT,Accuracy,accuracy,90.25,89.04166666666666,91.41666666666667,0.95
GPT-4o FT,Precision,precision,92.06680584551148,90.37417239623122,93.73040752351098,0.95
GPT-4o FT,Recall,recall,84.8076923076923,82.64289529914531,86.9764408701928,0.95
GPT-4o FT,F1,f1,88.28828828828829,86.78677885073235,89.75617102556568,0.95
Llama3.1-70B FT,Accuracy,accuracy,85.33333333333334,83.95833333333333,86.70833333333333,0.95
Llama3.1-70B FT,Precision,precision,93.65482233502537,91.86034868196354,95.29875144318525,0.95
Llama3.1-70B FT,Recall,recall,70.96153846153847,68.25705939629991,73.7336291164468,0.95
Llama3.1-70B FT,F1,f1,80.74398249452955,78.77762212643678,82.69042069389482,0.95
Llama3.1-8B FT,Accuracy,accuracy,78.70833333333334,77.04166666666666,80.29166666666666,0.95
Llama3.1-8B FT,Precision,precision,88.16738816738817,85.81760425326641,90.54667372299132,0.95
Llama3.1-8B FT,Recall,recall,58.75,55.57533453618865,61.73670345170926,0.95
Llama3.1-8B FT,F1,f1,70.5135603000577,67.94252660144254,72.87502240896106,0.95
