samples,accuracy,precision,recall,f1,tp,tn,fp,fn,model,QID,Type,Question
150,0.853333333,0.916666667,0.862745098,0.888888889,88,40,8,14,GPT-4o base,1,Boolean,Does the paper report HIV sequences from patient samples?
150,0.92,0.941176471,0.941176471,0.941176471,96,42,6,6,GPT-4o FT,1,Boolean,Does the paper report HIV sequences from patient samples?
150,0.926666667,0.941747573,0.950980392,0.946341463,97,42,6,5,GPT-4o FT+QSP,1,Boolean,Does the paper report HIV sequences from patient samples?
150,0.866666667,0.87962963,0.931372549,0.904761905,95,35,13,7,GPT-4o QSP,1,Boolean,Does the paper report HIV sequences from patient samples?
150,0.773333333,0.914634146,0.735294118,0.815217391,75,41,7,27,Llama3.1-70B base,1,Boolean,Does the paper report HIV sequences from patient samples?
150,0.826666667,0.922222222,0.81372549,0.864583333,83,41,7,19,Llama3.1-70B FT,1,Boolean,Does the paper report HIV sequences from patient samples?
150,0.88,0.896226415,0.931372549,0.913461538,95,37,11,7,Llama3.1-70B FT+QSP,1,Boolean,Does the paper report HIV sequences from patient samples?
150,0.88,0.896226415,0.931372549,0.913461538,95,37,11,7,Llama3.1-70B QSP,1,Boolean,Does the paper report HIV sequences from patient samples?
150,0.82,0.931034483,0.794117647,0.857142857,81,42,6,21,Llama3.1-8B base,1,Boolean,Does the paper report HIV sequences from patient samples?
150,0.766666667,0.913580247,0.725490196,0.808743169,74,41,7,28,Llama3.1-8B FT,1,Boolean,Does the paper report HIV sequences from patient samples?
150,0.706666667,0.737704918,0.882352941,0.803571429,90,16,32,12,Llama3.1-8B FT+QSP,1,Boolean,Does the paper report HIV sequences from patient samples?
150,0.773333333,0.75,1,0.857142857,102,14,34,0,Llama3.1-8B QSP,1,Boolean,Does the paper report HIV sequences from patient samples?
150,0.826666667,0.509433962,1,0.675,27,97,26,0,GPT-4o base,2,Boolean,Does the paper report in vitro drug susceptibility data?
150,0.966666667,0.892857143,0.925925926,0.909090909,25,120,3,2,GPT-4o FT,2,Boolean,Does the paper report in vitro drug susceptibility data?
150,0.953333333,0.857142857,0.888888889,0.872727273,24,119,4,3,GPT-4o FT+QSP,2,Boolean,Does the paper report in vitro drug susceptibility data?
150,0.766666667,0.435483871,1,0.606741573,27,88,35,0,GPT-4o QSP,2,Boolean,Does the paper report in vitro drug susceptibility data?
150,0.946666667,0.771428571,1,0.870967742,27,115,8,0,Llama3.1-70B base,2,Boolean,Does the paper report in vitro drug susceptibility data?
150,0.953333333,0.857142857,0.888888889,0.872727273,24,119,4,3,Llama3.1-70B FT,2,Boolean,Does the paper report in vitro drug susceptibility data?
150,0.826666667,0.509433962,1,0.675,27,97,26,0,Llama3.1-70B FT+QSP,2,Boolean,Does the paper report in vitro drug susceptibility data?
150,0.826666667,0.509433962,1,0.675,27,97,26,0,Llama3.1-70B QSP,2,Boolean,Does the paper report in vitro drug susceptibility data?
150,0.873333333,0.590909091,0.962962963,0.732394366,26,105,18,1,Llama3.1-8B base,2,Boolean,Does the paper report in vitro drug susceptibility data?
150,0.94,0.875,0.777777778,0.823529412,21,120,3,6,Llama3.1-8B FT,2,Boolean,Does the paper report in vitro drug susceptibility data?
150,0.706666667,0.350877193,0.740740741,0.476190476,20,86,37,7,Llama3.1-8B FT+QSP,2,Boolean,Does the paper report in vitro drug susceptibility data?
150,0.753333333,0.421875,1,0.593406593,27,86,37,0,Llama3.1-8B QSP,2,Boolean,Does the paper report in vitro drug susceptibility data?
150,0.98,0.931034483,0.964285714,0.947368421,27,120,2,1,GPT-4o base,3,Boolean,Were sequences from the paper made publicly available?
150,0.986666667,1,0.928571429,0.962962963,26,122,0,2,GPT-4o FT,3,Boolean,Were sequences from the paper made publicly available?
150,0.966666667,0.870967742,0.964285714,0.915254237,27,118,4,1,GPT-4o FT+QSP,3,Boolean,Were sequences from the paper made publicly available?
150,0.953333333,0.8,1,0.888888889,28,115,7,0,GPT-4o QSP,3,Boolean,Were sequences from the paper made publicly available?
150,0.92,0.710526316,0.964285714,0.818181818,27,111,11,1,Llama3.1-70B base,3,Boolean,Were sequences from the paper made publicly available?
150,0.946666667,0.916666667,0.785714286,0.846153846,22,120,2,6,Llama3.1-70B FT,3,Boolean,Were sequences from the paper made publicly available?
150,0.953333333,0.818181818,0.964285714,0.885245902,27,116,6,1,Llama3.1-70B FT+QSP,3,Boolean,Were sequences from the paper made publicly available?
