variant,metric,model_a,model_b,raw_pvalue,bh_corrected_pvalue
base,Accuracy,GPT-4o base,Llama3.1-70B base,0.02613360703702765,0.03920041055554148
base,Accuracy,GPT-4o base,Llama3.1-8B base,0.001007080078125,0.003021240234375
base,Accuracy,Llama3.1-70B base,Llama3.1-8B base,0.2046732005310605,0.2046732005310605
base,Precision,GPT-4o base,Llama3.1-70B base,0.02136762869408051,0.04192472524566543
base,Precision,GPT-4o base,Llama3.1-8B base,0.02794981683044362,0.04192472524566543
base,Precision,Llama3.1-70B base,Llama3.1-8B base,0.4533889326262674,0.4533889326262674
base,Recall,GPT-4o base,Llama3.1-70B base,0.8563589864870352,0.8563589864870352
base,Recall,GPT-4o base,Llama3.1-8B base,0.001472296771329153,0.004416890313987459
base,Recall,Llama3.1-70B base,Llama3.1-8B base,0.02984575932785975,0.04476863899178962
base,F1,GPT-4o base,Llama3.1-70B base,0.07443137895800514,0.07443137895800514
base,F1,GPT-4o base,Llama3.1-8B base,0.001312255859375,0.003936767578125
base,F1,Llama3.1-70B base,Llama3.1-8B base,0.01863520888400527,0.0279528133260079
FT,Accuracy,GPT-4o FT,Llama3.1-70B FT,3.0517578125e-05,3.0517578125e-05
FT,Accuracy,GPT-4o FT,Llama3.1-8B FT,3.0517578125e-05,3.0517578125e-05
FT,Accuracy,Llama3.1-70B FT,Llama3.1-8B FT,3.0517578125e-05,3.0517578125e-05
FT,Precision,GPT-4o FT,Llama3.1-70B FT,0.7760323448046139,0.7760323448046139
FT,Precision,GPT-4o FT,Llama3.1-8B FT,0.1271571937400942,0.19073579061014131
FT,Precision,Llama3.1-70B FT,Llama3.1-8B FT,0.003199482998392444,0.009598448995177332
FT,Recall,GPT-4o FT,Llama3.1-70B FT,3.0517578125e-05,4.57763671875e-05
FT,Recall,GPT-4o FT,Llama3.1-8B FT,3.0517578125e-05,4.57763671875e-05
FT,Recall,Llama3.1-70B FT,Llama3.1-8B FT,6.103515625e-05,6.103515625e-05
FT,F1,GPT-4o FT,Llama3.1-70B FT,3.0517578125e-05,3.0517578125e-05
FT,F1,GPT-4o FT,Llama3.1-8B FT,3.0517578125e-05,3.0517578125e-05
FT,F1,Llama3.1-70B FT,Llama3.1-8B FT,3.0517578125e-05,3.0517578125e-05
QSP,Accuracy,GPT-4o QSP,Llama3.1-70B QSP,0.00475989564421327,0.00475989564421327
QSP,Accuracy,GPT-4o QSP,Llama3.1-8B QSP,0.001007080078125,0.0015106201171875
QSP,Accuracy,Llama3.1-70B QSP,Llama3.1-8B QSP,0.000152587890625,0.000457763671875
QSP,Precision,GPT-4o QSP,Llama3.1-70B QSP,0.00335693359375,0.00335693359375
QSP,Precision,GPT-4o QSP,Llama3.1-8B QSP,9.1552734375e-05,0.0001373291015625
QSP,Precision,Llama3.1-70B QSP,Llama3.1-8B QSP,3.0517578125e-05,9.1552734375e-05
QSP,Recall,GPT-4o QSP,Llama3.1-70B QSP,0.6048534511043099,0.6048534511043099
QSP,Recall,GPT-4o QSP,Llama3.1-8B QSP,0.1330799252012172,0.24358835646672
QSP,Recall,Llama3.1-70B QSP,Llama3.1-8B QSP,0.16239223764448,0.24358835646672
QSP,F1,GPT-4o QSP,Llama3.1-70B QSP,0.001312255859375,0.0019683837890625
QSP,F1,GPT-4o QSP,Llama3.1-8B QSP,0.00628662109375,0.00628662109375
QSP,F1,Llama3.1-70B QSP,Llama3.1-8B QSP,6.103515625e-05,0.00018310546875
