model,display_label,metric,value,ci_low,ci_high,confidence_level
GPT-4o QSP,Accuracy,accuracy,84.5,83.04166666666667,85.91666666666666,0.95
GPT-4o QSP,Precision,precision,83.46693386773548,81.067472306143,85.68665841689939,0.95
GPT-4o QSP,Recall,recall,80.09615384615385,77.64581419169306,82.5428855239866,0.95
GPT-4o QSP,F1,f1,81.7468105986261,79.86377132079232,83.53721716449772,0.95
Llama3.1-70B QSP,Accuracy,accuracy,87.20833333333333,85.875,88.5,0.95
Llama3.1-70B QSP,Precision,precision,87.90072388831437,85.77403700987793,89.91690278988666,0.95
Llama3.1-70B QSP,Recall,recall,81.73076923076923,79.30048407915453,83.97568859789955,0.95
Llama3.1-70B QSP,F1,f1,84.70353761833582,82.9416506122238,86.33310304081418,0.95
Llama3.1-8B QSP,Accuracy,accuracy,78.25,76.625,79.875,0.95
Llama3.1-8B QSP,Precision,precision,71.19476268412438,68.72493171263348,73.70561592042175,0.95
Llama3.1-8B QSP,Recall,recall,83.65384615384616,81.39969676023992,85.87262800297479,0.95
Llama3.1-8B QSP,F1,f1,76.92307692307693,75.00000000000001,78.8720479056552,0.95
