n,PMID,QID,Type,Question,Human Answer,Model Answer,quote_in_pdf,all_models_wrong,verdict,note
1,18715920,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,n/a,False,,
2,27124362,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,n/a,False,,
3,30803972,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,n/a,False,,
4,31988104,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,n/a,True,,
5,34516245,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,n/a,False,,
6,35945163,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,n/a,False,,
7,36660819,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,n/a,False,,
8,36706364,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,n/a,False,,
9,36931676,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,n/a,False,,
10,37052343,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,n/a,False,,
11,37071019,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,n/a,False,,
12,37701387,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,n/a,False,,
13,37872202,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,n/a,False,,
14,38005921,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,n/a,False,,
15,38090027,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,n/a,False,,
16,40872801,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,n/a,False,,
17,40938996,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,n/a,False,,
18,40965168,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,n/a,True,,
19,41056006,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,n/a,False,,
20,41093949,1,Boolean,Does the paper report HIV sequences from patient samples?,No (Published sequences only),Yes,n/a,False,,
21,23749954,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
22,36454248,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
23,36645792,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
24,36659824,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
25,36738248,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
26,36851704,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
27,36982978,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
28,37017009,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
29,37029656,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
30,37085698,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
31,37272233,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
32,37439411,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
33,37515095,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
34,37515146,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
35,37546367,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
36,37593123,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
37,37632026,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
38,37674678,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
39,37775947,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
40,37817087,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
41,37878637,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
42,37896860,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
43,37946329,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
44,37976080,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
