n,PMID,QID,Type,Question,Human Answer,Model Answer,quote_in_pdf,all_models_wrong,verdict,note
1,28559249,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,yes,False,,
2,31988104,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,yes,True,,
3,35913500,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,yes,False,,
4,37541705,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,yes,False,,
5,37554471,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,yes,False,,
6,37593123,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,NO,False,,
7,37701387,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,NO,False,,
8,37880705,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,NO,False,,
9,40965168,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,NO,True,,
10,36660819,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,NO,False,,
11,36967989,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,yes,False,,
12,37147875,2,Boolean,Does the paper report in vitro drug susceptibility data?,Yes,No,NO,False,,
13,40857111,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,yes,False,,
14,41056006,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,yes,False,,
15,37674678,3,Boolean,Were sequences from the paper made publicly available?,Yes,No,yes,False,,
16,37878637,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,NO,False,,
17,38005921,3,Boolean,Were sequences from the paper made publicly available?,Yes,No,NO,False,,
18,37878637,4,List,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported,"OR259781, OR259825, OR259851, OR259967",NO,False,,
19,38140553,4,List,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported,"Individual accession numbers not printed in the article; the paper states: ""All nucleotide sequences obtained in the study were deposited in the international database of the Los Alamos laboratory (Supplemental Table S4)""; Supplementary Table S4 is described as ""Access numbers of all analyzed HIV-1 sequences in the Los Alamos National Laboratory database (GenBank).""",yes,False,,
20,30053052,5,Number,How many individuals had samples obtained for HIV sequencing?,51,27,NO,False,,
21,31988104,5,Number,How many individuals had samples obtained for HIV sequencing?,0,14,NO,False,,
22,35913500,5,Number,How many individuals had samples obtained for HIV sequencing?,51,6,NO,True,,
23,35945163,5,Number,How many individuals had samples obtained for HIV sequencing?,6,35,NO,False,,
24,36597160,5,Number,How many individuals had samples obtained for HIV sequencing?,6,153,yes,False,,
25,36659824,5,Number,How many individuals had samples obtained for HIV sequencing?,14,112,NO,True,,
