model,Type,accuracy,precision,recall,f1
GPT-4o FT,Boolean,0.9,0.6666666666666666,0.6412698412698413,0.6455648926237162
GPT-4o FT,List,0.8625,0.9821428571428572,0.803125,0.8654838217338217
GPT-4o FT,Number,0.6,1.0,0.5555555555555556,0.7142857142857143
GPT-4o FT+QSP,Boolean,0.9000000000000001,0.6666666666666666,0.6412698412698413,0.6415966386554622
GPT-4o FT+QSP,List,0.8125,0.9665178571428572,0.7354166666666667,0.796099060253472
GPT-4o FT+QSP,Number,0.7,1.0,0.6666666666666666,0.8
GPT-4o QSP,Boolean,0.9285714285714286,0.7428571428571429,0.8571428571428571,0.7861319966583125
GPT-4o QSP,List,0.8,0.84375,0.6979166666666666,0.7318903318903319
GPT-4o QSP,Number,0.9,1.0,0.8888888888888888,0.9411764705882353
GPT-6 Astra QSP,Boolean,0.9428571428571428,0.7380952380952381,0.8571428571428571,0.780952380952381
GPT-6 Astra QSP,List,0.9,0.9265873015873016,0.946875,0.9292305046175016
GPT-6 Astra QSP,Number,0.5,1.0,0.4444444444444444,0.6153846153846153
GPT-6 Astra QSP (Q5 convention v2),Boolean,0.9571428571428572,0.8095238095238095,0.8571428571428571,0.8285714285714285
GPT-6 Astra QSP (Q5 convention v2),List,0.875,0.8953373015873016,0.921875,0.8974844728714698
GPT-6 Astra QSP (Q5 convention v2),Number,0.7,1.0,0.6666666666666666,0.8
GPT-6 Astra QSP (Q5 convention),Boolean,0.9142857142857144,0.8095238095238095,0.7841269841269841,0.788422035480859
GPT-6 Astra QSP (Q5 convention),List,0.9125,0.9642857142857143,0.896875,0.9207180611785875
GPT-6 Astra QSP (Q5 convention),Number,0.7,1.0,0.6666666666666666,0.8
GPT-6 Astra QSP (high effort),Boolean,0.9428571428571428,0.7380952380952381,0.8571428571428571,0.780952380952381
GPT-6 Astra QSP (high effort),List,0.9,0.9265873015873016,0.946875,0.9292305046175016
GPT-6 Astra QSP (high effort),Number,0.6,1.0,0.5555555555555556,0.7142857142857143
Kimi K3 QSP,Boolean,0.9714285714285714,0.8571428571428571,0.8571428571428571,0.8571428571428571
Kimi K3 QSP,List,0.9125000000000001,0.9347718253968254,0.946875,0.9373234533354502
Kimi K3 QSP,Number,0.8,1.0,0.7777777777777778,0.8750000000000001
