n,PMID,QID,Type,Question,Human Answer,Model Answer,quote_in_pdf,all_models_wrong,verdict,note
1,31988104,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,n/a,True,,
2,36659824,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,n/a,False,,
3,36982978,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,n/a,False,,
4,37340869,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,n/a,False,,
5,37541705,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,n/a,False,,
6,37701387,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,n/a,False,,
7,38005921,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,n/a,False,,
8,38140667,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,n/a,False,,
9,40713598,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,"HIV drug resistance (HIVDR) was retrospectively characterized among 20 children and adolescents with HIV with virologic failure on non-nucleoside reverse transcriptase inhibitor (NNRTI)-based therapy, and virologic response in those switched to dolutegravir (DTG)-based therapy described.",n/a,False,,
10,40872801,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes the paper reports HIV sequences from patient samples.,n/a,False,,
11,40965168,1,Boolean,Does the paper report HIV sequences from patient samples?,No,"Yes, the paper reports HIV-1 sequences from patient plasma samples.",n/a,True,,
12,41012586,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes (Only past sequences),"No, the study does not report HIV sequences from patient samples.",n/a,False,,
13,23749954,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
14,37147875,2,Boolean,Does the paper report in vitro drug susceptibility data?,Yes,No,n/a,False,,
15,37872202,2,Boolean,Does the paper report in vitro drug susceptibility data?,Yes,No,n/a,False,,
16,38005921,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
17,41129268,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,"Yes, the paper reports in vitro drug susceptibility data.",n/a,False,,
18,37279764,3,Boolean,Were sequences from the paper made publicly available?,Yes,No,n/a,False,,
19,37674678,3,Boolean,Were sequences from the paper made publicly available?,Yes,No,n/a,False,,
20,41029850,4,List,What were the GenBank accession numbers for sequenced HIV isolates?,"PQ893197, PQ893192, OQ985810, OR259747 and PQ893191 & submission ID: 2961867) ","PQ893197, PQ893192, OQ985810, OQ259747, and PQ893191.",n/a,False,,
21,35913500,5,Number,How many individuals had samples obtained for HIV sequencing?,51,0,n/a,True,,
22,35945163,5,Number,How many individuals had samples obtained for HIV sequencing?,6,35,n/a,False,,
