QID,Type,Question,hard,GPT-6 Astra QSP accuracy,GPT-6 Astra QSP accuracy delta vs GPT-4o FT,GPT-6 Astra QSP f1,GPT-6 Astra QSP f1 delta vs GPT-4o FT,Kimi K3 QSP accuracy,Kimi K3 QSP accuracy delta vs GPT-4o FT,Kimi K3 QSP f1,Kimi K3 QSP f1 delta vs GPT-4o FT,GPT-4o FT accuracy,GPT-4o FT f1,GPT-4o QSP accuracy,GPT-4o QSP f1,GPT-4o FT+QSP accuracy,GPT-4o FT+QSP f1
1,Boolean,Does the paper report HIV sequences from patient samples?,,0.9261744966442952,0.006711409395973034,0.945273631840796,0.004097161252560877,0.9395973154362416,0.020134228187919434,0.9556650246305418,0.014488554042306645,0.9194630872483222,0.9411764705882352,0.8657718120805369,0.9047619047619048,0.9261744966442952,0.946341463414634
2,Boolean,Does the paper report in vitro drug susceptibility data?,,0.9395973154362416,-0.0268456375838928,0.8474576271186441,-0.058202750239846446,0.9664429530201344,0.0,0.9090909090909092,0.0034305317324185847,0.9664429530201344,0.9056603773584906,0.7651006711409396,0.5977011494252873,0.953020134228188,0.8679245283018868
3,Boolean,Were sequences from the paper made publicly available?,,0.9798657718120806,-0.006711409395973034,0.9433962264150944,-0.018142235123367212,0.9798657718120806,-0.006711409395973034,0.9433962264150944,-0.018142235123367212,0.9865771812080536,0.9615384615384616,0.953020134228188,0.8852459016393442,0.9664429530201344,0.912280701754386
4,List,What were the GenBank accession numbers for sequenced HIV isolates?,,0.9865771812080536,-0.006711409395973256,0.9565217391304348,-0.020222446916076775,0.9865771812080536,-0.006711409395973256,0.9565217391304348,-0.020222446916076775,0.9932885906040269,0.9767441860465116,0.9932885906040269,0.9777777777777776,1.0,1.0
5,Number,How many individuals had samples obtained for HIV sequencing?,,0.7919463087248322,-0.04026845637583898,0.8208092485549133,-0.04106920448376061,0.8456375838926175,0.01342281879194629,0.8729281767955802,0.011049723756906271,0.8322147651006712,0.8618784530386739,0.8322147651006712,0.8663101604278076,0.8322147651006712,0.8648648648648648
6,List,From which countries were the sequenced samples obtained?,,0.8926174496644296,-0.02684563758389258,0.9111111111111112,-0.021473158551810423,0.8993288590604027,-0.020134228187919434,0.9171270718232044,-0.015457197839717218,0.9194630872483222,0.9325842696629216,0.8523489932885906,0.8854166666666667,0.8791946308724832,0.9021739130434784
7,List,From what years were the sequenced samples obtained?,,0.9395973154362416,0.0134228187919464,0.9447852760736196,0.00987403347006921,0.9463087248322148,0.020134228187919656,0.9523809523809524,0.01746970977740203,0.9261744966442952,0.9349112426035504,0.8791946308724832,0.9,0.8993288590604027,0.9132947976878611
8,Boolean,Were samples cloned prior to sequencing?,Cloning,0.9463087248322148,-0.02684563758389258,0.4285714285714285,-0.2857142857142858,0.9395973154362416,-0.033557046979865834,0.4,-0.3142857142857143,0.9731543624161074,0.7142857142857143,0.9328859060402684,0.4444444444444444,0.953020134228188,0.5333333333333333
9,List,Which HIV genes were reported to have been sequenced?,,0.8993288590604027,0.15436241610738255,0.9387755102040816,0.11150278293135418,0.906040268456376,0.1610738255033558,0.9426229508196722,0.1153502235469448,0.7449664429530202,0.8272727272727274,0.7114093959731543,0.7962085308056871,0.7785234899328859,0.852017937219731
10,List,What method was used for sequencing?,,0.959731543624161,0.053691275167785046,0.9634146341463417,0.05315822388993163,0.912751677852349,0.006711409395973034,0.9230769230769232,0.012820512820513219,0.906040268456376,0.91025641025641,0.8993288590604027,0.9006622516556291,0.9328859060402684,0.9375
11,List,What type of samples were sequenced?,,0.8859060402684564,0.033557046979865834,0.9090909090909092,0.03552769070010453,0.8859060402684564,0.033557046979865834,0.9090909090909092,0.03552769070010453,0.8523489932885906,0.8735632183908046,0.7785234899328859,0.8070175438596491,0.87248322147651,0.8938547486033519
12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,,0.8590604026845637,-0.046979865771812235,0.8396946564885497,-0.04555124515079456,0.9194630872483222,0.013422818791946178,0.9047619047619048,0.01951600312256052,0.906040268456376,0.8852459016393442,0.912751677852349,0.8907563025210085,0.87248322147651,0.8429752066115703
13,Boolean,Were the patients in the study in a clinical trial?,,0.959731543624161,-0.020134228187919545,0.8695652173913043,-0.06376811594202891,0.9731543624161074,-0.006711409395973145,0.9047619047619048,-0.02857142857142847,0.9798657718120806,0.9333333333333332,0.959731543624161,0.8750000000000001,0.9664429530201344,0.888888888888889
14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,,0.9194630872483222,0.013422818791946178,0.9178082191780822,0.012402813772676602,0.9328859060402684,0.026845637583892468,0.9324324324324323,0.02702702702702675,0.906040268456376,0.9054054054054056,0.8791946308724832,0.8714285714285713,0.8389261744966443,0.846153846153846
15,List,Which drug classes were received by individuals in the study before sample sequencing?,ARV drug classes,0.8926174496644296,0.033557046979865834,0.873015873015873,0.03332121652732334,0.912751677852349,0.05369127516778527,0.9037037037037036,0.06400904721515388,0.8590604026845637,0.8396946564885497,0.7114093959731543,0.6559999999999999,0.7516778523489933,0.6991869918699187
16,List,Which drugs were received by individuals in the study before sample sequencing?,ARV drugs,0.8859060402684564,0.08053691275167796,0.8495575221238938,0.12058555950707128,0.8791946308724832,0.0738255033557047,0.8448275862068966,0.11585562359007406,0.8053691275167785,0.7289719626168225,0.6174496644295302,0.3736263736263736,0.697986577181208,0.5454545454545454
