n,PMID,QID,Type,Human Answer,n_models_wrong,all_models_wrong,annotation_verdict,reason
1,18715920,1,Boolean,No,1,False,,
2,27124362,1,Boolean,No,1,False,,
3,28559249,1,Boolean,Yes,2,False,,
4,30803972,1,Boolean,No,1,False,,
5,31988104,1,Boolean,No,5,True,,
6,32601157,1,Boolean,No,1,False,,
7,34516245,1,Boolean,No,1,False,,
8,35913500,1,Boolean,No,2,False,,
9,35945163,1,Boolean,Yes,1,False,,
10,36659824,1,Boolean,Yes,1,False,,
11,36660819,1,Boolean,Yes,2,False,,
12,36706364,1,Boolean,Yes,2,False,,
13,36779485,1,Boolean,Yes,1,False,,
14,36795586,1,Boolean,No,1,False,,
15,36931676,1,Boolean,Yes,2,False,,
16,36982978,1,Boolean,No,1,False,,
17,37052343,1,Boolean,No,1,False,,
18,37071019,1,Boolean,No,1,False,,
19,37340869,1,Boolean,Yes,2,False,,
20,37541705,1,Boolean,Yes,4,False,,
21,37554471,1,Boolean,No,1,False,,
22,37593123,1,Boolean,Yes,2,False,,
23,37701387,1,Boolean,Yes,4,False,,
24,37872202,1,Boolean,No,1,False,,
25,37880705,1,Boolean,Yes,2,False,,
26,38005921,1,Boolean,No,2,False,,
27,38090027,1,Boolean,Yes,1,False,,
28,38140667,1,Boolean,No,2,False,,
29,40713598,1,Boolean,Yes,1,False,,
30,40872801,1,Boolean,No,3,False,,
31,40938996,1,Boolean,No,1,False,,
32,40965168,1,Boolean,No,5,True,,
33,41012586,1,Boolean,Yes (Only past sequences),2,False,,
34,41056006,1,Boolean,Yes,1,False,,
35,41091504,1,Boolean,No,1,False,,
36,41093949,1,Boolean,No (Published sequences only),1,False,,
37,23749954,2,Boolean,No,2,False,,
38,29373677,2,Boolean,Yes,1,False,,
39,36454248,2,Boolean,No,1,False,,
40,36645792,2,Boolean,No,1,False,,
41,36659824,2,Boolean,No,1,False,,
42,36660819,2,Boolean,No,2,False,,
43,36738248,2,Boolean,No,1,False,,
44,36851704,2,Boolean,No,1,False,,
45,36967989,2,Boolean,No,2,False,,
46,36982978,2,Boolean,No,2,False,,
47,37017009,2,Boolean,No,1,False,,
48,37029656,2,Boolean,No,1,False,,
49,37085698,2,Boolean,No,1,False,,
50,37147875,2,Boolean,Yes,3,False,,
51,37272233,2,Boolean,No,1,False,,
52,37340869,2,Boolean,No,1,False,,
53,37439411,2,Boolean,No,1,False,,
54,37515095,2,Boolean,No,1,False,,
55,37515146,2,Boolean,No,1,False,,
56,37546367,2,Boolean,No,1,False,,
57,37593123,2,Boolean,No,1,False,,
58,37626789,2,Boolean,No,1,False,,
59,37632026,2,Boolean,No,1,False,,
60,37674678,2,Boolean,No,1,False,,
61,37775947,2,Boolean,No,1,False,,
62,37817087,2,Boolean,No,1,False,,
