model,QID,fixed,broken,both_wrong
GPT-6 Astra QSP,1,8,7,4
GPT-6 Astra QSP,2,3,7,2
GPT-6 Astra QSP,3,1,2,1
GPT-6 Astra QSP,4,1,2,0
GPT-6 Astra QSP,5,12,18,13
GPT-6 Astra QSP,6,8,12,4
GPT-6 Astra QSP,7,7,5,4
GPT-6 Astra QSP,8,1,5,3
GPT-6 Astra QSP,9,31,8,7
GPT-6 Astra QSP,10,11,3,3
GPT-6 Astra QSP,11,13,8,9
GPT-6 Astra QSP,12,10,17,4
GPT-6 Astra QSP,13,0,3,3
GPT-6 Astra QSP,14,9,7,5
GPT-6 Astra QSP,15,17,12,4
GPT-6 Astra QSP,16,23,11,6
Kimi K3 QSP,1,8,5,4
Kimi K3 QSP,2,4,4,1
Kimi K3 QSP,3,1,2,1
Kimi K3 QSP,4,1,2,0
Kimi K3 QSP,5,12,10,13
Kimi K3 QSP,6,7,10,5
Kimi K3 QSP,7,7,4,4
Kimi K3 QSP,8,1,6,3
Kimi K3 QSP,9,31,7,7
Kimi K3 QSP,10,9,8,5
Kimi K3 QSP,11,14,9,8
Kimi K3 QSP,12,10,8,4
Kimi K3 QSP,13,1,2,2
Kimi K3 QSP,14,9,5,5
Kimi K3 QSP,15,17,9,4
Kimi K3 QSP,16,22,11,7
