Model,PMID,QID,Type,Question,Human Answer,Model Answer,annotation_verdict,verdict,note
GPT-6 Astra QSP,26311878,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,ok,model error,
GPT-6 Astra QSP,27009474,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,ok,model error,
GPT-6 Astra QSP,27009474,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI",None,ok,model error,
GPT-6 Astra QSP,27009474,16,List,Which drugs were received by individuals in the study before sample sequencing?,"Tenofovir, Emtricitabine, Elvitegravir",None,ok,model error,
GPT-6 Astra QSP,27124362,9,List,Which HIV genes were reported to have been sequenced?,Not reported,RT,ok,model error,
GPT-6 Astra QSP,28559249,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
GPT-6 Astra QSP,30053052,5,Number,How many individuals had samples obtained for HIV sequencing?,51,27,ok,model error,
GPT-6 Astra QSP,30053052,8,Boolean,Were samples cloned prior to sequencing?,No,Yes,ok,model error,
GPT-6 Astra QSP,30803972,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-6 Astra QSP,30803972,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,ok,model error,
GPT-6 Astra QSP,31988104,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,31988104,11,List,What type of samples were sequenced?,Not reported,Plasma,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,31988104,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,31988104,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,14,Yes,unanswerable,annotation/convention,unanswerable: Boolean question annotated '14'
GPT-6 Astra QSP,31988104,5,Number,How many individuals had samples obtained for HIV sequencing?,0,14,ok,model error,
GPT-6 Astra QSP,31988104,8,Boolean,Were samples cloned prior to sequencing?,No,Yes,ok,model error,
GPT-6 Astra QSP,33855437,5,Number,How many individuals had samples obtained for HIV sequencing?,6,5357,ok,annotation/convention,R6 QID 5 denominator: both 5357 and 6 are stated in the paper
GPT-6 Astra QSP,34516245,8,Boolean,Were samples cloned prior to sequencing?,Yes,Not applicable,ok,model error,
GPT-6 Astra QSP,35730213,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, INSTI",None,ok,model error,
GPT-6 Astra QSP,35730213,16,List,Which drugs were received by individuals in the study before sample sequencing?,"EFV, DTG, TDF, 3TC",None,ok,model error,
GPT-6 Astra QSP,35913500,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,ok,model error,
