n,PMID,QID,Type,Question,Human Answer,Model Answer,quote_in_pdf,all_models_wrong,verdict,note
1,31988104,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,n/a,True,,
2,32601157,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,n/a,False,,
3,36660819,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,n/a,False,,
4,36706364,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,n/a,False,,
5,37340869,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,n/a,False,,
6,37541705,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,n/a,False,,
7,38140667,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,n/a,False,,
8,40872801,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,n/a,False,,
9,40965168,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,n/a,True,,
10,41012586,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes (Only past sequences),No,n/a,False,,
11,41091504,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,n/a,False,,
12,29373677,2,Boolean,Does the paper report in vitro drug susceptibility data?,Yes,No,n/a,False,,
13,37626789,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
14,37872202,2,Boolean,Does the paper report in vitro drug susceptibility data?,Yes,No,n/a,False,,
15,38005921,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
16,38427738,2,Boolean,Does the paper report in vitro drug susceptibility data?,Yes,No,n/a,False,,
17,40857111,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
18,41088231,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
19,37674678,3,Boolean,Were sequences from the paper made publicly available?,Yes,No,n/a,False,,
20,37878637,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,n/a,False,,
21,37880705,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,n/a,False,,
22,37973713,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,n/a,False,,
23,38314093,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,n/a,False,,
24,30053052,5,Number,How many individuals had samples obtained for HIV sequencing?,51,24,n/a,False,,
25,35913500,5,Number,How many individuals had samples obtained for HIV sequencing?,51,0,n/a,True,,
26,35945163,5,Number,How many individuals had samples obtained for HIV sequencing?,6,35,n/a,False,,
27,36659824,5,Number,How many individuals had samples obtained for HIV sequencing?,14,112,n/a,True,,
28,36660819,5,Number,How many individuals had samples obtained for HIV sequencing?,8 and 10,0,n/a,True,,
29,36738248,5,Number,How many individuals had samples obtained for HIV sequencing?,527,607,n/a,False,,
30,36931676,5,Number,How many individuals had samples obtained for HIV sequencing?,0,13029,n/a,False,,
31,37340869,5,Number,How many individuals had samples obtained for HIV sequencing?,1651,Not reported,n/a,False,,
32,37554471,5,Number,How many individuals had samples obtained for HIV sequencing?,1,0,n/a,False,,
33,37593123,5,Number,How many individuals had samples obtained for HIV sequencing?,57902,67939,n/a,False,,
34,37626789,5,Number,How many individuals had samples obtained for HIV sequencing?,551,554,n/a,True,,
35,37701387,5,Number,How many individuals had samples obtained for HIV sequencing?,0 or 30,30,n/a,False,,
36,37993493,5,Number,How many individuals had samples obtained for HIV sequencing?,33,600,n/a,False,,
37,38020274,5,Number,How many individuals had samples obtained for HIV sequencing?,311,271,n/a,False,,
38,38033131,5,Number,How many individuals had samples obtained for HIV sequencing?,0,492,n/a,False,,
39,38090027,5,Number,How many individuals had samples obtained for HIV sequencing?,5,Not reported,n/a,False,,
40,40391923,5,Number,How many individuals had samples obtained for HIV sequencing?,227,488,n/a,True,,
41,40400229,5,Number,How many individuals had samples obtained for HIV sequencing?,47,54,n/a,False,,
42,40431742,5,Number,How many individuals had samples obtained for HIV sequencing?,1677,1667,n/a,False,,
43,40857111,5,Number,How many individuals had samples obtained for HIV sequencing?,7 (Uncertain),208,n/a,True,,
44,40872801,5,Number,How many individuals had samples obtained for HIV sequencing?,0 (Review paper),9685,n/a,False,,
45,40938120,5,Number,How many individuals had samples obtained for HIV sequencing?,1048,1260,n/a,False,,
46,40965168,5,Number,How many individuals had samples obtained for HIV sequencing?,0,24,n/a,True,,
47,41056006,5,Number,How many individuals had samples obtained for HIV sequencing?,10,182,n/a,True,,
