PMID,QID,question,evidence,rationale,answer
18715920,1,Does the paper report HIV sequences from patient samples?,"The paper states that ""viral RNA was extracted from culture supernatant or virus stock using a NucliSens easyMAG apparatus"", ""cDNA encoding reverse transcriptase and IN was generated with Expand Reverse Transcriptase"", and ""PCR products were genotyped by automated population-based full-sequence analysis (ABI Prism BigDye Terminator cycle sequencing)"".","The paper mentions the extraction of viral RNA from culture supernatant or virus stock, which suggests that the sequences were obtained from patient samples. Additionally, the paper describes the generation of cDNA encoding reverse transcriptase and IN, which implies that the sequences were obtained from patient samples. Finally, the paper mentions the use of automated population-based full-sequence analysis, which is a common method for sequencing HIV from patient samples.",Yes
18715920,2,Does the paper report in vitro drug susceptibility data?,"The paper states that ""the inhibition of HIV replication was quantified by measuring EGFP fluorescence, and expressed as the inhibitor concentration required for 50% inhibition of HIV-1 replication in cell culture (EC50)"", and ""the cytotoxicity of inhibitors was determined in parallel on mock-infected MT4-CMV-EGFP cells"".","The paper mentions the use of EGFP fluorescence to quantify the inhibition of HIV replication, which suggests that the paper reports in vitro drug susceptibility data. Additionally, the paper describes the determination of cytotoxicity, which is a common method for assessing the susceptibility of HIV to antiretroviral drugs.",Yes
18715920,3,Were sequences from the paper made publicly available?,"The paper states that ""viral RNA was extracted from culture supernatant or virus stock using a NucliSens easyMAG apparatus"", but does not mention the submission of sequences to a public database.","The paper does not mention the submission of sequences to a public database, such as GenBank, which suggests that the sequences may not have been made publicly available.",No
18715920,4,What were the GenBank accession numbers for sequenced HIV isolates?,The paper does not mention GenBank accession numbers for sequenced HIV isolates.,The paper does not provide any information about GenBank accession numbers for sequenced HIV isolates.,Not reported
18715920,5,How many individuals had samples obtained for HIV sequencing?,"The paper states that ""MT4 cells were infected with HIV-1 (IIIB, HXB2D, selected viruses, or site-directed mutant strains; multiplicity of infection of 0.0025)"" and ""cells were evaluated microscopically for HIV-induced CPE, and viral p24 levels were determined daily in cell-free supernatant"".",The paper does not provide any information about the number of individuals from whom samples were obtained for HIV sequencing.,Not reported
18715920,6,From which countries were the sequenced samples obtained?,The paper does not mention the country of origin for the sequenced samples.,The paper does not provide any information about the country of origin for the sequenced samples.,Not reported
18715920,7,From what years were the sequenced samples obtained?,The paper does not mention the year in which the sequenced samples were obtained.,The paper does not provide any information about the year in which the sequenced samples were obtained.,Not reported
18715920,8,Were samples cloned prior to sequencing?,"The paper states that ""amplicons were cloned and sequenced"" and ""PCR products were genotyped by automated population-based full-sequence analysis (ABI Prism BigDye Terminator cycle sequencing)"".","The paper mentions the cloning of amplicons prior to sequencing, which suggests that the samples were cloned prior to sequencing.",Yes
18715920,9,Which HIV genes were reported to have been sequenced?,"The paper states that ""cDNA encoding reverse transcriptase and IN was generated with Expand Reverse Transcriptase"" and ""PCR products were genotyped by automated population-based full-sequence analysis (ABI Prism BigDye Terminator cycle sequencing)"".","The paper mentions the generation of cDNA encoding reverse transcriptase and IN, which suggests that the sequences were obtained from the pol gene.",Pol
18715920,10,What method was used for sequencing?,"The paper states that ""PCR products were genotyped by automated population-based full-sequence analysis (ABI Prism BigDye Terminator cycle sequencing)"".","The paper mentions the use of ABI Prism BigDye Terminator cycle sequencing, which is a type of Sanger sequencing.",Sanger sequencing
