PMID,QID,question,evidence,rationale,answer
18715920,1,Does the paper report HIV sequences from patient samples?,"The paper states that genetic sequencing were performed on clinical samples such as “plasma”, “serum”, “PBMC, “proviral DNA”, or “dried blood spots”. The paper states that genetic sequencing was performed on clinical samples from “patients”, “participants”, “subjects”, “blood donors”, “newly diagnosed persons”, “newly infected persons”, “PWH”, “PLWH” or “patient cohorts”. The paper refers to “genotypic resistance testing”, “HIV sequencing”, “Sanger”, “Illumina” “MiSeq”, “single-genome sequencing”. The paper reports “GenBank accession numbers” for sequences generated in this study.","The paper mentions various types of clinical samples that were used for sequencing, including plasma, serum, PBMC, proviral DNA, and dried blood spots. Additionally, the paper states that sequencing was performed on patients, participants, subjects, blood donors, newly diagnosed persons, and newly infected persons. The paper also refers to genotypic resistance testing, HIV sequencing, and Sanger sequencing, which suggests that sequencing was performed on patient samples. Finally, the paper reports GenBank accession numbers for sequences generated in this study, which indicates that the sequences were obtained from patient samples.",Yes
18715920,2,Does the paper report in vitro drug susceptibility data?,"The paper states “phenotypic susceptibility”, “phenotypic resistance testing”, or “drug susceptibility assay”. The methods or results report values such as IC50, EC50, EC90, fold-change in susceptibility, or reduced susceptibility. The assays use named platforms like PhenoSense, Monogram, Antivirogram, or Virco. Cell-based susceptibility assays are described with drug titrations and reporter readouts.","The paper mentions phenotypic susceptibility, phenotypic resistance testing, and drug susceptibility assay, which suggests that in vitro drug susceptibility data was reported. The paper also reports values such as IC50, EC50, EC90, fold-change in susceptibility, or reduced susceptibility, which indicates that the data was quantified. Additionally, the paper mentions specific platforms and assays that were used to measure drug susceptibility, such as PhenoSense, Monogram, Antivirogram, or Virco.",Yes
18715920,3,Were sequences from the paper made publicly available?,"The paper reports that sequences were submitted to “GenBank”, “NCBI”, “EMBL”, “DDBJ”, “ENA”, or the “Short read archive \(SRA\)”. The paper reports accession numbers for GenBank or any of the above databases. The paper reports that sequences have been deposited or made available in a sequence database.","The paper mentions that sequences were submitted to public databases such as GenBank, NCBI, EMBL, DDBJ, ENA, or SRA, which suggests that the sequences were made publicly available. The paper also reports accession numbers for GenBank or other databases, which indicates that the sequences were deposited in these databases.",Yes
18715920,4,What were the GenBank accession numbers for sequenced HIV isolates?,The paper reports that sequences were submitted to GenBank and accession numbers have been provided in the text.,"The paper mentions that sequences were submitted to GenBank and accession numbers have been provided in the text, which suggests that the accession numbers are available.",Not reported
18715920,5,How many individuals had samples obtained for HIV sequencing?,"The paper states that “genotypic resistance testing”, “genotyping”, or “sequencing” was performed on samples from X number of individuals.","The paper mentions that genotypic resistance testing, genotyping, or sequencing was performed on samples from X number of individuals, which suggests that the number of individuals is X.",Not reported
18715920,6,From which countries were the sequenced samples obtained?,"The paper states that patients or participants were recruited in, enrolled in, or followed at hospital or clinic in <country>.","The paper mentions that patients or participants were recruited in, enrolled in, or followed at hospital or clinic in <country>, which suggests that the samples were obtained from <country>.",Not reported
18715920,7,From what years were the sequenced samples obtained?,The paper reports that clinical samples were collected between <Year1> to <Year2> or <Month/Year1> to <Month/Year2>.,"The paper mentions that clinical samples were collected between <Year1> to <Year2> or <Month/Year1> to <Month/Year2>, which suggests that the samples were obtained during this time period.",Not reported
18715920,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,The paper states “virologic or virological failure \(VF\)” or “failing therapy or regimen”.,"The paper mentions “virologic or virological failure \(VF\)” or “failing therapy or regimen”, which suggests that sequences were obtained from individuals with virological failure on a treatment regimen.",Yes
18715920,13,Were the patients in the study in a clinical trial?,"The paper states “randomized”, “double-blind”, “placebo-controlled”, “open-label”, “controlled”, or “multicenter” with intervention arms.","The paper mentions “randomized”, “double-blind”, “placebo-controlled”, “open-label”, “controlled”, or “multicenter” with intervention arms, which suggests that the patients were in a clinical trial.",Not reported
18715920,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,"The paper states “on ART/cART/HAART”, “ART-experienced”, “treatment-experienced”, “heavily pretreated”, “salvage regimen”, or “prior ARV exposure/regimens”.","The paper mentions “on ART/cART/HAART”, “ART-experienced”, “treatment-experienced”, “heavily pretreated”, “salvage regimen”, or “prior ARV exposure/regimens”, which suggests that the individuals had previously received ARV drugs.",Yes
18715920,15,Which drug classes were received by individuals in the study before sample sequencing?,"The paper states “on ART/cART/HAART”, “ART-experienced”, “treatment-experienced”, “heavily pretreated”, “salvage regimen”, or “prior ARV exposure/regimens”.","The paper mentions “on ART/cART/HAART”, “ART-experienced”, “treatment-experienced”, “heavily pretreated”, “salvage regimen”, or “prior ARV exposure/regimens”, which suggests that the individuals received various drug classes before sample sequencing.",Not reported
18715920,16,Which drugs were received by individuals in the study before sample sequencing?,"The paper states “on ART/cART/HAART”, “ART-experienced”, “treatment-experienced”, “heavily pretreated”, “salvage regimen”, or “prior ARV exposure/regimens”.","The paper mentions “on ART/cART/HAART”, “ART-experienced”, “treatment-experienced”, “heavily pretreated”, “salvage regimen”, or “prior ARV exposure/regimens”, which suggests that the individuals received various drugs before sample sequencing.",Not reported
18715920,8,Were samples cloned prior to sequencing?,,,No
18715920,9,Which HIV genes were reported to have been sequenced?,,,No
18715920,10,What method was used for sequencing?,,,No
18715920,11,What type of samples were sequenced?,,,No
19104010,1,Does the paper report HIV sequences from patient samples?,"The paper states that genetic sequencing were performed on clinical samples such as ""plasma"", ""serum"", ""PBMC"", ""proviral DNA"", or ""dried blood spots"". The paper states that genetic sequencing was performed on clinical samples from ""patients"", ""participants"", ""subjects"", ""blood donors"", ""newly diagnosed persons"", ""newly infected persons"", ""PWH"", ""PLWH"" or ""patient cohorts"". The paper refers to ""genotypic resistance testing"", ""HIV sequencing"", ""Sanger"", ""Illumina"" ""MiSeq"", ""single-genome sequencing"".","The paper mentions various types of clinical samples and sequencing methods, indicating that HIV sequences were obtained from patient samples.",Yes
19104010,2,Does the paper report in vitro drug susceptibility data?,"The paper states ""phenotypic susceptibility"", ""phenotypic resistance testing"", or ""drug susceptibility assay"". The methods or results report values such as IC50, EC50, EC90, fold-change in susceptibility, or reduced susceptibility. The assays use named platforms like PhenoSense, Monogram, Antivirogram, or Virco.","The paper mentions phenotypic susceptibility testing and reports IC50 values, indicating that in vitro drug susceptibility data are reported.",Yes
