pmid,qid,question,chunk_ids,sections,scores,embedding_model
40391923,1,Does the paper report HIV sequences from patient samples?,13|2|10|3|9,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION,0.5036|0.4837|0.4764|0.4313|0.4258,text-embedding-3-small
40391923,10,What method was used for sequencing?,3|2|6|13|10,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION,0.3685|0.2979|0.2761|0.2685|0.2683,text-embedding-3-small
40391923,11,What type of samples were sequenced?,3|2|13|10|6,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS,0.3841|0.3442|0.3237|0.3048|0.2865,text-embedding-3-small
40391923,12,How many individuals had samples obtained for HIV sequencing?,2|3|13|10|4,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS,0.5381|0.5334|0.4832|0.4710|0.4423,text-embedding-3-small
40391923,13,Were the patients in the study in a clinical trial?,3|13|12|2|10,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Supplementary Data|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION,0.4017|0.3994|0.3748|0.3703|0.3530,text-embedding-3-small
40391923,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,10|2|3|13|7,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION,0.5349|0.5167|0.5130|0.5043|0.4901,text-embedding-3-small
40391923,15,Which drug classes were received by individuals in the study before sample sequencing?,3|6|5|2|10,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION,0.5017|0.4597|0.4567|0.4378|0.4249,text-embedding-3-small
40391923,16,Which drugs were received by individuals in the study before sample sequencing?,3|6|2|13|5,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS,0.5087|0.4519|0.4490|0.4416|0.4407,text-embedding-3-small
40391923,2,Does the paper report in vitro drug susceptibility data?,10|2|7|13|9,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION,0.4804|0.4658|0.4647|0.4484|0.4472,text-embedding-3-small
40391923,3,What were the GenBank accession numbers for sequenced HIV isolates?,2|13|4|10|11,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION,0.5179|0.4764|0.4664|0.4506|0.4342,text-embedding-3-small
