pmid,qid,question,chunk_ids,sections,scores
18715920,1,Does the paper report HIV sequences from patient samples?,3|12|7|23|6,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Cells and viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Automated in vitro selection of EVG-resistant viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Classical in vitro selection experiments.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.,5.4321|4.1385|3.6531|3.5089|3.4277
18715920,10,What method was used for sequencing?,12|8|6|3|7,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Automated in vitro selection of EVG-resistant viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Automated in vitro selection experiments in 96-well plates.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Cells and viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Classical in vitro selection experiments.,5.0478|4.9094|4.3180|3.6971|3.0525
18715920,11,What type of samples were sequenced?,27|7|11|20|12,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Classical in vitro selection experiments.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Classical in vitro selection of EVG-resistant viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Replication kinetics of mutant HIV-1 viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Automated in vitro selection of EVG-resistant viruses.,4.7804|3.2292|3.2213|2.9931|2.5072
18715920,12,How many individuals had samples obtained for HIV sequencing?,3|7|19|6|12,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Cells and viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Classical in vitro selection experiments.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Confirmation of primary resistance mutations.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Automated in vitro selection of EVG-resistant viruses.,6.3565|4.8724|3.6471|3.4323|3.3367
18715920,13,Were the patients in the study in a clinical trial?,22|19|12|26|27,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Confirmation of primary resistance mutations.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Automated in vitro selection of EVG-resistant viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION,5.5551|4.2937|3.9769|3.7443|3.2280
18715920,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,26|22|3|1|23,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Cells and viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > Abstract|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION,5.7112|5.6878|5.4321|4.3568|3.5089
18715920,15,Which drug classes were received by individuals in the study before sample sequencing?,22|6|4|3|19,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Generation of the SDM virus stocks.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Cells and viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Confirmation of primary resistance mutations.,7.4717|6.7056|5.7487|4.3585|4.3526
18715920,16,Which drugs were received by individuals in the study before sample sequencing?,6|22|3|19|4,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Cells and viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Confirmation of primary resistance mutations.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Generation of the SDM virus stocks.,6.7056|4.9735|4.3585|4.3526|3.8951
18715920,2,Does the paper report in vitro drug susceptibility data?,23|26|12|13|29,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Automated in vitro selection of EVG-resistant viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION,5.3323|5.0741|3.6498|3.2849|3.1243
18715920,3,What were the GenBank accession numbers for sequenced HIV isolates?,11|13|22|1|5,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Classical in vitro selection of EVG-resistant viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > Abstract|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Antiviral assays.,3.3307|2.7215|2.1662|1.9879|1.9521
18715920,4,What were the GenBank accession numbers for sequenced HIV isolates?,11|13|22|1|5,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Classical in vitro selection of EVG-resistant viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > Abstract|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Antiviral assays.,3.3307|2.7215|2.1662|1.9879|1.9521
18715920,5,From which countries were the sequenced samples obtained?,7|23|11|2|12,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Classical in vitro selection experiments.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Classical in vitro selection of EVG-resistant viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Antiviral compounds.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Automated in vitro selection of EVG-resistant viruses.,5.9761|4.3809|4.2268|3.8535|3.4576
18715920,6,From which countries were the sequenced samples obtained?,7|23|11|2|12,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Classical in vitro selection experiments.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Classical in vitro selection of EVG-resistant viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Antiviral compounds.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Automated in vitro selection of EVG-resistant viruses.,5.9761|4.3809|4.2268|3.8535|3.4576
