pmid,qid,question,chunk_ids,sections,scores,embedding_model
18715920,1,Does the paper report HIV sequences from patient samples?,6|20|3|10|1,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Replication kinetics of mutant HIV-1 viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Cells and viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Replication kinetics of SDMs and selected HIV-1 strains.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > Abstract,0.5442|0.4792|0.4687|0.4635|0.4481,text-embedding-3-small
18715920,10,What method was used for sequencing?,6|8|9|23|3,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Automated in vitro selection experiments in 96-well plates.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Automated in vitro selection experiments in 96-well plates.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Cells and viruses.,0.3709|0.3706|0.3657|0.3594|0.3544,text-embedding-3-small
18715920,11,What type of samples were sequenced?,6|3|17|7|27,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Cells and viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Confirmation of primary resistance mutations.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Classical in vitro selection experiments.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION,0.3890|0.3674|0.3257|0.3175|0.3163,text-embedding-3-small
18715920,12,How many individuals had samples obtained for HIV sequencing?,6|10|3|17|15,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Replication kinetics of SDMs and selected HIV-1 strains.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Cells and viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Confirmation of primary resistance mutations.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.,0.5915|0.5116|0.5004|0.5000|0.4991,text-embedding-3-small
18715920,13,Were the patients in the study in a clinical trial?,27|19|6|14|13,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Confirmation of primary resistance mutations.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.,0.3476|0.3434|0.3345|0.3335|0.3306,text-embedding-3-small
18715920,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,6|20|13|12|17,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Replication kinetics of mutant HIV-1 viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Automated in vitro selection of EVG-resistant viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Confirmation of primary resistance mutations.,0.5479|0.5084|0.4837|0.4733|0.4667,text-embedding-3-small
18715920,15,Which drug classes were received by individuals in the study before sample sequencing?,6|2|13|14|25,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Antiviral compounds.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION,0.4351|0.4315|0.4042|0.4005|0.3962,text-embedding-3-small
18715920,16,Which drugs were received by individuals in the study before sample sequencing?,6|2|15|17|13,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Antiviral compounds.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Confirmation of primary resistance mutations.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.,0.4469|0.4336|0.3910|0.3904|0.3897,text-embedding-3-small
18715920,2,Does the paper report in vitro drug susceptibility data?,12|13|16|6|14,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Automated in vitro selection of EVG-resistant viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.,0.5194|0.5161|0.5020|0.4942|0.4940,text-embedding-3-small
18715920,3,What were the GenBank accession numbers for sequenced HIV isolates?,6|3|17|15|13,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Cells and viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Confirmation of primary resistance mutations.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.,0.6019|0.5625|0.5578|0.5492|0.5381,text-embedding-3-small
