PMID,QID,Type,Question,Human Answer,Model Answer,Outcome,GPT-4o FT Answer,GPT-4o FT Correct,Evidence,EvidenceLocation,Rationale,Model,failure_mode,annotation_error,notes
26311878,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,FP,No,1,"""All plasmids were verified by sequencing."" ""The PCR products were then sequenced to detect the emergence of drug resistance mutations.""",main_text,"These statements occur in the laboratory-virus generation and tissue-culture selection sections on page 2. The target was integrase, with integrase substitutions reported in Table 1; these were laboratory-derived rather than patient-derived sequences.",GPT-6 Astra QSP,,,
27009474,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,FN_missed,Yes,1,"“The patient was started on the once daily integrase strand transfer inhibitor (INSTI)-containing fixed-dose combination tenofovir/emtricitabine/elvitegravir/cobicistat.” “In November 2014, the patient changed clinics and an INSTI resistance test was ordered on his August 2014 sample.”",main_text,"The reported sequences came from the baseline diagnostic sample collected before treatment initiation. Retrospective testing of that stored sample does not make it an ARV-experienced sample, and the paper reports no newly sequenced on-treatment specimen.",GPT-6 Astra QSP,,,
27009474,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI",None,FN_missed,"NRTI, INSTI",1,“We describe an individual with transmitted four-class drug resistance whose virus sequence had the previously uncharacterized mutation Q148N.” “The patient was started on the once daily integrase strand transfer inhibitor (INSTI)-containing fixed-dose combination tenofovir/emtricitabine/elvitegravir/cobicistat.”,main_text,"Under the specified rules, the answer is None because the newly reported sequences represent a pretreatment sample. The subsequent regimen and the classes implicated by transmitted resistance are not prior exposures for that sample.",GPT-6 Astra QSP,,,
27009474,16,List,Which drugs were received by individuals in the study before sample sequencing?,"Tenofovir, Emtricitabine, Elvitegravir",None,FN_missed,"Tenofovir (TFV), Emtricitabine (FTC), Elvitegravir (EVG), Cobicistat",1,"“The patient was started on the once daily integrase strand transfer inhibitor (INSTI)-containing fixed-dose combination tenofovir/emtricitabine/elvitegravir/cobicistat.” “In November 2014, the patient changed clinics and an INSTI resistance test was ordered on his August 2014 sample.”",main_text,"No ARV exposure before collection of the sequenced baseline sample is reported. The named regimen was initiated afterward, so it is excluded under the pretreatment-sample rules.",GPT-6 Astra QSP,,,
27124362,9,List,Which HIV genes were reported to have been sequenced?,Not reported,RT,FP,No,1,"""NNRTI resistant mutations in HIV-1 RT are described in supplemental information."" ""Using a single round HIV-1 infection assay, we tested RPV and DOR against a broad panel of NNRTI resistant mutants to determine their respective activities.""",main_text,RT is the resistance target studied. It is included under the instruction to include RT when NNRTI resistance is assessed; this does not imply that patient-derived RT sequences were generated.,GPT-6 Astra QSP,,,
28559249,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,FN_missed,Yes,1,"“In the present study, we tested the activity of MK-8591 against a panel of HIV-1 and HIV-2 strains that were originally isolated from ART-naive individuals.” “Changes listed for HIV-2ROD9-4.7a were encoded by a pol gene segment that was PCR amplified from an HIV-2-infected patient (32).”",main_text,"Page 3 describes susceptibility testing of existing isolates. Table 1 on page 6 attributes the patient-derived sequence to reference 32, an earlier study; page 4 likewise refers to that publication for clone construction and treatment history. No new sequencing directly from clinical samples is reported in this paper.",GPT-6 Astra QSP,,,
30053052,5,Number,How many individuals had samples obtained for HIV sequencing?,51,27,FN_wrong_value,51,1,"“Stored plasma samples from patients who were either therapy naive (n = 42) or had a virological treatment failure (n = 9) were randomly selected from the HIV cohort at Karolinska University Hospital, Stockholm, Sweden.” “Finally we obtained 24 replication-competent viruses from treatment-naive individuals who were pure subtypes (HIV-1A1, n = 1; HIV-1B, n = 5; HIV-1C, n = 15) or circulating recombinant forms (CRFs) (01_AE, n = 1; 02_AG, n = 2), whilst the viruses extracted from patients with therapy failure (n = 3) were HIV-1B (n = 1), HIV-1D (n = 1) and HIV-1C (n = 1), as determined by our previously published near full-length sequencing protocol.”",main_text,"The paper explicitly links sequencing-based characterization to viruses from 24 treatment-naive and 3 treatment-failure individuals, totaling 27. Although 51 patients' samples were initially selected, sequencing results are not established for all excluded samples; seven externally obtained reference-panel viruses are not additional study participants.",GPT-6 Astra QSP,,,
30053052,8,Boolean,Were samples cloned prior to sequencing?,No,Yes,FP,No,1,"“Of these, 11 samples did not give any positive clones even after multiple efforts, and 13 were not replication competent.” “This is mainly due to the failure of cloning or non-functional viruses.”",main_text,"The patient-derived viruses were generated as molecular clones, and the paper describes cloning of patient-derived gag-pol and RT material. Both clinical sequence characterization and susceptibility data are reported, so the cloning question applies.",GPT-6 Astra QSP,,,
30803972,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,FP,No,1,“Wild type indicates virus stocks produced from the parental (nonmutated) copies of pNL4-3 and pROD9.” “The integrase-encoding region of each plasmid clone was confirmed by automated Sanger DNA sequencing.”,table,"Automated Sanger DNA sequencing is explicitly stated in Table 3 footnote a on page 5, for confirmation of laboratory plasmid clones.",GPT-6 Astra QSP,,,
30803972,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,FP,IN,0,“Wild type indicates virus stocks produced from the parental (nonmutated) copies of pNL4-3 and pROD9.” “The integrase-encoding region of each plasmid clone was confirmed by automated Sanger DNA sequencing.”,table,"Table 3 footnote a on page 5 explicitly identifies integrase as the sequenced region. This sequencing was of laboratory plasmid clones, not patient samples.",GPT-6 Astra QSP,,,
31988104,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,FP,Yes,0,"“Recombinant mutant HIV-1 viruses were created either by site directed mutagenesis (SDM) of wild-type HIV-1 DNA, or by direct PCR of ART-experienced patient isolates (8).” “Patient-derived (PD) mutants were cloned from clinical plasma samples.”",main_text,"The Methods on page 9 describe patient-derived material, and Table 4 on page 7 reports mutant RT sequences for patient-derived isolates and confirms their clinical plasma origin. This meets the criterion for reporting mutation lists derived from clinical samples, although sequencing procedures are not explicitly described.",GPT-6 Astra QSP,,,
31988104,11,List,What type of samples were sequenced?,Not reported,Plasma,FP,No,1,“Patient-derived (PD) mutants were cloned from clinical plasma samples.”,table,"Table 4, footnote c, on page 7 explicitly identifies clinical plasma as the source of the patient-derived mutants.",GPT-6 Astra QSP,,,
31988104,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,FP,No,1,"“Recombinant mutant HIV-1 viruses were created either by site directed mutagenesis (SDM) of wild-type HIV-1 DNA, or by direct PCR of ART-experienced patient isolates (8).” “Patient-derived (PD) mutants were cloned from clinical plasma samples.”",main_text,"The Methods on page 9 identify ART-experienced patients, and Table 4 on page 7 identifies plasma samples. Under the specified rule, plasma-derived sequences from ART-experienced individuals qualify as Yes, although individual virological-failure histories are not explicitly provided.",GPT-6 Astra QSP,,,
31988104,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,14,Yes,FP,Yes,0,"“Recombinant mutant HIV-1 viruses were created either by site directed mutagenesis (SDM) of wild-type HIV-1 DNA, or by direct PCR of ART-experienced patient isolates (8).” “Patient-derived (PD) mutants were cloned from clinical plasma samples.”",main_text,The Methods on page 9 explicitly describe the patients contributing isolates as ART-experienced. Table 4 on page 7 reports the patient-derived RT mutation data.,GPT-6 Astra QSP,,,
31988104,5,Number,How many individuals had samples obtained for HIV sequencing?,0,14,FP,0,1,“A total of 68 viruses with various levels of TAF/TDF resistance and various numbers of TAMs were used in the viral breakthrough experiments (54 SDMs and 14 patient-derived isolates).” “Patient-derived (PD) mutants were cloned from clinical plasma samples.”,main_text,"Page 6 identifies 14 patient-derived isolates, consistent with the counts in Table 3 on page 5. The number of contributing individuals is not explicitly given, so the specified one-isolate-per-individual assumption yields 14; laboratory mutants are excluded.",GPT-6 Astra QSP,,,
31988104,8,Boolean,Were samples cloned prior to sequencing?,No,Yes,FP,No,1,“Patient-derived (PD) mutants were cloned from clinical plasma samples.”,table,"Table 4, footnote c, on page 7 explicitly identifies the patient-derived mutants as cloned from clinical plasma, and the table reports their mutant RT sequences. Both clinical mutation data and in vitro susceptibility data are reported.",GPT-6 Astra QSP,,,
