PMID,GPT-4o base Correct,GPT-4o FT Correct,GPT-4o FT+QSP Correct,GPT-4o QSP Correct,Llama3.1-70B base Correct,Llama3.1-70B FT Correct,Llama3.1-70B FT+QSP Correct,Llama3.1-70B QSP Correct,Llama3.1-8B base Correct,Llama3.1-8B FT Correct,Llama3.1-8B FT+QSP Correct,Llama3.1-8B QSP Correct,question_count,GPT-4o base Exact Match,GPT-4o FT Exact Match,GPT-4o FT+QSP Exact Match,GPT-4o QSP Exact Match,Llama3.1-70B base Exact Match,Llama3.1-70B FT Exact Match,Llama3.1-70B FT+QSP Exact Match,Llama3.1-70B QSP Exact Match,Llama3.1-8B base Exact Match,Llama3.1-8B FT Exact Match,Llama3.1-8B FT+QSP Exact Match,Llama3.1-8B QSP Exact Match,GPT-4o FT vs base,GPT-4o QSP vs base,GPT-4o FT+QSP vs base,Llama3.1-70B FT vs base,Llama3.1-70B QSP vs base,Llama3.1-70B FT+QSP vs base,Llama3.1-8B FT vs base,Llama3.1-8B QSP vs base,Llama3.1-8B FT+QSP vs base
18715920,15,16,16,15,12,15,15,10,15,14,12,15,16,0,1,1,0,0,0,0,0,0,0,0,0,target_only,neither_exact,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
19104010,14,14,16,14,12,14,13,15,11,14,13,10,16,0,0,1,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
21115794,15,15,15,15,13,15,15,15,15,15,15,10,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
23749954,14,14,15,14,12,15,14,10,10,14,13,10,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
24227862,15,15,13,15,12,16,15,16,13,15,11,12,16,0,0,0,0,0,1,0,1,0,0,0,0,neither_exact,neither_exact,neither_exact,target_only,target_only,neither_exact,neither_exact,neither_exact,neither_exact
25637519,15,15,16,15,9,15,15,15,14,11,12,8,16,0,0,1,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
26246578,15,15,15,15,13,15,14,16,16,15,12,10,16,0,0,0,0,0,0,0,1,1,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,target_only,neither_exact,base_only,base_only,base_only
26311878,16,16,15,16,12,16,16,10,16,16,14,12,16,1,1,0,1,0,1,1,0,1,1,0,0,both_exact,both_exact,base_only,target_only,neither_exact,target_only,both_exact,base_only,base_only
26559830,15,15,15,15,13,16,15,16,13,15,14,14,16,0,0,0,0,0,1,0,1,0,0,0,0,neither_exact,neither_exact,neither_exact,target_only,target_only,neither_exact,neither_exact,neither_exact,neither_exact
27009474,13,14,15,16,16,15,15,16,11,10,9,14,16,0,0,0,1,1,0,0,1,0,0,0,0,neither_exact,target_only,neither_exact,base_only,both_exact,base_only,neither_exact,neither_exact,neither_exact
