PMID,QID,Question,Type,Category,Answer
40391923,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,"Yes, the paper reports HIV sequences from patient samples."
40391923,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,"Yes, the paper reports on factors related to drug susceptibility."
40391923,3,Were sequences from the paper made publicly available?,Boolean,Data availability,"Yes, sequences from the paper were made publicly available."
40391923,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,"The GenBank accession numbers are PV008448-PV008641, PV407014-PV407203, and PV419497-PV419583."
40391923,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Samples were obtained from 488 individuals.
40391923,6,From which countries were the sequenced samples obtained?,List,Demographics,"The sequenced samples were obtained from Cameroon, Côte d'Ivoire, Malawi, Republic of Congo, Uganda, Zambia, and Zimbabwe."
40391923,7,From what years were the sequenced samples obtained?,List,Demographics,The sequenced samples were obtained from the years starting June 2022.
40391923,8,Were samples cloned prior to sequencing?,Boolean,Technical,"No, there is no indication that samples were cloned prior to sequencing."
40391923,9,Which HIV genes were reported to have been sequenced?,List,Technical,The HIV genes reported to have been sequenced are integrase (IN) and protease/reverse transcriptase (PR/RT).
40391923,10,What method was used for sequencing?,List,Technical,The method used for sequencing was Sanger sequencing.
40391923,11,What type of samples were sequenced?,List,Technical,The types of samples sequenced were plasma and dried blood spots (DBS).
40391923,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,"Yes, sequences were obtained from individuals with virological failure on a treatment regimen."
40391923,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,"No, the patients were not in a clinical trial."
40391923,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,"Yes, the paper reports HIV sequences from individuals who had previously received ARV drugs."
40391923,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,The drug classes received were nucleoside reverse transcriptase inhibitors (NRTIs) and integrase strand transfer inhibitors (INSTIs).
40391923,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"The drugs received were tenofovir, lamivudine, and dolutegravir (TLD)."
40400229,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
40400229,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
40400229,3,Were sequences from the paper made publicly available?,Boolean,Data availability,Uncertain (No explicit statement about public availability)
40400229,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not provided
40400229,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,43 participants
40400229,6,From which countries were the sequenced samples obtained?,List,Demographics,England
40400229,7,From what years were the sequenced samples obtained?,List,Demographics,2017 to 2020
40400229,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not specified
40400229,9,Which HIV genes were reported to have been sequenced?,List,Technical,HIV genes related to M184I/V mutations
40400229,10,What method was used for sequencing?,List,Technical,Stanford algorithm for genotypic typing
40400229,11,What type of samples were sequenced?,List,Technical,Blood samples from HIV-positive participants
40400229,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Not specified
40400229,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Yes
40400229,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,"Yes (indirectly, information available post-diagnosis)"
40400229,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,NRTIs and Integrase inhibitors
40400229,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"TDF/FTC, TAF, dolutegravir, darunavir"
40431710,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,"Yes, the paper reports HIV sequences from patient samples."
40431710,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,"No, the paper does not report in vitro drug susceptibility data."
40431710,3,Were sequences from the paper made publicly available?,Boolean,Data availability,"No, sequences from the paper were not made publicly available."
40431710,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,The paper does not provide any GenBank accession numbers for sequenced HIV isolates.
40431710,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,One individual had samples obtained for HIV sequencing.
40431710,6,From which countries were the sequenced samples obtained?,List,Demographics,The sequenced samples were obtained from Switzerland.
40431710,7,From what years were the sequenced samples obtained?,List,Demographics,"The sequenced samples were obtained from the years 2006, 2022, and 2023."
40431710,8,Were samples cloned prior to sequencing?,Boolean,Technical,The paper does not specify whether samples were cloned prior to sequencing.
40431710,9,Which HIV genes were reported to have been sequenced?,List,Technical,The HIV genes reported to have been sequenced are the protease and reverse transcriptase.
40431710,10,What method was used for sequencing?,List,Technical,The method used for sequencing was next generation sequencing.
40431710,11,What type of samples were sequenced?,List,Technical,The type of samples sequenced included proviral DNA and plasma RNA.
