PMID,QID,Question,Type,Category,Answer
18715920,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,No
18715920,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
18715920,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
18715920,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available
18715920,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not available
18715920,6,From which countries were the sequenced samples obtained?,List,Demographics,Not available
18715920,7,From what years were the sequenced samples obtained?,List,Demographics,Not available
18715920,8,Were samples cloned prior to sequencing?,Boolean,Technical,No
18715920,9,Which HIV genes were reported to have been sequenced?,List,Technical,HIV integrase gene
18715920,10,What method was used for sequencing?,List,Technical,PCR-based sequencing
18715920,11,What type of samples were sequenced?,List,Technical,Viral RNA samples
18715920,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Not available
18715920,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not available
18715920,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Not available
18715920,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not available
18715920,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Not available
19104010,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes.
19104010,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes.
19104010,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No.
19104010,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available.
19104010,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,24.
19104010,6,From which countries were the sequenced samples obtained?,List,Demographics,Not available.
19104010,7,From what years were the sequenced samples obtained?,List,Demographics,Not available.
19104010,8,Were samples cloned prior to sequencing?,Boolean,Technical,Yes.
19104010,9,Which HIV genes were reported to have been sequenced?,List,Technical,IN.
19104010,10,What method was used for sequencing?,List,Technical,BigDye terminator v3.1 cycle sequencing kit.
19104010,11,What type of samples were sequenced?,List,Technical,Viral DNA.
19104010,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,No.
19104010,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,No.
19104010,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,No.
19104010,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not available.
19104010,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Not available.
21115794,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,"Yes, the paper reports HIV sequences from patient samples."
21115794,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,"Yes, the paper reports in vitro drug susceptibility data."
21115794,3,Were sequences from the paper made publicly available?,Boolean,Data availability,"No, the sequences from the paper were not made publicly available."
21115794,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,No GenBank accession numbers were provided for the sequenced HIV isolates.
21115794,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,No information is available on the number of individuals who had samples obtained for HIV sequencing.
21115794,6,From which countries were the sequenced samples obtained?,List,Demographics,No information is available on the countries from which the sequenced samples were obtained.
21115794,7,From what years were the sequenced samples obtained?,List,Demographics,No information is available on the years from which the sequenced samples were obtained.
21115794,8,Were samples cloned prior to sequencing?,Boolean,Technical,"Yes, the samples were cloned prior to sequencing."
21115794,9,Which HIV genes were reported to have been sequenced?,List,Technical,The integrase region of HIV proviral DNA was reported to have been sequenced.
21115794,10,What method was used for sequencing?,List,Technical,The method used for sequencing was PCR and sequencing by Operon Biotechnologies' sequencing service.
21115794,11,What type of samples were sequenced?,List,Technical,The type of samples sequenced were PBMCs derived from whole-blood samples obtained from HIV-negative donors.
21115794,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,No information is available on whether any sequences were obtained from individuals with virological failure on a treatment regimen.
21115794,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,No information is available on whether the patients in the study were in a clinical trial.
21115794,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,No information is available on whether the individuals from whom the HIV sequences were obtained had previously received ARV drugs.
21115794,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,No information is available on which drug classes were received by individuals in the study before sample sequencing.
21115794,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,No information is available on which drugs were received by individuals in the study before sample sequencing.
23749954,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,"No, the paper does not explicitly report HIV sequences from patient samples."
23749954,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,"Yes, the paper reports in vitro drug susceptibility data."
23749954,3,Were sequences from the paper made publicly available?,Boolean,Data availability,"No, there is no mention of the sequences being made publicly available."
23749954,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available.
23749954,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not available.
23749954,6,From which countries were the sequenced samples obtained?,List,Demographics,Not available.
23749954,7,From what years were the sequenced samples obtained?,List,Demographics,Not available.
23749954,8,Were samples cloned prior to sequencing?,Boolean,Technical,"Yes, the samples were cloned prior to sequencing."
23749954,9,Which HIV genes were reported to have been sequenced?,List,Technical,Not available.
23749954,10,What method was used for sequencing?,List,Technical,Not available.
23749954,11,What type of samples were sequenced?,List,Technical,Viral clones.
23749954,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,"No, there is no explicit mention of sequences being obtained from individuals with virological failure on a treatment regimen."
23749954,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not available.
23749954,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,"Yes, the paper reports HIV sequences from individuals who had previously received ARV drugs."
23749954,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Nucleoside reverse transcriptase inhibitors (NRTIs).
23749954,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Zidovudine.
24227862,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,"No, the paper does not report HIV sequences from patient samples."
24227862,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,"Yes, the paper reports in vitro drug susceptibility data."
24227862,3,Were sequences from the paper made publicly available?,Boolean,Data availability,"No, the paper does not explicitly state that the sequences were made publicly available."
24227862,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,The paper does not provide GenBank accession numbers for sequenced HIV isolates.
24227862,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,The paper does not provide information on the number of individuals who had samples obtained for HIV sequencing.
24227862,6,From which countries were the sequenced samples obtained?,List,Demographics,The paper does not provide information on the countries from which the sequenced samples were obtained.
24227862,7,From what years were the sequenced samples obtained?,List,Demographics,The paper does not provide information on the years from which the sequenced samples were obtained.
24227862,8,Were samples cloned prior to sequencing?,Boolean,Technical,"Yes, the samples were cloned prior to sequencing."
24227862,9,Which HIV genes were reported to have been sequenced?,List,Technical,The paper does not provide information on the specific HIV genes that were sequenced.
24227862,10,What method was used for sequencing?,List,Technical,The paper does not provide information on the sequencing method used.
24227862,11,What type of samples were sequenced?,List,Technical,The paper does not provide information on the type of samples that were sequenced.
24227862,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,"No, the paper does not provide information on the use of sequences obtained from individuals with virological failure on a treatment regimen."
24227862,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,"No, the paper does not provide information on the use of clinical trial data."
24227862,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,"No, the paper does not provide information on the use of HIV sequences from individuals who had previously received ARV drugs."
24227862,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,The paper does not provide information on the drug classes received by individuals in the study before sample sequencing.
24227862,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,The paper does not provide information on the specific drugs received by individuals in the study before sample sequencing.
25637519,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,"No, the paper does not explicitly report HIV sequences from patient samples."
25637519,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,"Yes, the paper reports in vitro drug susceptibility data."
25637519,3,Were sequences from the paper made publicly available?,Boolean,Data availability,"No, the paper does not mention the availability of the HIV sequences."
25637519,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available.
25637519,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not available.
25637519,6,From which countries were the sequenced samples obtained?,List,Demographics,Not available.
25637519,7,From what years were the sequenced samples obtained?,List,Demographics,Not available.
25637519,8,Were samples cloned prior to sequencing?,Boolean,Technical,"Yes, the samples were cloned prior to sequencing."
25637519,9,Which HIV genes were reported to have been sequenced?,List,Technical,The RT gene.
25637519,10,What method was used for sequencing?,List,Technical,Not available.
25637519,11,What type of samples were sequenced?,List,Technical,Clinical isolates.
25637519,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,"Yes, the sequences were obtained from individuals with virological failure on a treatment regimen."
25637519,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not available.
25637519,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,"Yes, the paper reports HIV sequences from individuals who had previously received ARV drugs."
25637519,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,NNRTIs.
25637519,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Nevirapine and efavirenz.
26246578,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
26246578,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
26246578,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
26246578,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not mentioned
26246578,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,At least 1 individual
26246578,6,From which countries were the sequenced samples obtained?,List,Demographics,Not mentioned
26246578,7,From what years were the sequenced samples obtained?,List,Demographics,Not mentioned
26246578,8,Were samples cloned prior to sequencing?,Boolean,Technical,Yes
26246578,9,Which HIV genes were reported to have been sequenced?,List,Technical,Integrase (IN) gene
26246578,10,What method was used for sequencing?,List,Technical,Site-directed mutagenesis
26246578,11,What type of samples were sequenced?,List,Technical,Viral stocks
26246578,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
26246578,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Yes
26246578,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
26246578,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Integrase strand transfer inhibitors (INSTIs)
26246578,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Dolutegravir (DTG)
26311878,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes.
26311878,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes.
26311878,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No.
26311878,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not provided.
26311878,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not provided.
26311878,6,From which countries were the sequenced samples obtained?,List,Demographics,Canada.
26311878,7,From what years were the sequenced samples obtained?,List,Demographics,Not provided.
26311878,8,Were samples cloned prior to sequencing?,Boolean,Technical,Yes.
26311878,9,Which HIV genes were reported to have been sequenced?,List,Technical,Integrase.
26311878,10,What method was used for sequencing?,List,Technical,PCR sequencing.
26311878,11,What type of samples were sequenced?,List,Technical,Cell culture samples.
