PMID,QID,Question,Type,Category,Answer
18715920,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,"Yes, the paper reports HIV sequences from patient samples."
18715920,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,"Yes, the paper reports in vitro drug susceptibility data."
18715920,3,Were sequences from the paper made publicly available?,Boolean,Data availability,The paper does not specify whether the sequences were made publicly available.
18715920,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,The paper does not provide GenBank accession numbers for the sequenced HIV isolates.
18715920,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,The paper does not specify how many individuals had samples obtained for HIV sequencing.
18715920,6,From which countries were the sequenced samples obtained?,List,Demographics,The paper does not specify from which countries the sequenced samples were obtained.
18715920,7,From what years were the sequenced samples obtained?,List,Demographics,The paper does not specify from which years the sequenced samples were obtained.
18715920,8,Were samples cloned prior to sequencing?,Boolean,Technical,The paper does not specify whether samples were cloned prior to sequencing.
18715920,9,Which HIV genes were reported to have been sequenced?,List,Technical,The *pol* gene (specifically the IN-encoding region) was reported to have been sequenced.
18715920,10,What method was used for sequencing?,List,Technical,The method used for sequencing was ABI Prism BigDye Terminator cycle sequencing.
18715920,11,What type of samples were sequenced?,List,Technical,The samples that were sequenced were HIV-1 infected cells.
18715920,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,The paper does not specify whether any sequences were obtained from individuals with virological failure.
18715920,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,The paper does not specify whether the patients in the study were in a clinical trial.
18715920,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,"Yes, the paper reports HIV sequences from individuals who had previously received ARV drugs."
18715920,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,The paper does not specify which drug classes were received by individuals before sample sequencing.
18715920,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,The paper does not provide a comprehensive list of which drugs were received by individuals before sample sequencing.
19104010,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes.
19104010,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes.
19104010,3,Were sequences from the paper made publicly available?,Boolean,Data availability,Unknown.
19104010,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not provided.
19104010,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not specified.
19104010,6,From which countries were the sequenced samples obtained?,List,Demographics,Not mentioned.
19104010,7,From what years were the sequenced samples obtained?,List,Demographics,Not mentioned.
19104010,8,Were samples cloned prior to sequencing?,Boolean,Technical,Yes.
19104010,9,Which HIV genes were reported to have been sequenced?,List,Technical,Integrase gene.
19104010,10,What method was used for sequencing?,List,Technical,BigDye terminator v3.1 cycle sequencing kit.
19104010,11,What type of samples were sequenced?,List,Technical,Viral DNA from infected cell lines.
19104010,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Not specified.
19104010,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not mentioned.
19104010,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Not provided.
19104010,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not specified.
19104010,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Not mentioned.
21115794,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,"Yes, the paper reports HIV sequences from patient samples."
21115794,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,"Yes, the paper reports in vitro drug susceptibility data."
21115794,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No explicit information about public availability of sequences is provided in the paper.
21115794,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,No GenBank accession numbers are provided in the paper.
21115794,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,The number of individuals from whom samples were obtained is not specified in the paper.
21115794,6,From which countries were the sequenced samples obtained?,List,Demographics,The countries of origin for sequenced samples are not specified in the paper.
21115794,7,From what years were the sequenced samples obtained?,List,Demographics,The years from which the sequenced samples were obtained are not specified in the paper.
21115794,8,Were samples cloned prior to sequencing?,Boolean,Technical,"Yes, samples were cloned prior to sequencing."
21115794,9,Which HIV genes were reported to have been sequenced?,List,Technical,The integrase region of HIV was reported to have been sequenced.
21115794,10,What method was used for sequencing?,List,Technical,The sequencing method used was via Operon Biotechnologies' sequencing service.
21115794,11,What type of samples were sequenced?,List,Technical,"HIV-positive patient samples, specifically PBMCs and isolated viruses, were sequenced."
21115794,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,No information regarding sequences from individuals with virological failure is provided in the paper.
21115794,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,There is no information indicating whether the patients in the study were in a clinical trial.
21115794,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,The paper does not specify if HIV sequences are from individuals who had previously received ARV drugs.
21115794,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,The specific drug classes received by individuals before sample sequencing are not detailed in the paper.
21115794,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,The specific drugs received by individuals before sample sequencing are not detailed in the paper.
23749954,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,"Yes, the paper reports HIV sequences from patient samples."
23749954,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,"Yes, the paper reports in vitro drug susceptibility data."
23749954,3,Were sequences from the paper made publicly available?,Boolean,Data availability,The paper does not specify if the sequences were made publicly available.
23749954,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,The paper does not provide the GenBank accession numbers for sequenced HIV isolates.
23749954,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,The paper does not specify how many individuals had samples obtained for HIV sequencing.
23749954,6,From which countries were the sequenced samples obtained?,List,Demographics,The paper does not specify from which countries the sequenced samples were obtained.
23749954,7,From what years were the sequenced samples obtained?,List,Demographics,The paper does not specify from what years the sequenced samples were obtained.
23749954,8,Were samples cloned prior to sequencing?,Boolean,Technical,"Yes, samples were cloned prior to sequencing."
23749954,9,Which HIV genes were reported to have been sequenced?,List,Technical,The paper does not specify the exact HIV genes that were reported to have been sequenced.
23749954,10,What method was used for sequencing?,List,Technical,The paper does not specify the method that was used for sequencing.
23749954,11,What type of samples were sequenced?,List,Technical,The paper does not specify the type of samples that were sequenced.
23749954,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,"The paper suggests the potential for some sequences to be obtained from individuals with virological failure, but does not confirm it."
23749954,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,The paper does not state whether the patients in the study were in a clinical trial.
23749954,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,"Yes, the paper reports HIV sequences from individuals who had previously received ARV drugs."
23749954,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,"The paper indicates that individuals received drugs from the NRTI class, including tenofovir, didanosine, atanoin, and stavudine."
23749954,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"Individuals in the study received tenofovir, didanosine, stavudine, apricitabine, and abacavir before sample sequencing."
24227862,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,"Yes, the paper reports HIV sequences from patient samples."
24227862,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,"Yes, the paper reports in vitro drug susceptibility data."
24227862,3,Were sequences from the paper made publicly available?,Boolean,Data availability,Unclear if the sequences were made publicly available.
24227862,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not specified in the paper.
