PMID,QID,Question,Type,Category,Answer
40391923,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
40391923,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,No
40391923,3,Were sequences from the paper made publicly available?,Boolean,Data availability,Yes
40391923,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,"PV008448-PV008641, PV407014-PV407203, and PV419497-PV419583"
40391923,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,488
40391923,6,From which countries were the sequenced samples obtained?,List,Demographics,"Cameroon, Côte d'Ivoire, Malawi, Republic of Congo, Uganda, Zambia, and Zimbabwe"
40391923,7,From what years were the sequenced samples obtained?,List,Demographics,2022-2024
40391923,8,Were samples cloned prior to sequencing?,Boolean,Technical,No
40391923,9,Which HIV genes were reported to have been sequenced?,List,Technical,Integrase (IN) and protease/reverse transcriptase (PR/RT)
40391923,10,What method was used for sequencing?,List,Technical,Sanger sequencing
40391923,11,What type of samples were sequenced?,List,Technical,Plasma or dried blood spots (DBS)
40391923,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
40391923,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,No
40391923,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
40391923,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,"NRTIs, specifically tenofovir/lamivudine/dolutegravir (TLD)"
40391923,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"DTG, tenofovir, lamivudine, and dolutegravir"
40400229,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
40400229,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,No
40400229,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
40400229,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available
40400229,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,54
40400229,6,From which countries were the sequenced samples obtained?,List,Demographics,Not available
40400229,7,From what years were the sequenced samples obtained?,List,Demographics,2017-2020
40400229,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not available
40400229,9,Which HIV genes were reported to have been sequenced?,List,Technical,Not available
40400229,10,What method was used for sequencing?,List,Technical,Not available
40400229,11,What type of samples were sequenced?,List,Technical,Not available
40400229,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Not available
