PMID,QID,Question,Type,Category,Answer
40391923,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,"Yes, the paper reports HIV sequences from patient samples."
40391923,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,"Yes, the paper reports in vitro drug susceptibility data."
40391923,3,Were sequences from the paper made publicly available?,Boolean,Data availability,"Yes, sequences from the paper were made publicly available."
40391923,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,"The GenBank accession numbers are PV008448-PV008641, PV407014-PV407203, and PV419497-PV419583."
40391923,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,A total of 488 individuals had samples obtained for HIV sequencing.
40391923,6,From which countries were the sequenced samples obtained?,List,Demographics,"The sequenced samples were obtained from Cameroon, Côte d'Ivoire, Malawi, Republic of Congo, Uganda, Zambia, and Zimbabwe."
40391923,7,From what years were the sequenced samples obtained?,List,Demographics,The sequenced samples were obtained from 2022 to 2025.
40391923,8,Were samples cloned prior to sequencing?,Boolean,Technical,The paper does not provide specific information about whether samples were cloned prior to sequencing.
40391923,9,Which HIV genes were reported to have been sequenced?,List,Technical,The sequenced HIV genes were integrase (IN) and protease/reverse transcriptase (PR/RT).
40391923,10,What method was used for sequencing?,List,Technical,"The sequencing method used was Sanger sequencing, with the ThermoFisher HIV-1 Genotyping Kit."
40391923,11,What type of samples were sequenced?,List,Technical,The types of samples sequenced were plasma and dried blood spots (DBS).
40391923,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,"Yes, sequences were obtained from individuals with virological failure on a treatment regimen."
40391923,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,"The evidence suggests that the study is structured, but does not clearly define whether patients were in a clinical trial."
40391923,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,"Yes, the paper reports HIV sequences from individuals who had previously received ARV drugs."
40391923,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,The drug classes received included integrase inhibitors (DTG) and Nucleos(t)ide Reverse Transcriptase Inhibitors (NRTIs).
40391923,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"The drugs received included tenofovir, lamivudine, and dolutegravir (often referred to as TLD). Feel free to ask for more information or any adjustments!"
40400229,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
40400229,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
40400229,3,Were sequences from the paper made publicly available?,Boolean,Data availability,Unclear
40400229,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not provided
40400229,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,54
40400229,6,From which countries were the sequenced samples obtained?,List,Demographics,England
40400229,7,From what years were the sequenced samples obtained?,List,Demographics,2017 to 2020
40400229,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not provided
40400229,9,Which HIV genes were reported to have been sequenced?,List,Technical,M184I/V (specific genes not listed)
40400229,10,What method was used for sequencing?,List,Technical,Stanford algorithm
40400229,11,What type of samples were sequenced?,List,Technical,Blood samples (from seroconverted individuals)
40400229,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Unclear
40400229,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Yes
40400229,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
40400229,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,"NRTIs (through oral PrEP, TDF/FTC)"
40400229,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Tenofovir disoproxil maleate and emtricitabine (TDF/FTC)
40431710,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
