PMID,QID,Question,Type,Category,Answer
18715920,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes.
18715920,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes.
18715920,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No.
18715920,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available.
18715920,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not available.
18715920,6,From which countries were the sequenced samples obtained?,List,Demographics,Not available.
18715920,7,From what years were the sequenced samples obtained?,List,Demographics,Not available.
18715920,8,Were samples cloned prior to sequencing?,Boolean,Technical,Yes.
18715920,9,Which HIV genes were reported to have been sequenced?,List,Technical,IN.
18715920,10,What method was used for sequencing?,List,Technical,ABI Prism BigDye Terminator cycle sequencing.
18715920,11,What type of samples were sequenced?,List,Technical,Viral RNA from culture supernatant or virus stock.
18715920,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Not available.
18715920,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not available.
18715920,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Not available.
18715920,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not available.
18715920,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Not available.
19104010,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,"Yes, the paper reports HIV sequences from patient samples."
19104010,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,"Yes, the paper reports in vitro drug susceptibility data."
19104010,3,Were sequences from the paper made publicly available?,Boolean,Data availability,"No, the sequences from the paper were not made publicly available."
19104010,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available.
19104010,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,24 individuals had samples obtained for HIV sequencing.
19104010,6,From which countries were the sequenced samples obtained?,List,Demographics,The sequenced samples were obtained from the United States and Canada.
19104010,7,From what years were the sequenced samples obtained?,List,Demographics,Not available.
19104010,8,Were samples cloned prior to sequencing?,Boolean,Technical,"Yes, the samples were cloned prior to sequencing."
19104010,9,Which HIV genes were reported to have been sequenced?,List,Technical,The IN gene was reported to have been sequenced.
19104010,10,What method was used for sequencing?,List,Technical,Sanger sequencing was used for sequencing.
19104010,11,What type of samples were sequenced?,List,Technical,Infected cells were sequenced.
19104010,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,"No, no sequences were obtained from individuals with virological failure on a treatment regimen."
