PMID,QID,Question,Answer
40391923,1,Does the paper report HIV sequences from patient samples?,Yes
40391923,2,Does the paper report in vitro drug susceptibility data?,No
40391923,3,Were sequences from the paper made publicly available?,Yes
40391923,4,What were the GenBank accession numbers for sequenced HIV isolates?,"PV008448-PV008641, PV407014-PV407203, PV419497-PV419583"
40391923,5,How many individuals had samples obtained for HIV sequencing?,488
40391923,6,From which countries were the sequenced samples obtained?,"Cameroon, Côte d'Ivoire, Malawi, Republic of Congo, Uganda, Zambia, Zimbabwe"
40391923,7,From what years were the sequenced samples obtained?,2022-2024
40391923,8,Were samples cloned prior to sequencing?,No
40391923,9,Which HIV genes were reported to have been sequenced?,"Protease, PR; Reverse transcriptase, RT; Integrase, IN"
40391923,10,What method was used for sequencing?,Sanger sequencing
40391923,11,What type of samples were sequenced?,"Plasma, DBS"
40391923,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes
40391923,13,Were the patients in the study in a clinical trial?,No
40391923,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes
40391923,15,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI"
40391923,16,Which drugs were received by individuals in the study before sample sequencing?,"Tenofovir, Lamivudine, Dolutegravir, Raltegravir"
40400229,1,Does the paper report HIV sequences from patient samples?,Yes
40400229,2,Does the paper report in vitro drug susceptibility data?,No
40400229,3,Were sequences from the paper made publicly available?,Not reported
40400229,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
40400229,5,How many individuals had samples obtained for HIV sequencing?,54
40400229,6,From which countries were the sequenced samples obtained?,England
40400229,7,From what years were the sequenced samples obtained?,2017-2020
40400229,8,Were samples cloned prior to sequencing?,No
40400229,9,Which HIV genes were reported to have been sequenced?,"Protease, PR; Reverse transcriptase, RT; Integrase, IN"
40400229,10,What method was used for sequencing?,Sanger sequencing
40400229,11,What type of samples were sequenced?,Unknown
40400229,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
40400229,13,Were the patients in the study in a clinical trial?,Yes
40400229,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Unknown
40400229,15,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI, PI, NNRTI"
40400229,16,Which drugs were received by individuals in the study before sample sequencing?,"TDF/TAF, FTC/3TC, bictegravir, darunavir, dolutegravir, raltegravir, ABC, rilpivirine"
40431710,1,Does the paper report HIV sequences from patient samples?,Yes
40431710,2,Does the paper report in vitro drug susceptibility data?,No
40431710,3,Were sequences from the paper made publicly available?,Not reported
40431710,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
40431710,5,How many individuals had samples obtained for HIV sequencing?,1
40431710,6,From which countries were the sequenced samples obtained?,Switzerland
40431710,7,From what years were the sequenced samples obtained?,"1994, 2003, 2015, 2017, 2019, 2020, 2022"
40431710,8,Were samples cloned prior to sequencing?,No
40431710,9,Which HIV genes were reported to have been sequenced?,"Protease, Reverse transcriptase"
40431710,10,What method was used for sequencing?,Next-generation sequencing
40431710,11,What type of samples were sequenced?,"PBMC, Plasma"
40431710,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes
40431710,13,Were the patients in the study in a clinical trial?,Yes
40431710,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes
40431710,15,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI"
40431710,16,Which drugs were received by individuals in the study before sample sequencing?,"Zidovudine (AZT), ritonavir (RTV), didanosine (ddI), abacavir (ABC), tenofovir disoproxil (TDF), lopinavir/ritonavir (LPV/r), etravirine (ETR), raltegravir (RAL), dolutegravir (DTG), bictegravir (BIC), doravirine (DOR), and fostemsavir (FTR)"
40431742,1,Does the paper report HIV sequences from patient samples?,Yes
40431742,2,Does the paper report in vitro drug susceptibility data?,No
40431742,3,Were sequences from the paper made publicly available?,
40431742,4,What were the GenBank accession numbers for sequenced HIV isolates?,
40431742,5,How many individuals had samples obtained for HIV sequencing?,1677
40431742,6,From which countries were the sequenced samples obtained?,
40431742,7,From what years were the sequenced samples obtained?,
40431742,8,Were samples cloned prior to sequencing?,
40431742,9,Which HIV genes were reported to have been sequenced?,
40431742,10,What method was used for sequencing?,
40431742,11,What type of samples were sequenced?,
40431742,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
40431742,13,Were the patients in the study in a clinical trial?,No
40431742,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No
40431742,15,Which drug classes were received by individuals in the study before sample sequencing?,
40431742,16,Which drugs were received by individuals in the study before sample sequencing?,
40490983,1,Does the paper report HIV sequences from patient samples?,
40490983,2,Does the paper report in vitro drug susceptibility data?,
40490983,3,Were sequences from the paper made publicly available?,
40490983,4,What were the GenBank accession numbers for sequenced HIV isolates?,
40490983,5,How many individuals had samples obtained for HIV sequencing?,
40490983,6,From which countries were the sequenced samples obtained?,
40490983,7,From what years were the sequenced samples obtained?,
40490983,8,Were samples cloned prior to sequencing?,Sanger sequencing
40490983,9,Which HIV genes were reported to have been sequenced?,
40490983,10,What method was used for sequencing?,
