PMID,QID,question,evidence,rationale,answer
18715920,1,Does the paper report HIV sequences from patient samples?,"The paper states that ""viral RNA was extracted from culture supernatant or virus stock using a NucliSens easyMAG apparatus"" and that ""cDNA encoding reverse transcriptase and IN was generated with Expand Reverse Transcriptase (Roche Diagnostics), followed by amplification of the IN region by nested PCR (1,456 bp)"".","The paper describes the process of extracting viral RNA from culture supernatant or virus stock, which is a common method for obtaining HIV sequences from patient samples. The subsequent steps of generating cDNA and amplifying the IN region by nested PCR also suggest that the paper is working with HIV sequences from patient samples.",Yes
18715920,2,Does the paper report in vitro drug susceptibility data?,"The paper states that ""the inhibition of HIV replication was quantified by measuring EGFP fluorescence, and expressed as the inhibitor concentration required for 50% inhibition of HIV-1 replication in cell culture (EC50)"" and that ""the cytotoxicity of inhibitors was determined in parallel on mock-infected MT4-CMV-EGFP cells (150,000 cells/ml) cultured in the presence or absence of test compound concentrations"".","The paper describes a method for measuring the inhibition of HIV replication in cell culture, which is a common method for determining in vitro drug susceptibility. The paper also mentions measuring cytotoxicity, which is another important aspect of in vitro drug susceptibility testing.",Yes
18715920,3,Were sequences from the paper made publicly available?,The paper does not mention GenBank accession numbers or provide any information about making sequences publicly available.,"The paper does not provide any information about making sequences publicly available, which suggests that the sequences may not have been deposited in a public database.",No
18715920,4,What were the GenBank accession numbers for sequenced HIV isolates?,The paper does not provide any GenBank accession numbers.,The paper does not mention GenBank accession numbers or provide any information about the accession numbers for the sequenced HIV isolates.,Not reported
18715920,5,How many individuals had samples obtained for HIV sequencing?,The paper does not mention the number of individuals who had samples obtained for HIV sequencing.,The paper does not provide any information about the number of individuals who contributed samples for HIV sequencing.,Not reported
18715920,6,From which countries were the sequenced samples obtained?,The paper does not mention the country of origin for the sequenced samples.,The paper does not provide any information about the country of origin for the sequenced samples.,Not reported
18715920,7,From what years were the sequenced samples obtained?,The paper does not mention the year of sample collection.,The paper does not provide any information about the year of sample collection.,Not reported
18715920,8,Were samples cloned prior to sequencing?,"The paper states that ""PCR products were genotyped by automated population-based full-sequence analysis (ABI Prism BigDye Terminator cycle sequencing)"".","The paper describes a method for genotyping PCR products, which suggests that the PCR products were not cloned prior to sequencing.",No
18715920,9,Which HIV genes were reported to have been sequenced?,The paper mentions sequencing the IN gene.,"The paper specifically mentions sequencing the IN gene, which is a part of the Pol gene.","Pol, IN"
18715920,10,What method was used for sequencing?,"The paper states that ""PCR products were genotyped by automated population-based full-sequence analysis (ABI Prism BigDye Terminator cycle sequencing)"".","The paper describes a method for genotyping PCR products using ABI Prism BigDye Terminator cycle sequencing, which is a type of Sanger sequencing.",Sanger sequencing
18715920,11,What type of samples were sequenced?,"The paper states that ""viral RNA was extracted from culture supernatant or virus stock using a NucliSens easyMAG apparatus"".","The paper describes extracting viral RNA from culture supernatant or virus stock, which suggests that the samples were from cell culture.",Cell culture
18715920,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,The paper does not mention the treatment status of the individuals whose samples were sequenced.,The paper does not provide any information about the treatment status of the individuals whose samples were sequenced.,Not applicable
18715920,13,Were the patients in the study in a clinical trial?,The paper does not mention a clinical trial.,The paper does not provide any information about a clinical trial.,No
18715920,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,The paper does not mention the treatment status of the individuals whose samples were sequenced.,The paper does not provide any information about the treatment status of the individuals whose samples were sequenced.,No
18715920,15,Which drug classes were received by individuals in the study before sample sequencing?,The paper does not mention the treatment status of the individuals whose samples were sequenced.,The paper does not provide any information about the treatment status of the individuals whose samples were sequenced.,None
18715920,16,Which drugs were received by individuals in the study before sample sequencing?,The paper does not mention the treatment status of the individuals whose samples were sequenced.,The paper does not provide any information about the treatment status of the individuals whose samples were sequenced.,None
19104010,1,Does the paper report HIV sequences from patient samples?,"The paper describes the construction of infectious HIV-1 DNA clones with IN mutations by site-directed mutagenesis, and the IN gene from 24 individual plasmid clones was sequenced using the BigDye terminator v3.1 cycle sequencing kit.","The paper mentions the use of site-directed mutagenesis to introduce mutations into the HIV-1 DNA clone HXB2, and the subsequent sequencing of the IN gene from 24 individual plasmid clones. This indicates that the paper reports HIV sequences from patient samples.",Yes
19104010,2,Does the paper report in vitro drug susceptibility data?,"The paper describes the antiviral activity of GS-9160 against a panel of drug-resistant mutants of HIV-1, including mutants resistant to NRTIs, NNRTIs, and PIs.","The paper provides EC50 values for GS-9160 against various drug-resistant mutants of HIV-1, indicating that the paper reports in vitro drug susceptibility data.",Yes
19104010,3,Were sequences from the paper made publicly available?,The paper does not provide GenBank accession numbers for the sequenced HIV isolates.,"The paper does not mention the submission of sequences to GenBank or any other public database, and does not provide accession numbers for the sequenced HIV isolates.",No
19104010,4,What were the GenBank accession numbers for sequenced HIV isolates?,,,Not reported
19104010,5,How many individuals had samples obtained for HIV sequencing?,"The paper describes the construction of infectious HIV-1 DNA clones with IN mutations by site-directed mutagenesis, and the IN gene from 24 individual plasmid clones was sequenced.","The paper mentions the use of site-directed mutagenesis to introduce mutations into the HIV-1 DNA clone HXB2, and the subsequent sequencing of the IN gene from 24 individual plasmid clones. This indicates that 24 individuals had samples obtained for HIV sequencing.",24
19104010,6,From which countries were the sequenced samples obtained?,,,Not reported
19104010,7,From what years were the sequenced samples obtained?,,,Not reported
19104010,8,Were samples cloned prior to sequencing?,The paper describes the construction of infectious HIV-1 DNA clones with IN mutations by site-directed mutagenesis.,"The paper mentions the use of site-directed mutagenesis to introduce mutations into the HIV-1 DNA clone HXB2, indicating that samples were cloned prior to sequencing.",Yes
19104010,9,Which HIV genes were reported to have been sequenced?,The paper describes the sequencing of the IN gene from 24 individual plasmid clones.,"The paper mentions the sequencing of the IN gene from 24 individual plasmid clones, indicating that the IN gene was reported to have been sequenced.",IN
