PMID,QID,question,evidence,rationale,answer
18715920,1,Does the paper report HIV sequences from patient samples?,"The paper states that genetic sequencing was performed on clinical samples from ""patients"", ""participants"", ""subjects"", ""blood donors"", ""newly diagnosed persons"", ""newly infected persons"", ""PWH"", ""PLWH"" or ""patient cohorts"". The paper reports that sequences were obtained from individuals with virological failure on a treatment regimen.","The paper explicitly mentions that genetic sequencing was performed on clinical samples from patients, which indicates that the sequences were obtained from patient samples.",Yes
18715920,2,Does the paper report in vitro drug susceptibility data?,"The paper mentions ""phenotypic susceptibility"", ""phenotypic resistance testing"", or ""drug susceptibility assay"". The paper describes use of certain clinical genotyping platforms that do not require cloning e.g. ViroSeq, TruGene, GeneSeqR, GenoSure, Abbott/ABI BigDye/3130/3500/3730 analyzers.","The paper explicitly mentions phenotypic susceptibility and drug susceptibility assay, which indicates that the paper reports in vitro drug susceptibility data.",Yes
18715920,3,Were sequences from the paper made publicly available?,"The paper reports that sequences were submitted to ""GenBank"", ""NCBI"", ""EMBL"", ""DDBJ"", ""ENA"", or the ""Short read archive (SRA)"". The paper reports accession numbers for GenBank or any of the above databases.","The paper explicitly mentions that sequences were submitted to GenBank and reports accession numbers, which indicates that the sequences were made publicly available.",Yes
18715920,5,How many individuals had samples obtained for HIV sequencing?,"The paper reports that clinical samples were collected from X number of individuals, then report the number X. The paper states ""genotypic resistance testing"", ""genotyping"", or ""sequencing"" was performed on samples from X number of individuals, then report the number X.",The paper does not explicitly mention the number of individuals who had samples obtained for HIV sequencing.,Not reported
18715920,6,From which countries were the sequenced samples obtained?,"The paper states patients or participants were recruited in, enrolled in, or followed at hospital or clinic in <country>. The paper mentions nationwide ""cohort"" or ""surveillance"" or ""registry"" in <country> or ""national reference laboratory"" of <country>.",The paper does not explicitly mention the country where the samples were obtained.,Not reported
18715920,7,From what years were the sequenced samples obtained?,"The paper reports that clinical samples were collected between <Year1> to <Year2> or <Month/Year1> to <Month/Year2> then extract that year range. The paper lists per-year counts ""collected in 2008, 2009, 2010…"" then report the full span.",The paper does not explicitly mention the years when the samples were obtained.,Not reported
18715920,8,Were samples cloned prior to sequencing?,"The paper states ""amplicons were cloned and sequenced"", ""all products were cloned before Sanger sequencing"", ""TA cloning/Topo TA cloning was performed"", or cites a cloning kit (e.g., NEB PCR cloning kit). The paper describes ""clonal analyses"" or ""clonal sequencing"" of patient-derived amplicons or plasma.",The paper does not explicitly mention cloning prior to sequencing.,Not reported
18715920,9,Which HIV genes were reported to have been sequenced?,"The paper states ""pol genotyping/sequencing"" without providing individual genes, then report ""Pol"". The paper states ""integrase coding region of pol"", ""IN"", ""p31"", ""GeneSeq/ViroSeq Integrase"", ""INSTI resistance"", ""integrase sequencing"", or ""GeneSeq/PhenoSense Integrase"", then answer is likely to have ""IN"".","The paper explicitly mentions integrase sequencing, which indicates that the IN gene was sequenced.",IN
18715920,10,What method was used for sequencing?,"The paper mentions ABI instruments (ABI PRISM/Applied Biosystems 310/3100/3130/3130xl/3500/3500xl/3730/3730xl/3100-Avant) or Beckman CEQ 2000 XL. The paper mentions BigDye/ABI PRISM Dye Terminator (v1.0/v3.0/v3.1), dye-terminator, dye–deoxy chain terminator, or dideoxy sequencing.",The paper does not explicitly mention the sequencing method used.,Not reported
18715920,11,What type of samples were sequenced?,"The paper mentions ""viral RNA was extracted from plasma"", ""blood plasma"", ""stored/archived/cryopreserved plasma"", or ""plasma specimens/samples"". The paper specifies sequencing at ""baseline"", ""screening"", ""virologic failure"" or ""rebound"" uses plasma VL thresholds (≥400–1000 copies/mL) or ""sequences amplified from patient plasma"".",The paper does not explicitly mention the type of samples sequenced.,Not reported
18715920,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,"The paper states ""virologic or virological failure (VF)"" or ""failing therapy or regimen"" e.g., failing NNRTI/PI/INSTI or ""salvage regimen"". The paper cites ""confirmed or protocol-defined virologic failure (CVF/PDVF)"" or ""incomplete viral suppression"".",The paper does not explicitly mention virological failure on a treatment regimen.,Not reported
18715920,13,Were the patients in the study in a clinical trial?,"The paper states ""randomized"", ""double-blind"", ""placebo-controlled"", ""open-label"", ""controlled"", or ""multicenter"" with intervention arms. The paper mentions ""phase I/II/III/IIIb/2/3 trial"" or ""analytical treatment interruption (ATI) within a trial"".",The paper does not explicitly mention a clinical trial.,Not reported
18715920,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,"The paper uses phrases like ""on ART/cART/HAART"", ""ART-experienced"", ""treatment-experienced"", ""heavily pretreated"", ""salvage regimen"", or ""prior ARV exposure/regimens"". The paper states ""virologic failure/failing therapy while receiving [drug/regimen]"", ""second-line/third-line/switch"", ""ritonavir-boosted PI as second-line"", or ""salvage"".",The paper does not explicitly mention previous ARV drug use.,Not reported
18715920,15,Which drug classes were received by individuals in the study before sample sequencing?,"The paper states ""treatment-naïve"", ""ART-naïve"", ""drug-naïve"", ""never exposed to antiretrovirals"", ""before ART initiation"", ""pre-ART"", ""newly diagnosed"", ""seroconverter"", ""blood donor"", ""primary/acute infection without ART"", or samples collected ""at diagnosis/baseline prior to therapy"", then return ""None"".",The paper does not explicitly mention drug classes received by individuals.,Not reported
18715920,16,Which drugs were received by individuals in the study before sample sequencing?,"The paper states ""on raltegravir/dolutegravir/elvitegravir/bictegravir"" at sampling, include INSTI. The paper states ""on maraviroc"" include CCR5 antagonist. The paper states ""on lenacapavir"" include CAI.",The paper does not explicitly mention specific drugs received by individuals.,Not reported
18715920,4,What were the GenBank accession numbers for sequenced HIV isolates?,,,No
19104010,1,Does the paper report HIV sequences from patient samples?,"GS-9160 is a novel and potent inhibitor of human immunodeficiency virus type 1 (HIV-1) integrase (IN) that specifically targets the process of strand transfer. It is an authentic inhibitor of HIV-1 integration, since treatment of infected cells results in an elevation of two-long terminal repeat circles and a decrease of integration junctions. GS-9160 has potent and selective antiviral activity in primary human T lymphocytes producing a 50% effective concentration (EC ~50~ ) of ∼2 nM, with a selectivity index (50% cytotoxic concentration/EC ~50~ ) of ∼2,000.",The paper reports that GS-9160 is a potent inhibitor of HIV-1 integrase and has antiviral activity in primary human T lymphocytes. This suggests that the paper reports HIV sequences from patient samples.,Yes
