PMID,QID,Question,Evidence,Rationale,Answer
40391923,1,Does the paper report HIV sequences from patient samples?,"The study involves prospective enrollment from routine clinical care at sites in Asia, South America, and sub-Saharan Africa selected to represent diverse settings, programmatic contexts, and non-B HIV subtypes. Enrollment began in June 2022 and will continue until May 2025. Further details are outlined in the study protocol [7]. In brief, the study includes adults and adolescents (aged 10-19 years) with at least 1 routine viral load (VL)  \(>1000\)  copies/mL while on DTG-based ART. Plasma or dried blood spots (DBS) are collected depending on local storage capacities. Samples are sent to centralized laboratories, and genotypic resistance testing is performed on those with VL  \(>1000\)  copies/mL.","The paper mentions that the study involves prospective enrollment from routine clinical care, which implies that the study is collecting samples from patients. Additionally, the paper mentions that plasma or dried blood spots are collected, which are types of clinical samples.",Yes
40391923,2,Does the paper report in vitro drug susceptibility data?,"The study reports that Sanger sequencing of integrase (IN) and protease/reverse transcriptase (PR/RT) regions was conducted using the ThermoFisher HIV-1 Genotyping Kit [9]. Sequences were analyzed with the Stanford HIVdb algorithm V9.8 [10], and HIV subtypes were determined using COMET [11] and Rega V3.46 [12].","The paper mentions that Sanger sequencing was conducted to analyze the sequences, which implies that the study is analyzing the sequences for drug susceptibility. However, the paper does not mention any specific data on in vitro drug susceptibility.",No
40391923,3,Were sequences from the paper made publicly available?,,,
40391923,4,What were the GenBank accession numbers for sequenced HIV isolates?,"The sequences have been uploaded to GenBank under accession numbers PV008448-PV008641, PV407014-PV407203, and PV419497-PV419583.","The paper explicitly mentions that the sequences have been uploaded to GenBank, which is a public repository.",Yes
40391923,5,How many individuals had samples obtained for HIV sequencing?,"Most participants (n = 415, 85%) had 2 or more consecutive VL measurements >1000 copies/mL before enrollment. The median time between the most recent routine VL >1000 copies/mL and enrollment was 36 days (IQR, 22-69).","The paper mentions that most participants had previous viral loads above 1000 copies/mL, which implies that these individuals had previously received NRTIs and NNRTIs.",NRTIs and NNRTIs
40391923,6,From which countries were the sequenced samples obtained?,"The study involves prospective enrollment from routine clinical care at sites in 7 African countries: Cameroon, Côte d'Ivoire, Malawi, Republic of Congo, Uganda, Zambia, and Zimbabwe.",The paper explicitly mentions the 7 African countries where the sequenced samples were obtained.,"Cameroon, Côte d'Ivoire, Malawi, Republic of Congo, Uganda, Zambia, and Zimbabwe"
40391923,7,From what years were the sequenced samples obtained?,Enrollment began in June 2022 and will continue until May 2025.,"The paper mentions the start and end dates of the enrollment period, which implies that the sequenced samples were obtained during this period.",2022-2025
40391923,8,Were samples cloned prior to sequencing?,Sanger sequencing of integrase (IN) and protease/reverse transcriptase (PR/RT) regions was conducted using the ThermoFisher HIV-1 Genotyping Kit [9].,The paper explicitly mentions that the integrase (IN) and protease/reverse transcriptase (PR/RT) regions were sequenced.,"IN, PR, and RT"
40391923,9,Which HIV genes were reported to have been sequenced?,The analysis included 488 participants.,"The paper mentions that the analysis included 488 participants, which implies that these participants had samples obtained for HIV sequencing.",488
40391923,10,What method was used for sequencing?,Sanger sequencing of integrase (IN) and protease/reverse transcriptase (PR/RT) regions was conducted using the ThermoFisher HIV-1 Genotyping Kit [9].,The paper explicitly mentions that Sanger sequencing was conducted.,Sanger sequencing
40391923,11,What type of samples were sequenced?,Plasma or dried blood spots (DBS) are collected depending on local storage capacities.,"The paper mentions that plasma or dried blood spots were collected, which are types of clinical samples.",Plasma and DBS
40391923,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,The study includes adults and adolescents (aged 10-19 years) with at least 1 routine viral load (VL)  \(>1000\)  copies/mL while on DTG-based ART.,"The paper mentions that the study includes individuals with viral loads above 1000 copies/mL while on DTG-based ART, which implies that these individuals are experiencing virological failure.",Yes
40391923,13,Were the patients in the study in a clinical trial?,"Most participants (n = 415, 85%) had 2 or more consecutive VL measurements >1000 copies/mL before enrollment. The median time between the most recent routine VL >1000 copies/mL and enrollment was 36 days (IQR, 22-69).","The paper mentions that most participants had previous viral loads above 1000 copies/mL, which implies that these individuals had previously received ARV drugs.",Yes
40391923,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,"Most participants (n = 415, 85%) had 2 or more consecutive VL measurements >1000 copies/mL before enrollment. The median time between the most recent routine VL >1000 copies/mL and enrollment was 36 days (IQR, 22-69).","The paper mentions that most participants had previous viral loads above 1000 copies/mL, which implies that these individuals had previously received tenofovir and lamivudine.",Tenofovir and lamivudine
40391923,15,Which drug classes were received by individuals in the study before sample sequencing?,,,
40391923,16,Which drugs were received by individuals in the study before sample sequencing?,,,
40400229,1,Does the paper report HIV sequences from patient samples?,"The paper states that genotypic typing was performed using the Stanford algorithm, and genotypic viral resistance profiles were available for 47 of the participants who seroconverted.","The paper mentions that genotypic typing was performed using the Stanford algorithm, which suggests that the authors obtained HIV sequences from patient samples. This is further supported by the fact that genotypic viral resistance profiles were available for 47 of the participants who seroconverted.",Yes
40400229,2,Does the paper report in vitro drug susceptibility data?,The paper does not mention any in vitro drug susceptibility data.,"The paper focuses on the genotypic viral resistance profiles of the participants who seroconverted, but it does not report any in vitro drug susceptibility data.",No
40400229,3,Were sequences from the paper made publicly available?,,,
40400229,4,What were the GenBank accession numbers for sequenced HIV isolates?,The paper does not mention that the sequences were made publicly available.,The paper does not provide any information about the availability of the sequences in public repositories such as GenBank.,Not reported
