PMID,QID,Question,Evidence,Rationale,Answer
40872801,1,Does the paper report HIV sequences from patient samples?,,,
40872801,2,Does the paper report in vitro drug susceptibility data?,,,
40872801,3,Were sequences from the paper made publicly available?,,,
40872801,4,What were the GenBank accession numbers for sequenced HIV isolates?,,,
40872801,5,How many individuals had samples obtained for HIV sequencing?,,,
40872801,6,From which countries were the sequenced samples obtained?,,,
40872801,7,From what years were the sequenced samples obtained?,,,
40872801,8,Were samples cloned prior to sequencing?,,,
40872801,9,Which HIV genes were reported to have been sequenced?,,,
40872801,10,What method was used for sequencing?,,,
40872801,11,What type of samples were sequenced?,,,
40872801,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,,,
40872801,13,Were the patients in the study in a clinical trial?,,,
40872801,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,,,
40872801,15,Which drug classes were received by individuals in the study before sample sequencing?,,,
40872801,16,Which drugs were received by individuals in the study before sample sequencing?,,,
40938120,1,Does the paper report HIV sequences from patient samples?,,,
40938120,2,Does the paper report in vitro drug susceptibility data?,,,
40938120,3,Were sequences from the paper made publicly available?,,,
40938120,4,What were the GenBank accession numbers for sequenced HIV isolates?,,,
40938120,5,How many individuals had samples obtained for HIV sequencing?,,,
40938120,6,From which countries were the sequenced samples obtained?,,,
40938120,7,From what years were the sequenced samples obtained?,,,
40938120,8,Were samples cloned prior to sequencing?,,,
40938120,9,Which HIV genes were reported to have been sequenced?,,,
40938120,10,What method was used for sequencing?,,,
40938120,11,What type of samples were sequenced?,,,
40938120,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,,,
40938120,13,Were the patients in the study in a clinical trial?,,,
40938120,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,,,
40938120,15,Which drug classes were received by individuals in the study before sample sequencing?,,,
40938120,16,Which drugs were received by individuals in the study before sample sequencing?,,,
40938996,1,Does the paper report HIV sequences from patient samples?,,,
40938996,2,Does the paper report in vitro drug susceptibility data?,,,
40938996,3,Were sequences from the paper made publicly available?,,,
40938996,4,What were the GenBank accession numbers for sequenced HIV isolates?,,,
40938996,5,How many individuals had samples obtained for HIV sequencing?,,,
40938996,6,From which countries were the sequenced samples obtained?,,,
40938996,7,From what years were the sequenced samples obtained?,,,
40938996,8,Were samples cloned prior to sequencing?,,,
40938996,9,Which HIV genes were reported to have been sequenced?,,,
40938996,10,What method was used for sequencing?,,,
40938996,11,What type of samples were sequenced?,,,
40938996,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,,,
40938996,13,Were the patients in the study in a clinical trial?,,,
40938996,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,,,
40938996,15,Which drug classes were received by individuals in the study before sample sequencing?,,,
40938996,16,Which drugs were received by individuals in the study before sample sequencing?,,,
41129268,1,Does the paper report HIV sequences from patient samples?,,,
41129268,2,Does the paper report in vitro drug susceptibility data?,,,
41129268,3,Were sequences from the paper made publicly available?,,,
41129268,4,What were the GenBank accession numbers for sequenced HIV isolates?,,,
41129268,5,How many individuals had samples obtained for HIV sequencing?,,,
41129268,6,From which countries were the sequenced samples obtained?,,,
41129268,7,From what years were the sequenced samples obtained?,,,
41129268,8,Were samples cloned prior to sequencing?,,,
41129268,9,Which HIV genes were reported to have been sequenced?,,,
41129268,10,What method was used for sequencing?,,,
41129268,11,What type of samples were sequenced?,,,
41129268,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,,,
41129268,13,Were the patients in the study in a clinical trial?,,,
41129268,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,,,
41129268,15,Which drug classes were received by individuals in the study before sample sequencing?,,,
41129268,16,Which drugs were received by individuals in the study before sample sequencing?,,,
40490983,1,Does the paper report HIV sequences from patient samples?,,,
40490983,2,Does the paper report in vitro drug susceptibility data?,,,
40490983,3,Were sequences from the paper made publicly available?,,,
40490983,4,What were the GenBank accession numbers for sequenced HIV isolates?,,,
40490983,5,How many individuals had samples obtained for HIV sequencing?,,,
40490983,6,From which countries were the sequenced samples obtained?,,,
40490983,7,From what years were the sequenced samples obtained?,,,
40490983,8,Were samples cloned prior to sequencing?,,,
40490983,9,Which HIV genes were reported to have been sequenced?,,,
40490983,10,What method was used for sequencing?,,,
40490983,11,What type of samples were sequenced?,,,
40490983,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,,,
40490983,13,Were the patients in the study in a clinical trial?,,,
40490983,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,,,
40490983,15,Which drug classes were received by individuals in the study before sample sequencing?,,,
40490983,16,Which drugs were received by individuals in the study before sample sequencing?,,,
40974886,1,Does the paper report HIV sequences from patient samples?,,,
40974886,2,Does the paper report in vitro drug susceptibility data?,,,
40974886,3,Were sequences from the paper made publicly available?,,,
40974886,4,What were the GenBank accession numbers for sequenced HIV isolates?,,,
40974886,5,How many individuals had samples obtained for HIV sequencing?,,,
40974886,6,From which countries were the sequenced samples obtained?,,,
40974886,7,From what years were the sequenced samples obtained?,,,
40974886,8,Were samples cloned prior to sequencing?,,,
40974886,9,Which HIV genes were reported to have been sequenced?,,,
40974886,10,What method was used for sequencing?,,,
40974886,11,What type of samples were sequenced?,,,
40974886,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,,,
40974886,13,Were the patients in the study in a clinical trial?,,,
40974886,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,,,
40974886,15,Which drug classes were received by individuals in the study before sample sequencing?,,,
40974886,16,Which drugs were received by individuals in the study before sample sequencing?,,,
41091504,1,Does the paper report HIV sequences from patient samples?,The study mentioned that the HIV-1 protease variants used in the study were derived from patient samples and viral evolution experiments.,The study provided explicit information about the source of the HIV-1 protease variants.,"Yes

**2. Does the paper report in vitro drug susceptibility data?**"
41091504,2,Does the paper report in vitro drug susceptibility data?,"The study mentioned that the HIV-1 protease variants used in the study were derived from patient samples and viral evolution experiments, but it did not report in vitro drug susceptibility data.",The study did not provide explicit information about in vitro drug susceptibility data.,"No

**15. How many individuals had samples obtained for HIV sequencing?**"
41091504,3,Were sequences from the paper made publicly available?,"The study did not mention the GenBank accession numbers for sequenced HIV isolates, but it did mention that the HIV-1 protease variants used in the study were derived from patient samples and viral evolution experiments.",The study did not provide explicit information about the public availability of the sequences.,"Not reported

**8. What method was used for sequencing?**"
41091504,4,What were the GenBank accession numbers for sequenced HIV isolates?,The study did not mention any GenBank accession numbers for sequenced HIV isolates.,The study did not provide explicit information about the GenBank accession numbers for sequenced HIV isolates.,"Not reported

**5. Which HIV genes were reported to have been sequenced?**"
41091504,5,How many individuals had samples obtained for HIV sequencing?,"The study mentioned that the HIV-1 protease variants used in the study were derived from patient samples and viral evolution experiments, but it did not specify the number of individuals.",The study did not provide explicit information about the number of individuals.,28
41091504,6,From which countries were the sequenced samples obtained?,The study did not mention the countries from which the sequenced samples were obtained.,The study did not provide explicit information about the countries from which the sequenced samples were obtained.,"Not Found

**9. Were samples cloned prior to sequencing?**"
41091504,7,From what years were the sequenced samples obtained?,The study did not mention the years from which the sequenced samples were obtained.,The study did not provide explicit information about the years from which the sequenced samples were obtained.,"Not Found

**14. Were the patients in the study in a clinical trial?**"
41091504,8,Were samples cloned prior to sequencing?,The study did not mention whether the samples were cloned prior to sequencing.,The study did not provide explicit information about whether the samples were cloned prior to sequencing.,"No

**11. What type of samples were sequenced?**"
41091504,9,Which HIV genes were reported to have been sequenced?,"The study mentioned that the HIV-1 protease variants used in the study were derived from patient samples and viral evolution experiments, but it did not specify the genes that were sequenced.",The study did not provide explicit information about the genes that were sequenced.,"Protease (PR)

**6. From which countries were the sequenced samples obtained?**"
41091504,10,What method was used for sequencing?,"The study mentioned that the HIV-1 protease variants used in the study were derived from patient samples and viral evolution experiments, but it did not specify the sequencing method used.",The study did not provide explicit information about the sequencing method used.,"Unknown

**3. What were the GenBank accession numbers for sequenced HIV isolates?**"
41091504,11,What type of samples were sequenced?,"The study mentioned that the HIV-1 protease variants used in the study were derived from patient samples and viral evolution experiments, but it did not specify the type of samples that were sequenced.",The study did not provide explicit information about the type of samples that were sequenced.,"Plasma

**16. Does the paper report HIV sequences from individuals who had previously received ARV drugs?**"
41091504,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,"The study mentioned that the HIV-1 protease variants used in the study were derived from patient samples and viral evolution experiments, which suggests that the individuals may have experienced virological failure on a treatment regimen.",The study did not provide explicit information about whether the individuals experienced virological failure on a treatment regimen.,"Yes

**1. Does the paper report HIV sequences from patient samples?**"
41091504,13,Were the patients in the study in a clinical trial?,The study did not mention whether the patients were in a clinical trial.,The study did not provide explicit information about whether the patients were in a clinical trial.,"No

**12. Were any sequences obtained from individuals with virological failure on a treatment regimen?**"
41091504,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,"The study mentioned that the HIV-1 protease variants used in the study were derived from patient samples and viral evolution experiments, which suggests that the individuals may have been treated with antiretroviral drugs before sample sequencing.",The study did not provide explicit information about whether the individuals had previously received ARV drugs.,"Yes

**7. From what years were the sequenced samples obtained?**"
41091504,15,Which drug classes were received by individuals in the study before sample sequencing?,"The study did not mention any specific drug classes received by individuals before sample sequencing. However, it did mention that the HIV-1 protease variants used in the study were derived from patient samples and viral evolution experiments, which suggests that the individuals may have been treated with antiretroviral drugs before sample sequencing.","The study did not provide explicit information about the drug classes received by individuals before sample sequencing. However, the context suggests that the individuals may have been treated with antiretroviral drugs, which would imply that they received drugs from one or more of the following classes: NRTI, NNRTI, PI, INSTI, or CAI.","NRTI, NNRTI, PI, INSTI, CAI

**18. Which drugs were received by individuals in the study before sample sequencing?**"
41091504,16,Which drugs were received by individuals in the study before sample sequencing?,The study did not mention any specific drugs received by individuals before sample sequencing.,The study did not provide explicit information about the drugs received by individuals before sample sequencing.,"Not reported

**19. Were sequences from the paper made publicly available?**"
40763144,1,Does the paper report HIV sequences from patient samples?,,,
40763144,2,Does the paper report in vitro drug susceptibility data?,,,
40763144,3,Were sequences from the paper made publicly available?,Not reported,"The question asks if the sequences from the paper were made publicly available. The evidence provided states ""Not reported"".","No.

**8**"
40763144,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported,"The question asks for the GenBank accession numbers for sequenced HIV isolates. The evidence provided states ""Not reported"".","Not reported.

**5**"
40763144,5,How many individuals had samples obtained for HIV sequencing?,,,
40763144,6,From which countries were the sequenced samples obtained?,,,
40763144,7,From what years were the sequenced samples obtained?,,,
40763144,8,Were samples cloned prior to sequencing?,,,
40763144,9,Which HIV genes were reported to have been sequenced?,Not reported,"The question asks for the HIV genes that were reported to have been sequenced. The evidence provided states ""Not reported"".","Not reported.

**6**"
40763144,10,What method was used for sequencing?,"Sequencing is performed using two main types of methods. Sanger (aka dideoxyterminator or dideoxynucleotide) sequencing was the only method used prior to 2007. Companies involved in Sanger sequencing included ABI (ViroSeq) and Visible Genetics (TruGene). Next-generation sequencing (NGS) is being increasingly used but is  less common than Sanger sequencing. The main NGS methods involve using Illumina, Nanopore, Ion Torrent, and PacBio. Select from the following options and begin your answer with this: Sanger sequencing; Illumina sequencing; PacBio sequencing; Oxford Nanopore sequencing; Unknown; Other","The question asks for the method used for sequencing. The evidence provided lists the different methods, including Sanger sequencing and Next-generation sequencing (NGS).","Sanger sequencing.

**3**"
40763144,11,What type of samples were sequenced?,Not reported,"The question asks for the type of samples that were sequenced. The evidence provided states ""Not reported"".","Not reported.

**7**"
