PMID,QID,Question,Answer
18715920,1,Does the paper report HIV sequences from patient samples?,No
18715920,2,Does the paper report in vitro drug susceptibility data?,Yes
18715920,3,Were sequences from the paper made publicly available?,No
18715920,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
18715920,5,How many individuals had samples obtained for HIV sequencing?,0
18715920,6,From which countries were the sequenced samples obtained?,Not Found
18715920,7,From what years were the sequenced samples obtained?,Not Found
18715920,8,Were samples cloned prior to sequencing?,No
18715920,9,Which HIV genes were reported to have been sequenced?,"Integrase, IN"
18715920,10,What method was used for sequencing?,Unknown
18715920,11,What type of samples were sequenced?,Unknown
18715920,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
18715920,13,Were the patients in the study in a clinical trial?,No
18715920,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Unknown
18715920,15,Which drug classes were received by individuals in the study before sample sequencing?,INSTI
18715920,16,Which drugs were received by individuals in the study before sample sequencing?,"Raltegravir (RAL), Elvitegravir(EVG), Dolutagravir (DTG), Bictegravir (BIC), cabotagravir (CAB), Lenacapavir (LEN)"
19104010,1,Does the paper report HIV sequences from patient samples?,No
19104010,2,Does the paper report in vitro drug susceptibility data?,Yes
19104010,3,Were sequences from the paper made publicly available?,No
19104010,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
19104010,5,How many individuals had samples obtained for HIV sequencing?,0
19104010,6,From which countries were the sequenced samples obtained?,Not Found
19104010,7,From what years were the sequenced samples obtained?,Not Found
19104010,8,Were samples cloned prior to sequencing?,No
19104010,9,Which HIV genes were reported to have been sequenced?,"Integrase, IN"
19104010,10,What method was used for sequencing?,Unknown
19104010,11,What type of samples were sequenced?,PBMC
19104010,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
19104010,13,Were the patients in the study in a clinical trial?,No
19104010,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Unknown
19104010,15,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI"
19104010,16,Which drugs were received by individuals in the study before sample sequencing?,"LPV, atazanavir, nelfinavir, EFV, TDF, AZT, FTC, 3TC"
21115794,1,Does the paper report HIV sequences from patient samples?,No
21115794,2,Does the paper report in vitro drug susceptibility data?,Yes
21115794,3,Were sequences from the paper made publicly available?,Not reported
21115794,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
21115794,5,How many individuals had samples obtained for HIV sequencing?,0
21115794,6,From which countries were the sequenced samples obtained?,Not Found
21115794,7,From what years were the sequenced samples obtained?,Not Found
21115794,8,Were samples cloned prior to sequencing?,No
21115794,9,Which HIV genes were reported to have been sequenced?,"Integrase, IN"
21115794,10,What method was used for sequencing?,Unknown
21115794,11,What type of samples were sequenced?,Unknown
21115794,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
21115794,13,Were the patients in the study in a clinical trial?,No
21115794,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Unknown
21115794,15,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI"
21115794,16,Which drugs were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI"
23749954,1,Does the paper report HIV sequences from patient samples?,No
23749954,2,Does the paper report in vitro drug susceptibility data?,Yes
23749954,3,Were sequences from the paper made publicly available?,Not reported
23749954,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
23749954,5,How many individuals had samples obtained for HIV sequencing?,0
23749954,6,From which countries were the sequenced samples obtained?,Not Found
23749954,7,From what years were the sequenced samples obtained?,Not Found
23749954,8,Were samples cloned prior to sequencing?,No
23749954,9,Which HIV genes were reported to have been sequenced?,"Reverse transcriptase, RT"
23749954,10,What method was used for sequencing?,Unknown
23749954,11,What type of samples were sequenced?,Unknown
23749954,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
23749954,13,Were the patients in the study in a clinical trial?,No
23749954,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Unknown
23749954,15,Which drug classes were received by individuals in the study before sample sequencing?,NRTI
23749954,16,Which drugs were received by individuals in the study before sample sequencing?,"Tenofovir (TFV), Didanosine (ddI), Stavudine (d4T), Apricitabine (ATC), Abacavir (ABC), Lamivudine (3TC), Emtricitabine (FTC), Zidovudine (AZT)"
24227862,1,Does the paper report HIV sequences from patient samples?,No
24227862,2,Does the paper report in vitro drug susceptibility data?,Yes
24227862,3,Were sequences from the paper made publicly available?,Not reported
24227862,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
24227862,5,How many individuals had samples obtained for HIV sequencing?,0
24227862,6,From which countries were the sequenced samples obtained?,Not Found
24227862,7,From what years were the sequenced samples obtained?,Not Found
24227862,8,Were samples cloned prior to sequencing?,No
24227862,9,Which HIV genes were reported to have been sequenced?,"Reverse transcriptase, RT"
24227862,10,What method was used for sequencing?,Unknown
24227862,11,What type of samples were sequenced?,Unknown
24227862,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
24227862,13,Were the patients in the study in a clinical trial?,No
24227862,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Unknown
24227862,15,Which drug classes were received by individuals in the study before sample sequencing?,NNRTI
24227862,16,Which drugs were received by individuals in the study before sample sequencing?,"ETR, RPV, NVP, EFV"
25637519,1,Does the paper report HIV sequences from patient samples?,No
25637519,2,Does the paper report in vitro drug susceptibility data?,Yes
25637519,3,Were sequences from the paper made publicly available?,Not reported
25637519,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
25637519,5,How many individuals had samples obtained for HIV sequencing?,0
25637519,6,From which countries were the sequenced samples obtained?,Not Found
25637519,7,From what years were the sequenced samples obtained?,Not Found
25637519,8,Were samples cloned prior to sequencing?,No
25637519,9,Which HIV genes were reported to have been sequenced?,"Reverse transcriptase, RT"
25637519,10,What method was used for sequencing?,Unknown
25637519,11,What type of samples were sequenced?,Other
25637519,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
25637519,13,Were the patients in the study in a clinical trial?,No
25637519,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Unknown
25637519,15,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI"
25637519,16,Which drugs were received by individuals in the study before sample sequencing?,"Nevirapine, Efavirenz, Etravirine, Rilpivirine, Zidovudine, Abacavir sulphate, Lamivudine, Emtricitabine, Tenofovir disoproxil fumarate"
26246578,1,Does the paper report HIV sequences from patient samples?,No
26246578,2,Does the paper report in vitro drug susceptibility data?,Yes
26246578,3,Were sequences from the paper made publicly available?,Not reported
26246578,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
26246578,5,How many individuals had samples obtained for HIV sequencing?,0
26246578,6,From which countries were the sequenced samples obtained?,Not Found
26246578,7,From what years were the sequenced samples obtained?,Not Found
26246578,8,Were samples cloned prior to sequencing?,No
26246578,9,Which HIV genes were reported to have been sequenced?,"Integrase, IN"
26246578,10,What method was used for sequencing?,Unknown
26246578,11,What type of samples were sequenced?,Unknown
26246578,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
26246578,13,Were the patients in the study in a clinical trial?,No
26246578,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Unknown
26246578,15,Which drug classes were received by individuals in the study before sample sequencing?,INSTI
26246578,16,Which drugs were received by individuals in the study before sample sequencing?,"RAL, EVG, DTG"
26311878,1,Does the paper report HIV sequences from patient samples?,No
26311878,2,Does the paper report in vitro drug susceptibility data?,Yes
26311878,3,Were sequences from the paper made publicly available?,Not reported
26311878,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
26311878,5,How many individuals had samples obtained for HIV sequencing?,0
26311878,6,From which countries were the sequenced samples obtained?,Canada
26311878,7,From what years were the sequenced samples obtained?,Not Found
26311878,8,Were samples cloned prior to sequencing?,No
26311878,9,Which HIV genes were reported to have been sequenced?,"Integrase, IN"
26311878,10,What method was used for sequencing?,Unknown
26311878,11,What type of samples were sequenced?,PBMC
26311878,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
26311878,13,Were the patients in the study in a clinical trial?,No
26311878,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Unknown
26311878,15,Which drug classes were received by individuals in the study before sample sequencing?,INSTI
26311878,16,Which drugs were received by individuals in the study before sample sequencing?,"Raltegravir (RAL), Elvitegravir(EVG), Dolutagravir (DTG)"
26559830,1,Does the paper report HIV sequences from patient samples?,No
26559830,2,Does the paper report in vitro drug susceptibility data?,Yes
26559830,3,Were sequences from the paper made publicly available?,Not reported
26559830,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
26559830,5,How many individuals had samples obtained for HIV sequencing?,0
26559830,6,From which countries were the sequenced samples obtained?,Not Found
26559830,7,From what years were the sequenced samples obtained?,Not Found
26559830,8,Were samples cloned prior to sequencing?,No
26559830,9,Which HIV genes were reported to have been sequenced?,"Protease, PR"
26559830,10,What method was used for sequencing?,Unknown
26559830,11,What type of samples were sequenced?,Unknown
26559830,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
26559830,13,Were the patients in the study in a clinical trial?,No
26559830,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Unknown
26559830,15,Which drug classes were received by individuals in the study before sample sequencing?,PI
26559830,16,Which drugs were received by individuals in the study before sample sequencing?,"Amprenavir (APV), Atazanavir (ATV), Darunavir (DRV), Indinavir (IDV), Lopinavir (LPV), Nelfinavir (NFV), Ritonavir (RTV), Saquinavir (SQV), Tipranavir (TPV)"
27009474,1,Does the paper report HIV sequences from patient samples?,Yes
27009474,2,Does the paper report in vitro drug susceptibility data?,Yes
27009474,3,Were sequences from the paper made publicly available?,Yes
27009474,4,What were the GenBank accession numbers for sequenced HIV isolates?,KU761565
27009474,5,How many individuals had samples obtained for HIV sequencing?,1
27009474,6,From which countries were the sequenced samples obtained?,Not Found
27009474,7,From what years were the sequenced samples obtained?,2014
27009474,8,Were samples cloned prior to sequencing?,Yes
27009474,9,Which HIV genes were reported to have been sequenced?,"Reverse transcriptase, RT; Protease, PR; Integrase, IN"
27009474,10,What method was used for sequencing?,Unknown
27009474,11,What type of samples were sequenced?,Plasma
27009474,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
27009474,13,Were the patients in the study in a clinical trial?,No
27009474,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No
27009474,15,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, INSTI, PI"
27009474,16,Which drugs were received by individuals in the study before sample sequencing?,"Tenofovir, Emtricitabine, Elvitegravir, Cobicistat"
27124362,1,Does the paper report HIV sequences from patient samples?,No
27124362,2,Does the paper report in vitro drug susceptibility data?,Yes
27124362,3,Were sequences from the paper made publicly available?,Not reported
27124362,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
27124362,5,How many individuals had samples obtained for HIV sequencing?,0
27124362,6,From which countries were the sequenced samples obtained?,Not Found
27124362,7,From what years were the sequenced samples obtained?,Not Found
27124362,8,Were samples cloned prior to sequencing?,No
27124362,9,Which HIV genes were reported to have been sequenced?,"Reverse transcriptase, RT"
27124362,10,What method was used for sequencing?,Unknown
27124362,11,What type of samples were sequenced?,Unknown
27124362,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
27124362,13,Were the patients in the study in a clinical trial?,No
27124362,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Unknown
27124362,15,Which drug classes were received by individuals in the study before sample sequencing?,NNRTI
27124362,16,Which drugs were received by individuals in the study before sample sequencing?,"Doravirine (DOR), Rilpivirine (RPV)"
28559249,1,Does the paper report HIV sequences from patient samples?,Yes
28559249,2,Does the paper report in vitro drug susceptibility data?,Yes
28559249,3,Were sequences from the paper made publicly available?,No
28559249,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
28559249,5,How many individuals had samples obtained for HIV sequencing?,0
28559249,6,From which countries were the sequenced samples obtained?,Senegal
28559249,7,From what years were the sequenced samples obtained?,Not Found
28559249,8,Were samples cloned prior to sequencing?,No
28559249,9,Which HIV genes were reported to have been sequenced?,"Reverse transcriptase, RT"
28559249,10,What method was used for sequencing?,Unknown
28559249,11,What type of samples were sequenced?,Unknown
28559249,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
28559249,13,Were the patients in the study in a clinical trial?,No
28559249,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Unknown
28559249,15,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, PI"
28559249,16,Which drugs were received by individuals in the study before sample sequencing?,"AZT, 3TC, LPV"
29373677,1,Does the paper report HIV sequences from patient samples?,Yes
29373677,2,Does the paper report in vitro drug susceptibility data?,Yes
29373677,3,Were sequences from the paper made publicly available?,
29373677,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
29373677,5,How many individuals had samples obtained for HIV sequencing?,1
29373677,6,From which countries were the sequenced samples obtained?,Not Found
29373677,7,From what years were the sequenced samples obtained?,Not Found
29373677,8,Were samples cloned prior to sequencing?,No
29373677,9,Which HIV genes were reported to have been sequenced?,"Integrase, IN"
