PMID,QID,question,Evidence,Rationale,AI Answer
18715920,1,Does the paper report HIV sequences from patient samples?,"The paper reports the selection of viruses resistant to the integrase inhibitor elvitegravir (EVG) using a novel resistance selection protocol. The study used a human T-lymphoblastoid cell line MT4 and HIV-1 molecular clone pHXB2D. The IN-encoding region of the *pol* gene of the viruses, selected at different passages, was sequenced.","The paper does not report HIV sequences from patient samples, but rather from a laboratory setting where viruses were selected and sequenced in vitro.",No
18715920,2,Does the paper report in vitro drug susceptibility data?,"The paper reports the selection of viruses resistant to the integrase inhibitor elvitegravir (EVG) using a novel resistance selection protocol. The study used a human T-lymphoblastoid cell line MT4 and HIV-1 molecular clone pHXB2D. The IN-encoding region of the *pol* gene of the viruses, selected at different passages, was sequenced.","The paper reports in vitro drug susceptibility data, as the study used a laboratory setting to select and sequence viruses resistant to EVG.",Yes
18715920,3,Were sequences from the paper made publicly available?,Not reported,The paper does not report sequences being made publicly available.,No
18715920,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported,The paper does not report GenBank accession numbers for sequenced HIV isolates.,No
18715920,5,How many individuals had samples obtained for HIV sequencing?,Not reported,The paper does not report the number of individuals with samples obtained for HIV sequencing.,0
18715920,6,From which countries were the sequenced samples obtained?,Not reported,The paper does not report the countries from which the sequenced samples were obtained.,No
18715920,7,From what years were the sequenced samples obtained?,Not reported,The paper does not report the years from which the sequenced samples were obtained.,No
18715920,8,Were samples cloned prior to sequencing?,The study used a QuikChange site-directed mutagenesis kit and high-performance liquid chromatography-purified primers.,"The paper reports the use of site-directed mutagenesis, which involves cloning.",Yes
18715920,9,Which HIV genes were reported to have been sequenced?,"The IN-encoding region of the *pol* gene of the viruses, selected at different passages, was sequenced.",The paper reports the sequencing of the IN gene.,Integrase (IN)
18715920,10,What method was used for sequencing?,The study used a QuikChange site-directed mutagenesis kit and high-performance liquid chromatography-purified primers.,The paper reports the use of site-directed mutagenesis and PCR for sequencing.,Sanger sequencing
18715920,11,What type of samples were sequenced?,The study used a human T-lymphoblastoid cell line MT4 and HIV-1 molecular clone pHXB2D.,The paper reports the sequencing of laboratory-derived samples.,No
18715920,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Not reported,The paper does not report sequences from individuals with virological failure on a treatment regimen.,No
18715920,13,Were the patients in the study in a clinical trial?,The study used a laboratory setting to select and sequence viruses resistant to EVG.,The paper does not report the patients being in a clinical trial.,No
18715920,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,The study used a laboratory setting to select and sequence viruses resistant to EVG.,The paper does not report sequences from individuals who had previously received ARV drugs.,No
18715920,15,Which drug classes were received by individuals in the study before sample sequencing?,The study used a laboratory setting to select and sequence viruses resistant to EVG.,The paper does not report the drug classes received by individuals in the study before sample sequencing.,No
18715920,16,Which drugs were received by individuals in the study before sample sequencing?,The study used a laboratory setting to select and sequence viruses resistant to EVG.,The paper does not report the drugs received by individuals in the study before sample sequencing.,No
19104010,1,Does the paper report HIV sequences from patient samples?,"The paper does not report HIV sequences from patient samples. Instead, it describes the biological characterization of GS-9160, an antiviral inhibitor of the HIV-1 IN strand transfer reaction.","The paper focuses on the development and characterization of GS-9160, a novel antiviral compound, rather than reporting HIV sequences from patient samples.",No
19104010,2,Does the paper report in vitro drug susceptibility data?,The paper reports in vitro drug susceptibility data for GS-9160 and other antiviral compounds.,"The paper describes the antiviral activity of GS-9160 and other compounds against HIV-1, including their EC50 values and synergy/antagonism volumes.",Yes
19104010,3,Were sequences from the paper made publicly available?,Not reported,The paper does not provide information on the public availability of the sequences.,No
