PMID,QID,Question,Type,Category,Human Answer,GPT-4o base,GPT-4o base correct,GPT-4o FT,GPT-4o FT correct,Llama3.1-70B base,Llama3.1-70B base correct,Llama3.1-70B FT,Llama3.1-70B FT correct,Llama3.1-8B base,Llama3.1-8B base correct,Llama3.1-8B FT,Llama3.1-8B FT correct,is_not_empty
18715920,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
18715920,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,True
18715920,3,Were sequences from the paper made publicly available?,Boolean,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
18715920,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
18715920,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,,0,1,0,1,0,1,0,1,0,1,0,1,False
18715920,6,From which countries were the sequenced samples obtained?,List,Demographics,,No,1,No,1,No,1,No,1,No,1,No,1,False
18715920,7,From what years were the sequenced samples obtained?,List,Demographics,,No,1,No,1,No,1,No,1,No,1,No,1,False
18715920,8,Were samples cloned prior to sequencing?,Boolean,Technical,,Yes,0,No,1,No,1,No,1,Yes,0,No,1,False
18715920,9,Which HIV genes were reported to have been sequenced?,List,Technical,IN,"Integrase, IN",1,"RT, IN",0,No,0,IN,1,Integrase (IN),1,No,0,True
18715920,10,What method was used for sequencing?,List,Technical,Sanger sequencing,Sanger sequencing,1,Sanger sequencing,1,No,0,No,0,Sanger sequencing,1,No,0,True
18715920,11,What type of samples were sequenced?,List,Technical,,No,1,No,1,No,1,Virus stock,0,No,1,No,1,False
18715920,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
18715920,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
18715920,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
18715920,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,,No,1,No,1,INSTI,0,No,1,No,1,No,1,False
