PMID,QID,question,Evidence,Rationale,AI Answer
18715920,1,Does the paper report HIV sequences from patient samples?,The paper does not mention patient samples or HIV sequences from patients.,The paper discusses the selection of viruses resistant to the integrase inhibitor elvitegravir (EVG) and the analysis of their genotypes and phenotypes. It does not mention patient samples or HIV sequences from patients.,No
18715920,2,Does the paper report in vitro drug susceptibility data?,"The paper reports the susceptibility of HIV-1 strains to various integrase inhibitors, including EVG, RAL, PACA, L-870,810, PICA, and L-731,988.",The paper discusses the results of in vitro experiments that tested the susceptibility of HIV-1 strains to various integrase inhibitors.,Yes
18715920,3,Were sequences from the paper made publicly available?,Not reported,The paper does not mention whether the sequences from the paper were made publicly available.,No
18715920,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported,The paper does not provide GenBank accession numbers for sequenced HIV isolates.,No
18715920,5,How many individuals had samples obtained for HIV sequencing?,Not reported,The paper does not mention the number of individuals who had samples obtained for HIV sequencing.,0
18715920,6,From which countries were the sequenced samples obtained?,Not Found,The paper does not mention the countries from which the sequenced samples were obtained.,No
18715920,7,From what years were the sequenced samples obtained?,Not Found,The paper does not mention the years from which the sequenced samples were obtained.,No
18715920,8,Were samples cloned prior to sequencing?,Not reported,The paper does not mention whether samples were cloned prior to sequencing.,No
18715920,9,Which HIV genes were reported to have been sequenced?,The paper does not specifically mention which HIV genes were sequenced.,"The paper discusses the selection of viruses resistant to the integrase inhibitor elvitegravir (EVG) and the analysis of their genotypes and phenotypes, but it does not specifically mention which HIV genes were sequenced.",No
18715920,10,What method was used for sequencing?,Not reported,The paper does not mention the method used for sequencing.,No
18715920,11,What type of samples were sequenced?,Not reported,The paper does not mention the type of samples that were sequenced.,No
18715920,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Not reported,The paper does not mention whether any sequences were obtained from individuals with virological failure on a treatment regimen.,No
18715920,13,Were the patients in the study in a clinical trial?,Not reported,The paper does not mention whether the patients in the study were in a clinical trial.,No
18715920,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Not reported,The paper does not mention whether the individuals who had previously received ARV drugs.,No
18715920,15,Which drug classes were received by individuals in the study before sample sequencing?,"INSTI (Integrase Inhibitor), including Raltegravir (RAL), Elvitegravir(EVG), Dolutagravir (DTG), Bictegravir (BIC), cabotagravir (CAB), Lenacapavir (LEN).",The paper discusses the selection of viruses resistant to the integrase inhibitor elvitegravir (EVG) and the analysis of their genotypes and phenotypes.,INSTI
18715920,16,Which drugs were received by individuals in the study before sample sequencing?,"Raltegravir (RAL), Elvitegravir(EVG), Dolutagravir (DTG), Bictegravir (BIC), cabotagravir (CAB), Lenacapavir (LEN).",The paper discusses the selection of viruses resistant to the integrase inhibitor elvitegravir (EVG) and the analysis of their genotypes and phenotypes.,"RAL, EVG, DTG, BIC, CAB, LEN"
19104010,1,Does the paper report HIV sequences from patient samples?,,,No
19104010,2,Does the paper report in vitro drug susceptibility data?,,,Yes
19104010,3,Were sequences from the paper made publicly available?,,,No
19104010,4,What were the GenBank accession numbers for sequenced HIV isolates?,,,No
19104010,5,How many individuals had samples obtained for HIV sequencing?,,,0
19104010,6,From which countries were the sequenced samples obtained?,,,No
19104010,7,From what years were the sequenced samples obtained?,,,No
19104010,8,Were samples cloned prior to sequencing?,,,No
19104010,9,Which HIV genes were reported to have been sequenced?,,,"Integrase, IN"
19104010,10,What method was used for sequencing?,,,No
19104010,11,What type of samples were sequenced?,,,No
19104010,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,,,No
19104010,13,Were the patients in the study in a clinical trial?,,,No
19104010,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,,,Yes
19104010,15,Which drug classes were received by individuals in the study before sample sequencing?,,,INSTI
19104010,16,Which drugs were received by individuals in the study before sample sequencing?,,,"GS-9160, L-870,810, GS-9137, MK-0518"
21115794,1,Does the paper report HIV sequences from patient samples?,The paper does not mention obtaining HIV sequences from patient samples.,"The paper does not mention obtaining HIV sequences from patient samples, but rather focuses on the in vitro antiretroviral properties of S/GSK1349572, a next-generation HIV integrase inhibitor.",No
21115794,2,Does the paper report in vitro drug susceptibility data?,The paper reports in vitro antiretroviral activity of S/GSK1349572 against HIV-1 in PBMCs and various other cells.,"The paper presents data on the in vitro antiretroviral activity of S/GSK1349572, including its potency against HIV-1 in PBMCs and various other cells.",Yes
21115794,3,Were sequences from the paper made publicly available?,Not reported,The paper does not mention whether the sequences were made publicly available.,No
21115794,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported,The paper does not provide GenBank accession numbers for sequenced HIV isolates.,No
21115794,5,How many individuals had samples obtained for HIV sequencing?,Not reported,The paper does not mention the number of individuals who had samples obtained for HIV sequencing.,0
21115794,6,From which countries were the sequenced samples obtained?,Not reported,The paper does not mention the countries from which the sequenced samples were obtained.,No
21115794,7,From what years were the sequenced samples obtained?,Not reported,The paper does not mention the years from which the sequenced samples were obtained.,No
21115794,8,Were samples cloned prior to sequencing?,Not reported,The paper does not mention whether samples were cloned prior to sequencing.,No
21115794,9,Which HIV genes were reported to have been sequenced?,The paper does not mention sequencing of specific HIV genes.,"The paper does not mention sequencing of specific HIV genes, but rather focuses on the in vitro antiretroviral properties of S/GSK1349572.",No
21115794,10,What method was used for sequencing?,Not reported,The paper does not mention the method used for sequencing.,No
21115794,11,What type of samples were sequenced?,Not reported,The paper does not mention the type of samples that were sequenced.,No
21115794,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Not reported,The paper does not mention whether any sequences were obtained from individuals with virological failure on a treatment regimen.,No
21115794,13,Were the patients in the study in a clinical trial?,Not reported,The paper does not mention whether the patients in the study were in a clinical trial.,No
21115794,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Not reported,The paper does not mention whether the individuals had previously received ARV drugs.,No
21115794,15,Which drug classes were received by individuals in the study before sample sequencing?,"INSTI (Integrase Inhibitor), including Raltegravir (RAL), Elvitegravir(EVG), Dolutagravir (DTG), Bictegravir (BIC), cabotagravir (CAB), Lenacapavir (LEN).","The paper mentions the use of INSTI (Integrase Inhibitor) drugs, including Raltegravir (RAL) and Elvitegravir(EVG), in the study.",INSTI
21115794,16,Which drugs were received by individuals in the study before sample sequencing?,"Raltegravir (RAL), Elvitegravir(EVG)",The paper mentions the use of Raltegravir (RAL) and Elvitegravir(EVG) in the study.,"Raltegravir (RAL), Elvitegravir(EVG)"
23749954,1,Does the paper report HIV sequences from patient samples?,,,No
23749954,2,Does the paper report in vitro drug susceptibility data?,,,Yes
23749954,3,Were sequences from the paper made publicly available?,,,No
23749954,4,What were the GenBank accession numbers for sequenced HIV isolates?,,,No
23749954,5,How many individuals had samples obtained for HIV sequencing?,,,Not specified
23749954,6,From which countries were the sequenced samples obtained?,,,No
23749954,7,From what years were the sequenced samples obtained?,,,No
23749954,8,Were samples cloned prior to sequencing?,,,No
23749954,9,Which HIV genes were reported to have been sequenced?,,,Not specified
23749954,10,What method was used for sequencing?,,,No
23749954,11,What type of samples were sequenced?,,,No
23749954,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,,,No
23749954,13,Were the patients in the study in a clinical trial?,,,No
23749954,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,,,No
23749954,15,Which drug classes were received by individuals in the study before sample sequencing?,,,NRTI
23749954,16,Which drugs were received by individuals in the study before sample sequencing?,,,"Tenofovir, didanosine, stavudine, apricitabine, and abacavir"
24227862,1,Does the paper report HIV sequences from patient samples?,,,No
24227862,2,Does the paper report in vitro drug susceptibility data?,,,Yes
24227862,3,Were sequences from the paper made publicly available?,,,No
24227862,4,What were the GenBank accession numbers for sequenced HIV isolates?,,,No
24227862,5,How many individuals had samples obtained for HIV sequencing?,,,0
24227862,6,From which countries were the sequenced samples obtained?,,,No
24227862,7,From what years were the sequenced samples obtained?,,,No
24227862,8,Were samples cloned prior to sequencing?,,,No
24227862,9,Which HIV genes were reported to have been sequenced?,,,"Reverse transcriptase, RT"
24227862,10,What method was used for sequencing?,,,No
24227862,11,What type of samples were sequenced?,,,PBMC
24227862,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,,,No
24227862,13,Were the patients in the study in a clinical trial?,,,No
24227862,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,,,Yes
24227862,15,Which drug classes were received by individuals in the study before sample sequencing?,,,NNRTI
24227862,16,Which drugs were received by individuals in the study before sample sequencing?,,,"Nevirapine (NVP), Etravirine (ETR), Rilpivirine (RPV)"
25637519,1,Does the paper report HIV sequences from patient samples?,,,No
25637519,2,Does the paper report in vitro drug susceptibility data?,,,Yes
25637519,3,Were sequences from the paper made publicly available?,,,No
25637519,4,What were the GenBank accession numbers for sequenced HIV isolates?,,,No
25637519,5,How many individuals had samples obtained for HIV sequencing?,,,0
25637519,6,From which countries were the sequenced samples obtained?,,,China
25637519,7,From what years were the sequenced samples obtained?,,,No
25637519,8,Were samples cloned prior to sequencing?,,,Yes
25637519,9,Which HIV genes were reported to have been sequenced?,,,"Reverse transcriptase, RT"
25637519,10,What method was used for sequencing?,,,No
25637519,11,What type of samples were sequenced?,,,Other
25637519,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,,,Yes
25637519,13,Were the patients in the study in a clinical trial?,,,No
25637519,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,,,Yes
25637519,15,Which drug classes were received by individuals in the study before sample sequencing?,,,"NRTI, NNRTI"
25637519,16,Which drugs were received by individuals in the study before sample sequencing?,,,"Abacavir (ABC), Zidovudine'(AZT), Zalcitabine (DDC), Didanosine (DDI), Lamivudine (3TC), Stavudine (D4T), Emtricitabine(FTC), Tenofovir (TFV), Nevirapine (NVP), Delavirdine (DLV), Efavirenz (EFV), Etravirine (ETR), Rilpivirine (RPV), Doravirine (DOR)"
26246578,1,Does the paper report HIV sequences from patient samples?,,,No
26246578,2,Does the paper report in vitro drug susceptibility data?,,,Yes
26246578,3,Were sequences from the paper made publicly available?,,,No
26246578,4,What were the GenBank accession numbers for sequenced HIV isolates?,,,No
26246578,5,How many individuals had samples obtained for HIV sequencing?,,,0
26246578,6,From which countries were the sequenced samples obtained?,,,No
26246578,7,From what years were the sequenced samples obtained?,,,No
26246578,8,Were samples cloned prior to sequencing?,,,No
26246578,9,Which HIV genes were reported to have been sequenced?,,,No
26246578,10,What method was used for sequencing?,,,No
26246578,11,What type of samples were sequenced?,,,No
26246578,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,,,No
26246578,13,Were the patients in the study in a clinical trial?,,,No
26246578,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,,,No
26246578,15,Which drug classes were received by individuals in the study before sample sequencing?,,,INSTI
26246578,16,Which drugs were received by individuals in the study before sample sequencing?,,,"RAL, EVG, DTG"
26311878,1,Does the paper report HIV sequences from patient samples?,The paper does not mention patient samples or HIV sequences from patients.,"The paper discusses the effects of certain substitutions on viral infectivity, replicative capacity, and resistance to antiretroviral compounds, but it does not mention patient samples or HIV sequences from patients.",No
26311878,2,Does the paper report in vitro drug susceptibility data?,"The paper reports the results of resistance assays using TZM-bl cells to determine the effects of the T66I substitution combined with the R263K and/or the E138K secondary substitution on resistance to each of the drugs DTG, RAL, and EVG.","The paper discusses the effects of certain substitutions on viral infectivity, replicative capacity, and resistance to antiretroviral compounds, and it reports the results of in vitro drug susceptibility data.",Yes
26311878,3,Were sequences from the paper made publicly available?,Not Found,The paper does not mention whether sequences from the paper were made publicly available.,No
26311878,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported,The paper does not mention GenBank accession numbers for sequenced HIV isolates.,No
26311878,5,How many individuals had samples obtained for HIV sequencing?,Not Found,The paper does not mention the number of individuals who had samples obtained for HIV sequencing.,0
26311878,6,From which countries were the sequenced samples obtained?,Not Found,The paper does not mention the countries from which the sequenced samples were obtained.,No
26311878,7,From what years were the sequenced samples obtained?,Not Found,The paper does not mention the years from which the sequenced samples were obtained.,No
26311878,8,Were samples cloned prior to sequencing?,Not Found,The paper does not mention whether samples were cloned prior to sequencing.,No
