PMID,QID,annotation_verdict,reason
19104010,10,convention,annotation defaults to Sanger; the PDF never mentions it
31988104,1,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
31988104,14,unanswerable,Boolean question annotated '14'
34516245,10,convention,annotation defaults to Sanger; the PDF never mentions it
35913500,5,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
36454248,10,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
36645792,5,ambiguous,"annotation hedges: '120 * 76% = 95, or 120 or 129'"
36645792,7,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
36659824,5,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
36660819,5,ambiguous,annotation hedges: '8 and 10'
36694270,10,convention,annotation defaults to Sanger; the PDF never mentions it
36706364,5,ambiguous,annotation hedges: '62 or 3'
36851704,12,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37071019,9,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37104815,11,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37272233,14,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37520425,5,ambiguous,annotation hedges: '25 or 30'
37541705,16,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37541705,9,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37574435,5,ambiguous,annotation hedges: '70 or 79'
37593123,11,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37626789,5,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37632026,16,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37701387,5,ambiguous,annotation hedges: '0 or 30'
37755428,15,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37755428,16,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37823653,9,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37880705,10,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
37880705,3,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
37880705,5,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
37880705,6,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
37880705,7,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
37910452,13,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
37910452,6,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
37910452,7,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
37938856,5,ambiguous,annotation hedges: '820 or 46'
37957382,8,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
38005921,9,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
38058846,11,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
40391923,5,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
40400229,13,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
40431710,10,convention,annotation defaults to Sanger; the PDF never mentions it
40431742,10,convention,annotation defaults to Sanger; the PDF never mentions it
40596906,16,ambiguous,annotation hedges: 'Not stated'
40779404,12,ambiguous,annotation hedges: 'Unknown'
40779404,16,ambiguous,annotation hedges: 'TFV (no other ARVs specified; Data in supplementary methods)'
40857111,10,ambiguous,annotation hedges: 'Not stated'
40857111,5,ambiguous,annotation hedges: '7 (Uncertain)'
40857111,6,ambiguous,annotation hedges: 'Not provided (multicenter trial)'
40872801,10,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
40872801,11,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
40872801,12,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
40872801,14,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
40872801,15,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
40872801,16,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
40872801,5,ambiguous,annotation hedges: '0 (Review paper)'
40872801,6,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
40872801,7,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
40872801,9,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
40965168,1,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
