PMID,PMCID,DOI,in_pmc,link,save_as
18715920,PMC2573211,10.1128/JVI.00470-08,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC2573211/,frontier_compare/pdfs/18715920.pdf
19104010,PMC2650545,10.1128/AAC.00984-08,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC2650545/,frontier_compare/pdfs/19104010.pdf
21115794,PMC3028777,10.1128/AAC.01209-10,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC3028777/,frontier_compare/pdfs/21115794.pdf
24227862,PMC3911599,10.1128/JVI.02904-13,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC3911599/,frontier_compare/pdfs/24227862.pdf
25637519,PMC4398475,10.1093/jac/dku565,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC4398475/,frontier_compare/pdfs/25637519.pdf
26246578,PMC4580168,10.1128/JVI.01725-15,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC4580168/,frontier_compare/pdfs/26246578.pdf
26311878,PMC4645644,10.1128/JVI.01881-15,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC4645644/,frontier_compare/pdfs/26311878.pdf
26559830,PMC4702657,10.1128/JVI.01772-15,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC4702657/,frontier_compare/pdfs/26559830.pdf
27124362,PMC4942337,10.1097/QAI.0000000000001031,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC4942337/,frontier_compare/pdfs/27124362.pdf
28559249,PMC5527656,10.1128/AAC.00744-17,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC5527656/,frontier_compare/pdfs/28559249.pdf
30053052,PMC6148215,10.1093/jac/dky256,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC6148215/,frontier_compare/pdfs/30053052.pdf
30803972,PMC6496081,10.1128/AAC.00014-19,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC6496081/,frontier_compare/pdfs/30803972.pdf
31988104,PMC7179327,10.1128/AAC.02557-19,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC7179327/,frontier_compare/pdfs/31988104.pdf
32601157,PMC7449158,10.1128/AAC.00611-20,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC7449158/,frontier_compare/pdfs/32601157.pdf
34516245,PMC8597736,10.1128/AAC.01167-21,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC8597736/,frontier_compare/pdfs/34516245.pdf
36961945,PMC10272101,10.1097/QAI.0000000000003195,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC10272101/,frontier_compare/pdfs/36961945.pdf
37017009,PMC10616358,10.1093/jac/dkac443,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC10616358/,frontier_compare/pdfs/37017009.pdf
37052343,PMC10893964,10.1093/cid/ciad219,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC10893964/,frontier_compare/pdfs/37052343.pdf
37071019,PMC10190594,10.1128/aac.01386-22,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC10190594/,frontier_compare/pdfs/37071019.pdf
37540331,PMC10624796,10.1007/s40199-023-00470-2,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC10624796/,frontier_compare/pdfs/37540331.pdf
37541705,PMC10642428,10.1016/S2352-3018(23)00107-8,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC10642428/,frontier_compare/pdfs/37541705.pdf
37701387,PMC10495053,10.53854/liim-3103-2,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC10495053/,frontier_compare/pdfs/37701387.pdf
37716367,PMC11060097,10.1016/S2352-3018(23)00173-X,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC11060097/,frontier_compare/pdfs/37716367.pdf
37775947,PMC10872720,10.1111/hiv.13556,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC10872720/,frontier_compare/pdfs/37775947.pdf
38142692,PMC10805003,10.1016/S2214-109X(23)00516-8,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC10805003/,frontier_compare/pdfs/38142692.pdf
23749954,,10.1093/jac/dkt204,False,https://doi.org/10.1093/jac/dkt204,frontier_compare/pdfs/23749954.pdf
29373677,,10.1093/jac/dkx529,False,https://doi.org/10.1093/jac/dkx529,frontier_compare/pdfs/29373677.pdf
33855437,,10.1093/jac/dkab126,False,https://doi.org/10.1093/jac/dkab126,frontier_compare/pdfs/33855437.pdf
35730213,,10.1111/hiv.13352,False,https://doi.org/10.1111/hiv.13352,frontier_compare/pdfs/35730213.pdf
35945163,,10.1111/hiv.13370,False,https://doi.org/10.1111/hiv.13370,frontier_compare/pdfs/35945163.pdf
36415058,,10.1002/jmv.28330,False,https://doi.org/10.1002/jmv.28330,frontier_compare/pdfs/36415058.pdf
36519389,,10.1093/cid/ciac949,False,https://doi.org/10.1093/cid/ciac949,frontier_compare/pdfs/36519389.pdf
36571282,,10.1093/cid/ciac972,False,https://doi.org/10.1093/cid/ciac972,frontier_compare/pdfs/36571282.pdf
36659824,,10.1093/jac/dkad008,False,https://doi.org/10.1093/jac/dkad008,frontier_compare/pdfs/36659824.pdf
36738248,,10.1093/jac/dkac430,False,https://doi.org/10.1093/jac/dkac430,frontier_compare/pdfs/36738248.pdf
37039023,,10.1093/jac/dkad104,False,https://doi.org/10.1093/jac/dkad104,frontier_compare/pdfs/37039023.pdf
37042390,,10.1093/jac/dkad111,False,https://doi.org/10.1093/jac/dkad111,frontier_compare/pdfs/37042390.pdf
37104815,,10.1093/jac/dkad119,False,https://doi.org/10.1093/jac/dkad119,frontier_compare/pdfs/37104815.pdf
37147875,,10.1093/jac/dkad135,False,https://doi.org/10.1093/jac/dkad135,frontier_compare/pdfs/37147875.pdf
37279764,,10.1093/jac/dkad175,False,https://doi.org/10.1093/jac/dkad175,frontier_compare/pdfs/37279764.pdf
37439411,,10.1111/hiv.13525,False,https://doi.org/10.1111/hiv.13525,frontier_compare/pdfs/37439411.pdf
