PMID,PMCID,DOI,status,source
18715920,PMC2573211,10.1128/JVI.00470-08,not_found,
19104010,PMC2650545,10.1128/AAC.00984-08,not_found,
21115794,PMC3028777,10.1128/AAC.01209-10,not_found,
23749954,,10.1093/jac/dkt204,not_found,
24227862,PMC3911599,10.1128/JVI.02904-13,not_found,
25637519,PMC4398475,10.1093/jac/dku565,not_found,
26246578,PMC4580168,10.1128/JVI.01725-15,not_found,
26311878,PMC4645644,10.1128/JVI.01881-15,not_found,
26559830,PMC4702657,10.1128/JVI.01772-15,not_found,
27124362,PMC4942337,10.1097/QAI.0000000000001031,not_found,
28559249,PMC5527656,10.1128/AAC.00744-17,not_found,
29373677,,10.1093/jac/dkx529,not_found,
30053052,PMC6148215,10.1093/jac/dky256,not_found,
30803972,PMC6496081,10.1128/AAC.00014-19,not_found,
31988104,PMC7179327,10.1128/AAC.02557-19,not_found,
32601157,PMC7449158,10.1128/AAC.00611-20,not_found,
33855437,,10.1093/jac/dkab126,not_found,
34516245,PMC8597736,10.1128/AAC.01167-21,not_found,
35730213,,10.1111/hiv.13352,not_found,
35945163,,10.1111/hiv.13370,not_found,
36415058,,10.1002/jmv.28330,not_found,
36519389,,10.1093/cid/ciac949,not_found,
36571282,,10.1093/cid/ciac972,not_found,
36659824,,10.1093/jac/dkad008,not_found,
36738248,,10.1093/jac/dkac430,not_found,
36961945,PMC10272101,10.1097/QAI.0000000000003195,not_found,
37017009,PMC10616358,10.1093/jac/dkac443,not_found,
37039023,,10.1093/jac/dkad104,not_found,
37042390,,10.1093/jac/dkad111,not_found,
37052343,PMC10893964,10.1093/cid/ciad219,not_found,
37071019,PMC10190594,10.1128/aac.01386-22,not_found,
37104815,,10.1093/jac/dkad119,not_found,
37147875,,10.1093/jac/dkad135,not_found,
37279764,,10.1093/jac/dkad175,not_found,
37439411,,10.1111/hiv.13525,not_found,
37495103,,10.1016/j.jgar.2023.07.013,not_found,
37537871,,10.1093/clinchem/hvad108,not_found,
37540331,PMC10624796,10.1007/s40199-023-00470-2,not_found,
37541705,PMC10642428,10.1016/S2352-3018(23)00107-8,not_found,
37573167,,10.1016/j.jcv.2023.105551,not_found,
37574435,,10.1016/j.jmii.2023.07.013,not_found,
37701387,PMC10495053,10.53854/liim-3103-2,not_found,
37716367,PMC11060097,10.1016/S2352-3018(23)00173-X,not_found,
37775947,PMC10872720,10.1111/hiv.13556,not_found,
37976185,,10.1093/cid/ciad699,not_found,
38142692,PMC10805003,10.1016/S2214-109X(23)00516-8,not_found,
