PMID,Set,source,candidates,status,size_mb,pages,sha256
18715920,original120,,0,missing,,,
19104010,original120,,0,missing,,,
21115794,original120,,0,missing,,,
23749954,original120,,0,missing,,,
24227862,original120,,0,missing,,,
25637519,original120,,0,missing,,,
26246578,original120,,0,missing,,,
26311878,original120,,0,missing,,,
26559830,original120,,0,missing,,,
27009474,original120,frontier_compare/pdfs/27009474.pdf,1,ok,0.06,3.0,55ff56de95c7e084
27124362,original120,,0,missing,,,
28559249,original120,,0,missing,,,
29373677,original120,,0,missing,,,
30053052,original120,,0,missing,,,
30803972,original120,,0,missing,,,
31988104,original120,,0,missing,,,
32601157,original120,,0,missing,,,
33855437,original120,,0,missing,,,
34516245,original120,,0,missing,,,
35730213,original120,,0,missing,,,
35913500,original120,frontier_compare/pdfs/35913500.pdf,1,ok,0.29,7.0,f1234dd7740af5d5
35945163,original120,,0,missing,,,
36415058,original120,,0,missing,,,
36454248,original120,frontier_compare/pdfs/36454248.pdf,1,ok,0.57,13.0,7957e0131dfbfc5d
36519389,original120,,0,missing,,,
36571282,original120,,0,missing,,,
36597160,original120,frontier_compare/pdfs/36597160.pdf,1,ok,0.66,10.0,765460228289066f
36645792,original120,frontier_compare/pdfs/36645792.pdf,1,ok,0.51,9.0,f84355f9e83f06f3
36659824,original120,,0,missing,,,
36660819,original120,frontier_compare/pdfs/36660819.pdf,1,ok,0.66,9.0,f75bc9b687f2071a
36694270,original120,frontier_compare/pdfs/36694270.pdf,1,ok,0.34,7.0,e84b0deb0439fd32
36706364,original120,frontier_compare/pdfs/36706364.pdf,1,ok,0.61,16.0,1122325bbf1e05e7
36738248,original120,,0,missing,,,
36751650,original120,frontier_compare/pdfs/36751650.pdf,1,ok,0.84,10.0,291944e27a47d46a
36779485,original120,frontier_compare/pdfs/36779485.pdf,1,ok,0.16,3.0,c1e44a4e253e16af
36795586,original120,frontier_compare/pdfs/36795586.pdf,1,ok,0.3,6.0,690bd3662c40bc73
36851704,original120,frontier_compare/pdfs/36851704.pdf,1,ok,0.69,11.0,c0a94cc7ca1925b7
36851760,original120,frontier_compare/pdfs/36851760.pdf,1,ok,1.26,11.0,7933f08886e1cdc0
36920025,original120,frontier_compare/pdfs/36920025.pdf,1,ok,4.86,26.0,ec23fa8ff8d60d14
36931676,original120,frontier_compare/pdfs/36931676.pdf,1,ok,0.53,9.0,3bb6271657d62529
36961945,original120,,0,missing,,,
36967989,original120,frontier_compare/pdfs/36967989.pdf,1,ok,3.76,21.0,a4998e58edf4db6e
36982978,original120,frontier_compare/pdfs/36982978.pdf,1,ok,0.76,19.0,af0d95499cc5162a
37017009,original120,,0,missing,,,
37029656,original120,frontier_compare/pdfs/37029656.pdf,1,ok,0.2,2.0,aaccf20db37d6247
37039023,original120,,0,missing,,,
37042390,original120,,0,missing,,,
37052343,original120,,0,missing,,,
37071019,original120,,0,missing,,,
37085698,original120,frontier_compare/pdfs/37085698.pdf,1,ok,1.58,8.0,2ddc243892b4d84c
37104815,original120,,0,missing,,,
37112971,original120,frontier_compare/pdfs/37112971.pdf,1,ok,2.03,16.0,3f6d28a5f7ec2aad
37147875,original120,,0,missing,,,
37272233,original120,frontier_compare/pdfs/37272233.pdf,1,ok,1.44,9.0,3891bdd208cb7c4e
37279764,original120,,0,missing,,,
37327289,original120,frontier_compare/pdfs/37327289.pdf,1,ok,0.58,8.0,26e22ba84ce4c11c
37340869,original120,frontier_compare/pdfs/37340869.pdf,1,ok,0.53,9.0,e73952d4dd2ae0fe
37358226,original120,frontier_compare/pdfs/37358226.pdf,1,ok,0.33,4.0,1b80abc7f6bbe8bc
37376649,original120,frontier_compare/pdfs/37376649.pdf,1,ok,0.69,9.0,836b567fdf22783e
37381002,original120,frontier_compare/pdfs/37381002.pdf,1,ok,2.52,8.0,b9a2029cddfcae5b
37439411,original120,,0,missing,,,
37495103,original120,,0,missing,,,
37498738,original120,frontier_compare/pdfs/37498738.pdf,1,ok,0.93,12.0,fd9c020fd9b7e1d1
37515095,original120,frontier_compare/pdfs/37515095.pdf,1,ok,2.42,15.0,e5dbc97f18247055
37515146,original120,frontier_compare/pdfs/37515146.pdf,1,ok,1.39,13.0,a5f1452604760965
37520425,original120,frontier_compare/pdfs/37520425.pdf,1,ok,0.54,10.0,56b9e995fb9301ad
37537871,original120,,0,missing,,,
37540331,original120,,0,missing,,,
37541705,original120,,0,missing,,,
37546367,original120,frontier_compare/pdfs/37546367.pdf,1,ok,3.79,12.0,193ffb8fee63406d
37554471,original120,frontier_compare/pdfs/37554471.pdf,1,ok,0.52,4.0,40165dbe39490774
37573167,original120,,0,missing,,,
37574435,original120,,0,missing,,,
37585352,original120,frontier_compare/pdfs/37585352.pdf,1,ok,0.24,7.0,36835dc9ae9e8b6d
37593123,original120,frontier_compare/pdfs/37593123.pdf,1,ok,0.74,11.0,f5359af5bd5da3af
37626789,original120,frontier_compare/pdfs/37626789.pdf,1,ok,1.43,14.0,50fffb18b0521b34
37632026,original120,frontier_compare/pdfs/37632026.pdf,1,ok,1.9,14.0,ebefe7024a5971c8
37632071,original120,frontier_compare/pdfs/37632071.pdf,1,ok,1.99,18.0,eced5a94d05983a4
