PMID,QID,annotation_verdict,reason
38005921,2,ambiguous,"ML paper reuses PhenoSense fold-ratio data from a database; the QSP rule ('reports IC50/EC50/fold change') supports Yes, the curators applied a 'new data' standard"
41056006,2,ambiguous,"PhenoSense Gag-Pro assay stated at study entry; the QSP rule ('describes a susceptibility assay') supports Yes, no numeric results are shown"
40857111,2,ambiguous,paper states participants underwent genotypic/phenotypic resistance analyses; no susceptibility values shown
37674678,3,ambiguous,"the quoted text is the journal's data-deposition policy statement, not evidence of an actual deposition"
37878637,3,wrong,"GenBank accession numbers (OR259825 etc.) appear in a table; the QSP rule says accessions mean Yes, annotation says No"
37376649,11,ambiguous,paper says whole blood was used for the GenoSure Archive assay; annotation says PBMC
40779404,11,ambiguous,paper says whole blood (proviral DNA); annotation says PBMC
37880705,1,wrong,"systematic review of pretreatment drug resistance studies in Ethiopia (article type REVIEW); the QSP rule says reviews get No, the annotation says Yes and records pooled primary-study details"
41130593,7,wrong,"study periods are stated in the Figure 3 footnotes (August 2021-September 2023; June 2021-December 2023); the annotation, made from a markdown conversion without figures, says 'Not provided'"
41091504,8,wrong,"computational paper (molecular dynamics and machine learning on published protease data); the PDF never mentions cloning, site-directed mutagenesis or sequencing, yet the annotation says 'Yes (site-directed mutants)'"
19104010,10,convention,annotation defaults to Sanger; the PDF never mentions it
31988104,1,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
31988104,14,unanswerable,Boolean question annotated '14'
34516245,10,convention,annotation defaults to Sanger; the PDF never mentions it
35913500,5,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
36454248,10,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
36645792,5,ambiguous,"annotation hedges: '120 * 76% = 95, or 120 or 129'"
36645792,7,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
36659824,5,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
36660819,5,ambiguous,annotation hedges: '8 and 10'
36694270,10,convention,annotation defaults to Sanger; the PDF never mentions it
36706364,5,ambiguous,annotation hedges: '62 or 3'
36851704,12,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37071019,9,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37104815,11,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37272233,14,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37520425,5,ambiguous,annotation hedges: '25 or 30'
37541705,16,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37541705,9,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37574435,5,ambiguous,annotation hedges: '70 or 79'
37593123,11,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37626789,5,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37632026,16,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37701387,5,ambiguous,annotation hedges: '0 or 30'
37755428,15,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37755428,16,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37823653,9,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
37880705,10,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
37880705,3,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
37880705,5,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
37880705,6,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
37880705,7,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
37910452,13,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
37910452,6,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
37910452,7,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
37938856,5,ambiguous,annotation hedges: '820 or 46'
37957382,8,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
38005921,9,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
38058846,11,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
40391923,5,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
40400229,13,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
40431710,10,convention,annotation defaults to Sanger; the PDF never mentions it
40431742,10,convention,annotation defaults to Sanger; the PDF never mentions it
