PMID,QID,accepted_answer,reason,source,added_by,date
40872801,10,Not reported,"PDF is a systematic review/meta-analysis (PRISMA); the QSP rules say answer No/None for reviews. The annotation records primary-study details (e.g. Sanger, plasma) whose words do not occur in the PDF.",PDF methods section,curator approved (pilot review 2026-09-22),2026-09-22
40872801,11,Not applicable,"PDF is a systematic review/meta-analysis (PRISMA); the QSP rules say answer No/None for reviews. The annotation records primary-study details (e.g. Sanger, plasma) whose words do not occur in the PDF.",PDF methods section,curator approved (pilot review 2026-09-22),2026-09-22
40872801,12,Not applicable,"PDF is a systematic review/meta-analysis (PRISMA); the QSP rules say answer No/None for reviews. The annotation records primary-study details (e.g. Sanger, plasma) whose words do not occur in the PDF.",PDF methods section,curator approved (pilot review 2026-09-22),2026-09-22
40872801,14,No,"PDF is a systematic review/meta-analysis (PRISMA); the QSP rules say answer No/None for reviews. The annotation records primary-study details (e.g. Sanger, plasma) whose words do not occur in the PDF.",PDF methods section,curator approved (pilot review 2026-09-22),2026-09-22
40872801,15,None,"PDF is a systematic review/meta-analysis (PRISMA); the QSP rules say answer No/None for reviews. The annotation records primary-study details (e.g. Sanger, plasma) whose words do not occur in the PDF.",PDF methods section,curator approved (pilot review 2026-09-22),2026-09-22
40872801,6,Not applicable,"PDF is a systematic review/meta-analysis (PRISMA); the QSP rules say answer No/None for reviews. The annotation records primary-study details (e.g. Sanger, plasma) whose words do not occur in the PDF.",PDF methods section,curator approved (pilot review 2026-09-22),2026-09-22
40872801,7,Not applicable,"PDF is a systematic review/meta-analysis (PRISMA); the QSP rules say answer No/None for reviews. The annotation records primary-study details (e.g. Sanger, plasma) whose words do not occur in the PDF.",PDF methods section,curator approved (pilot review 2026-09-22),2026-09-22
40872801,9,Not applicable,"PDF is a systematic review/meta-analysis (PRISMA); the QSP rules say answer No/None for reviews. The annotation records primary-study details (e.g. Sanger, plasma) whose words do not occur in the PDF.",PDF methods section,curator approved (pilot review 2026-09-22),2026-09-22
41091504,8,Not applicable,"Both frontier models agree and cite not_found evidence; the annotation was made from the markdown conversion, which drops figures. VERIFY against the figure before accepting.",not_found (model-cited),curator approved (pilot review 2026-09-22),2026-09-22
41130593,7,2021-2023,"Study period is given in the Figure 3 footnotes (""August 2021-September 2023""; ""June 2021-December 2023""). The human annotation says ""Not provided"" because it was made from the markdown conversion, which drops figures.",Figure 3 footnote,pilot review,2026-09-22
