PMID,QID,Model,verdict,note
21115794,10,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
24227862,15,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
24227862,16,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
26311878,10,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
27009474,6,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
27009474,6,GPT-4o FT,borderline,M1: annotation empty but the model's answer is in the PDF text
27124362,9,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
28559249,15,GPT-4o FT,borderline,M1: annotation empty but the model's answer is in the PDF text
28559249,15,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
28559249,16,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
28559249,9,Kimi K3 QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
29373677,6,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
30053052,10,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
30053052,15,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
30053052,15,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
30053052,16,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
30803972,10,GPT-6 Astra QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
30803972,10,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
31988104,11,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
31988104,11,Kimi K3 QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
31988104,12,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
31988104,12,Kimi K3 QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
31988104,4,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
32601157,10,GPT-4o FT+QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
33855437,5,GPT-6 Astra QSP,annotation/convention,R6 QID 5 denominator: both 5357 and 6 are stated in the paper
34516245,11,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
34516245,15,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
35730213,6,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
35913500,11,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
35913500,11,Kimi K3 QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
35913500,15,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
35913500,15,Kimi K3 QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
35913500,16,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
35913500,16,Kimi K3 QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
35913500,6,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
35913500,6,Kimi K3 QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
35913500,7,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
35945163,11,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
35945163,12,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
35945163,14,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
35945163,15,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
35945163,16,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
35945163,5,Kimi K3 QSP,annotation/convention,R6 QID 5 denominator: both 35 and 6 are stated in the paper
35945163,5,GPT-4o FT,annotation/convention,R6 QID 5 denominator: both 35 and 6 are stated in the paper
35945163,5,GPT-4o FT+QSP,annotation/convention,R6 QID 5 denominator: both 35 and 6 are stated in the paper
35945163,9,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36519389,6,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
36519389,6,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
36519389,7,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
36519389,7,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
36597160,5,GPT-4o QSP,annotation/convention,R6 QID 5 denominator: both 382 and 6 are stated in the paper
36659824,11,GPT-6 Astra QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
36659824,11,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
36659824,11,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
36659824,12,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
36659824,14,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
36659824,15,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
36659824,16,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
36659824,6,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
36659824,7,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
36659824,9,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
36660819,11,GPT-6 Astra QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
36660819,11,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
36660819,12,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36660819,12,GPT-4o FT+QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36660819,14,GPT-4o FT+QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36660819,15,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36660819,15,GPT-4o FT+QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36660819,16,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36660819,16,GPT-4o FT+QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36660819,9,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36660819,9,GPT-4o FT+QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36706364,11,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36706364,16,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36706364,9,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36706364,9,GPT-4o FT+QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36738248,15,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
36738248,5,GPT-4o FT+QSP,annotation/convention,R6 QID 5 denominator: both 607 and 527 are stated in the paper
36738248,7,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
36779485,11,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36779485,12,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36779485,14,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36779485,15,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36779485,16,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36779485,6,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36795586,11,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36795586,12,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36795586,14,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36795586,15,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36795586,6,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36851760,16,GPT-6 Astra QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
36851760,16,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
36931676,11,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36931676,12,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36931676,12,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36931676,14,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36931676,15,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36931676,15,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36931676,16,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36931676,16,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36931676,6,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36931676,7,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36931676,7,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
36931676,9,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
36961945,15,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
36961945,16,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
36982978,12,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
36982978,14,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
36982978,15,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
36982978,16,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
36982978,9,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
37052343,11,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37052343,7,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37071019,10,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37071019,12,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37071019,14,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37071019,15,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37071019,15,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37071019,16,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37071019,16,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37147875,15,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37147875,16,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37279764,11,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37340869,11,GPT-6 Astra QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37340869,11,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37340869,11,GPT-4o FT+QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37340869,12,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
37340869,12,GPT-4o FT+QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37340869,14,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
37340869,15,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
37340869,16,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
37340869,16,GPT-4o FT+QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37340869,6,GPT-6 Astra QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37340869,6,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37340869,9,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
37340869,9,GPT-4o FT+QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37358226,15,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37358226,15,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37358226,16,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37358226,6,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37358226,6,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37381002,15,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37515146,5,GPT-6 Astra QSP,annotation/convention,R6 QID 5 denominator: both 391 and 379 are stated in the paper
37540331,15,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
