pmid,chunk_ids,sections,matched_qids,hit_counts,aggregate_rank_scores,max_scores,pool_chunk_count,prompt_chars,base_prompt_chars,embedding_model
40391923,2|13|10|3|6|9|4|12|5,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Supplementary Data|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16|1,2,3,4,5,6,7,8,9,10,11,12,13,14,16|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15|1,5,6,7,8,9,10,11,12,13,14,15,16|7,10,11,15,16|1,2,5,6|3,4,12|8,13|15,16",16|15|15|13|5|4|3|2|2,0.2587|0.2379|0.2362|0.2100|0.0789|0.0615|0.0471|0.0315|0.0313,0.5381|0.5043|0.5349|0.5334|0.4597|0.4472|0.4664|0.3748|0.4567,9,17109,17877,text-embedding-3-small
40400229,3|7|2|6|4|5|1,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > Abstract,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16|1,3,4,5,6,7,8,9,10,11,12,13,14,15,16|1,2,5,6,7,8,9,10,11,13,15,16|2,3,4,5,6,7,8,9,11,12,14|1,3,4,7,9,12,13,14|2,8,10,11,12,15,16|1,2,3,4,14",16|15|12|11|8|7|5,0.2576|0.2384|0.1932|0.1742|0.1253|0.1094|0.0787,0.5389|0.5296|0.5005|0.4872|0.5161|0.4687|0.4977,7,14592,16182,text-embedding-3-small
40431710,10|11|12|9|8|20|2|21|13|3|5|17|19,Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion,"3,4,5,6,7,8,10,11,12,13,14,15,16|1,3,4,5,6,7,8,9,10,11,12,14|1,3,4,5,6,7,8,9,10,11,12|2,5,6,7,8,10,11,13,15,16|2,5,6,7,8,9,10,11,15,16|1,2,13,14,15,16|3,4,9,12|1,13,14|1,12,14|3,4,9|13,16|2,15|2",13|12|11|10|10|6|4|3|3|3|2|2|1,0.2032|0.1908|0.1790|0.1595|0.1593|0.0943|0.0637|0.0489|0.0472|0.0462|0.0318|0.0310|0.0156,0.5573|0.5659|0.5390|0.4712|0.5012|0.5659|0.5222|0.5689|0.5776|0.4899|0.4169|0.4470|0.4608,13,26403,27982,text-embedding-3-small
40431742,7|5|9|6|4|8|12|27|18|29|3|11|2|26,"Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 2. Materials and Methods > 2.2. Study Population and Proceedings > 2.4. Exclusion Criteria|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 2. Materials and Methods > 2.2. Study Population and Proceedings > 2.4. Exclusion Criteria|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 2. Materials and Methods > 2.2. Study Population and Proceedings > 2.4. Exclusion Criteria|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 2. Materials and Methods > 2.2. Study Population and Proceedings > 2.4. Exclusion Criteria|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 2. Materials and Methods > 2.2. Study Population and Proceedings > 2.3. Inclusion Criteria|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 2. Materials and Methods > 2.2. Study Population and Proceedings > 2.4. Exclusion Criteria|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 3. Results > 3.1. Study Population Characteristics|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 4. Discussion|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 3. Results > 3.5. Predicted Efficacy of NNRTI Drugs|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 4. Discussion|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 2. Materials and Methods > 2.2. Study Population and Proceedings|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 2. Materials and Methods > 2.2. Study Population and Proceedings > 2.6. Ethical Statement|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 2. Materials and Methods > 2.1. Study Design|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 4. Discussion","1,2,3,4,5,6,7,8,9,10,11,12,14,15,16|1,3,4,5,6,7,8,9,10,11,12,13,14,15,16|1,2,7,8,9,10,11,14,15,16|1,5,6,7,8,10,11,12,16|3,4,5,6,7,12,15|2,3,4,9,15,16|3,4,9,12,14|1,5,6,11|2,10|13,14|8,13|13|13|2",15|15|10|9|7|6|5|4|2|2|2|1|1|1,0.2451|0.2404|0.1550|0.1436|0.1084|0.0950|0.0779|0.0623|0.0318|0.0317|0.0310|0.0164|0.0161|0.0156,0.6608|0.6088|0.5573|0.5662|0.5751|0.5272|0.5746|0.5107|0.5080|0.5612|0.3945|0.5223|0.4406|0.4873,14,22050,32796,text-embedding-3-small
40490983,5|11|12|15|4|19|41|38|6|27|16|7|25|2|31|13|23,"2 METHODS > 2.2 Data management|3 | RESULTS|3 | RESULTS > 3.1 | Drug resistance|3 | RESULTS > 3.2 Guidelines-supported regimens and post-genotype VF (H1, H2)|2 METHODS > 2.1 Study design and setting|3 | RESULTS > 3.3 | Resistance and post-genotype VF (H3, H4)|5 CONCLUSIONS > DATA AVAILABILITY STATEMENT > SUPPORTING INFORMATION|4 | DISCUSSION|2 METHODS > 2.3 Statistical methods|4 | DISCUSSION|3 | RESULTS > 3.2 Guidelines-supported regimens and post-genotype VF (H1, H2)|2 METHODS > 2.3 Statistical methods|4 | DISCUSSION|2 METHODS > 2.1 Study design and setting|4 | DISCUSSION|3 | RESULTS > 3.1 | Drug resistance|3 | RESULTS > 3.3 | Resistance and post-genotype VF (H3, H4)","1,2,3,4,5,6,7,8,9,10,11,12,13,14,16|1,3,4,5,6,7,8,9,10,11,12,14,15,16|1,3,4,9,11,12,14,15,16|5,6,7,8,10,11,15,16|5,6,7,8,10,12,13|5,6,10,11,15|2,3,4,7,9|1,2,8,13|2,9,12|2,13|3,4|13|15|1|14|16|14",15|14|9|8|7|5|5|4|3|2|2|1|1|1|1|1|1,0.2436|0.2250|0.1414|0.1291|0.1094|0.0779|0.0774|0.0625|0.0472|0.0318|0.0312|0.0161|0.0159|0.0156|0.0156|0.0154|0.0154,0.5954|0.5692|0.5248|0.5289|0.4947|0.4763|0.4702|0.4678|0.5026|0.4841|0.4650|0.3984|0.4853|0.4441|0.5088|0.4492|0.5026,17,24060,50225,text-embedding-3-small
40573423,3|5|21|10|4|6|14|7|11|9|12|18|8|22|1,"HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 2. Materials and Methods > 2.2. RNA Extraction, Polymerase Chain Reaction (PCR) Amplification, Sequencing, and Genome Assembly|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 2. Materials and Methods > 2.3. HIV Sequencing and Subtyping|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 4. Discussion|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 3. Results > 3.2. Genetic Diversity|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 2. Materials and Methods > 2.2. RNA Extraction, Polymerase Chain Reaction (PCR) Amplification, Sequencing, and Genome Assembly|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 2. Materials and Methods > 2.4. HIV Drug Resistance Analysis|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 4. Discussion|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 2. Materials and Methods > 2.4. HIV Drug Resistance Analysis|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 3. Results > 3.3. Distribution and Characterization of DRMs|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 3. Results > 3.1. Study Population|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 3. Results > 3.3. Distribution and Characterization of DRMs|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 4. Discussion|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 2. Materials and Methods > 2.5. Ethical Approval|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 4. Discussion|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024","1,3,4,5,6,7,8,9,10,11,12,15,16|1,3,4,5,6,7,8,9,10,11,12,14,16|1,2,5,6,7,8,9,11,12,13,14,16|1,3,4,5,6,9,11,12|5,6,7,8,10,11|2,3,4,10,15,16|1,3,4,9,12,14|2,10,15,16|2,13,15|7,13|2,15|8,13|13|14|14",13|13|12|8|6|6|6|4|3|2|2|2|1|1|1,0.2103|0.2090|0.1895|0.1255|0.0960|0.0948|0.0935|0.0630|0.0481|0.0313|0.0308|0.0308|0.0164|0.0161|0.0154,0.5686|0.6182|0.6032|0.5264|0.4681|0.5215|0.5404|0.4872|0.5115|0.3459|0.4849|0.3282|0.4132|0.5441|0.5171,15,26097,27561,text-embedding-3-small
40596906,5|27|8|14|7|19|13|12|20|9|25|6|4|11|2|22|16,Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Methods > Data collection|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Conclusions > Data availability|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Methods > Data collection > Phylogenetic analysis|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Results|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Methods > Data collection > Determination of HIV-1 subtypes and antiretroviral resistance|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Discussion|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Results|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Results|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Discussion|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Methods > Data collection > Recombination analysis|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Discussion|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Methods > Data collection > Ethical aspects|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Methods > Population|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Results|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Abstract|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Discussion|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Discussion,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16|1,3,4,5,6,7,8,9,10,11,12,14,15,16|1,3,4,5,6,7,8,10,11,12|1,3,4,5,6,9,12,14|1,2,3,4,9,11,12|2,10,15,16|5,6,15,16|7,8,16|9,14|10,11|7,8|13|13|2|15|13|2",16|14|10|8|7|4|4|3|2|2|2|1|1|1|1|1|1,0.2597|0.2256|0.1578|0.1248|0.1101|0.0640|0.0618|0.0462|0.0313|0.0312|0.0312|0.0164|0.0161|0.0161|0.0159|0.0159|0.0156,0.6708|0.6725|0.5379|0.5607|0.5562|0.4763|0.4428|0.4313|0.5572|0.4044|0.3990|0.5022|0.3595|0.4339|0.4590|0.3418|0.4313,17,27483,29404,text-embedding-3-small
40713598,2|4|14|13|11|3|5|15|10|8,HIV drug resistance in children and adolescents on NNRTI-based antiretroviral therapy and subsequent virologic response to dolutegravir-based regimens in Ghana > Abstract > Methods|HIV drug resistance in children and adolescents on NNRTI-based antiretroviral therapy and subsequent virologic response to dolutegravir-based regimens in Ghana > Abstract > Results > Study population|HIV drug resistance in children and adolescents on NNRTI-based antiretroviral therapy and subsequent virologic response to dolutegravir-based regimens in Ghana > Abstract > Discussion|HIV drug resistance in children and adolescents on NNRTI-based antiretroviral therapy and subsequent virologic response to dolutegravir-based regimens in Ghana > Abstract > Discussion|HIV drug resistance in children and adolescents on NNRTI-based antiretroviral therapy and subsequent virologic response to dolutegravir-based regimens in Ghana > Abstract > Discussion|HIV drug resistance in children and adolescents on NNRTI-based antiretroviral therapy and subsequent virologic response to dolutegravir-based regimens in Ghana > Abstract > Methods|HIV drug resistance in children and adolescents on NNRTI-based antiretroviral therapy and subsequent virologic response to dolutegravir-based regimens in Ghana > Abstract > Results > HIV-1 drug resistance mutations following virologic failure on NNRTI-based ART|HIV drug resistance in children and adolescents on NNRTI-based antiretroviral therapy and subsequent virologic response to dolutegravir-based regimens in Ghana > Abstract > Discussion > Data availability|HIV drug resistance in children and adolescents on NNRTI-based antiretroviral therapy and subsequent virologic response to dolutegravir-based regimens in Ghana > Abstract > Discussion|HIV drug resistance in children and adolescents on NNRTI-based antiretroviral therapy and subsequent virologic response to dolutegravir-based regimens in Ghana > Abstract > Discussion,"1,2,3,4,5,6,7,8,9,10,11,12,14,15,16|1,3,4,5,6,7,8,9,10,11,12,13,15,16|1,2,3,4,5,6,8,9,10,11,12,14|1,3,4,7,9,10,12,13,14,15,16|2,5,6,7,8,11,13,15,16|1,2,3,4,12,13|5,6,9,10,15,16|7,8,11,13|2,14|14",15|14|12|11|9|6|6|4|2|1,0.2438|0.2259|0.1888|0.1719|0.1432|0.0948|0.0925|0.0632|0.0310|0.0154,0.6151|0.5849|0.5449|0.5257|0.5451|0.4795|0.4441|0.3990|0.5125|0.5065,10,14522,19380,text-embedding-3-small
40763144,8|22|6|17|19|10|33|23|18|2|14|29|12|15|11|20|3,"Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Materials and methods > Data collection|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Results > HIVDR mutations among participants|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Materials and methods > HIV drug resistance testing in Uganda|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Results > HIVDR among children and adolescents|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Results > HIVDR among children and adolescents|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Materials and methods > Ethics approval and consent to participate|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Discussion|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Results > HIVDR mutations among participants|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Results > HIVDR among children and adolescents|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Methods|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Results > HIV drug resistance across drug classes|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Discussion|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Results > Baseline participant characteristics and HIVDR|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Results > HIVDR among children and adolescents|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Results|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Results > HIVDR mutations among participants|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Results","1,3,4,5,6,7,8,9,10,11,12,13,14,15,16|1,2,3,4,5,6,8,9,10,11,14,15,16|1,5,6,8,9,10,11,12,14|5,6,7,8,10,11,12,13,16|2,3,4,9,15|5,6,8,10,13|1,2,14,16|3,4,15,16|3,4,9|1,2,14|2,15|7,13|7,12|13|12|11|7",15|13|9|9|5|5|4|4|3|3|2|2|2|1|1|1|1,0.2420|0.2044|0.1454|0.1411|0.0784|0.0781|0.0643|0.0623|0.0487|0.0469|0.0320|0.0318|0.0315|0.0164|0.0159|0.0159|0.0154,0.5895|0.5452|0.5480|0.5035|0.4942|0.4101|0.5599|0.4768|0.4963|0.5470|0.5100|0.4129|0.5054|0.4165|0.5078|0.2819|0.3227,17,30371,39121,text-embedding-3-small
40779404,4|16|3|10|15|8|6|7|1|5|12|13,Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials > METHODS > Preexisting Genotypic Analyses|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials > DISCUSSION|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials > METHODS > Clinical Trial Study Participants|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials > RESULTS > Frequency and Detection of Preexisting K65R/N|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials > DISCUSSION|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials > RESULTS > Characteristics and Demographics of Study Participants|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials > RESULTS > Characteristics and Demographics of Study Participants|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials > RESULTS > Characteristics and Demographics of Study Participants|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials > METHODS > B/F/TAF Efficacy Analysis|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials > RESULTS > Virologic Outcome of B/F/TAF in Participants With Preexisting K65R/N|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials > DISCUSSION,"1,2,3,4,5,6,7,8,9,10,11,12,14,15,16|1,2,3,4,5,6,7,8,9,10,11,12,14,15,16|5,6,7,8,10,11,13,15,16|5,6,7,8,10,11,13,15,16|1,2,3,4,8,9,11,12,14|1,3,4,7,9,12,14|1,3,4,9,12,13,14|5,6,13,15,16|2|10|13|2",15|15|9|9|9|7|7|5|1|1|1|1,0.2459|0.2372|0.1434|0.1429|0.1406|0.1104|0.1089|0.0784|0.0159|0.0159|0.0156|0.0154,0.5962|0.5424|0.5187|0.4345|0.5305|0.5190|0.4870|0.4252|0.4017|0.2799|0.4051|0.3796,12,24256,25353,text-embedding-3-small
