pmid,chunk_ids,sections,matched_qids,hit_counts,aggregate_rank_scores,max_scores,pool_chunk_count,prompt_chars,base_prompt_chars
40391923,10|2|3|13|4|7|5|6|11,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION,"2,3,4,5,6,7,8,9,10,11,13,15,16|1,5,6,7,8,9,10,11,12,13,14,15,16|1,5,6,7,8,10,11,12,15,16|1,3,4,9,13,14,15,16|1,3,4,9,12,13,14|2,3,4,5,6,13,14|3,4,5,6,7,8,11|2,7,8,10,11,12|1,2,10,12",13|13|10|8|7|7|7|6|4,0.2103|0.2057|0.1621|0.1293|0.1099|0.1097|0.1091|0.0938|0.0628,6.1747|4.9518|6.7271|7.7439|4.0239|4.5119|2.9931|3.1716|3.0710,9,17809,17877
40400229,3|2|9|4|6|5|1|10,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > CONCLUSIONS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > Abstract|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > CONCLUSIONS > AUTHOR CONTRIBUTIONS,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16|2,3,4,5,6,7,8,9,12,14,15,16|3,4,5,6,7,8,9,11,12,13,14|1,8,9,10,12,13,14,15,16|5,6,7,10,11,15,16|2,3,4,10|1,2,11",16|16|12|11|9|7|4|3,0.2597|0.2550|0.1895|0.1722|0.1435|0.1101|0.0628|0.0469,8.1278|6.8145|5.2623|4.2394|6.8638|4.2158|3.7664|3.2354,8,15700,16182
40431710,21|10|20|11|13|12|16|14|15|6|2|18|19,Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion,"1,2,3,4,5,6,7,12,14,15,16|3,4,5,6,7,8,9,10,11,12|1,2,3,4,8,9,10|5,6,8,10,11,12,14|1,5,6,7,8,11|1,5,6,7,8,11|9,12,14,15,16|12,13,14,15,16|2,9,13,15,16|2,13,14|3,4,13|10,15,16|1,2,9",11|10|7|7|6|6|5|5|5|3|3|3|3,0.1772|0.1601|0.1104|0.1099|0.0968|0.0953|0.0809|0.0794|0.0794|0.0474|0.0471|0.0469|0.0466,13.1027|6.5546|5.5464|5.6082|6.5355|5.9747|8.7695|7.6635|6.7140|6.1080|4.0736|7.2982|4.9747,13,26185,27982
40431742,7|5|25|6|22|12|23|14|20|9|1|26|4|24|27|19|21,"Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 2. Materials and Methods > 2.2. Study Population and Proceedings > 2.4. Exclusion Criteria|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 2. Materials and Methods > 2.2. Study Population and Proceedings > 2.4. Exclusion Criteria|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 4. Discussion|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 2. Materials and Methods > 2.2. Study Population and Proceedings > 2.4. Exclusion Criteria|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 4. Discussion|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 3. Results > 3.1. Study Population Characteristics|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 4. Discussion|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 3. Results > 3.2. Transmitted Drug Resistance Mutations According to WHO List|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 4. Discussion|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 2. Materials and Methods > 2.2. Study Population and Proceedings > 2.4. Exclusion Criteria|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 4. Discussion|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 2. Materials and Methods > 2.2. Study Population and Proceedings > 2.3. Inclusion Criteria|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 4. Discussion|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 4. Discussion|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 4. Discussion|Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina > 4. Discussion","3,4,5,6,8,9,10,11,12,13,15,16|3,4,5,6,7,9,11,12,13|1,8,9,10,12,13,15,16|3,4,5,6,7,11|1,7,8,12,14,15|1,3,4,8,13|2,14,15,16|3,4,12,14|2,5,6,9|2,10,11|2,7,11|1,2|15,16|14,16|1,14|5,6|8,9",12|9|8|6|6|5|4|4|4|3|3|2|2|2|2|2|2,0.1921|0.1432|0.1268|0.0973|0.0930|0.0807|0.0643|0.0628|0.0623|0.0481|0.0464|0.0325|0.0320|0.0320|0.0318|0.0317|0.0315,8.9020|6.6953|7.4884|4.8493|6.6131|6.4816|9.5826|6.0005|5.6268|4.5428|4.0629|5.8831|7.5881|7.5228|5.6647|4.4360|6.7726,17,31521,32796
40490983,5|2|11|1|4|24|12|10|35|6|9|21|34|32|3|31|38|14|8|39|7|13,"2 METHODS > 2.2 Data management|2 METHODS > 2.1 Study design and setting|3 | RESULTS|HIV drug resistance, early treatment outcomes and impact of guidelines compliance after protease inhibitor-based second-line failure in a dedicated resistance clinic in western Kenya: a retrospective cohort study > Abstract|2 METHODS > 2.1 Study design and setting|4 | DISCUSSION|3 | RESULTS > 3.1 | Drug resistance|2 METHODS > 2.3 Statistical methods|4 | DISCUSSION|2 METHODS > 2.3 Statistical methods|2 METHODS > 2.3 Statistical methods|3 | RESULTS > 3.3 | Resistance and post-genotype VF (H3, H4)|4 | DISCUSSION|4 | DISCUSSION|2 METHODS > 2.1 Study design and setting|4 | DISCUSSION|4 | DISCUSSION|3 | RESULTS > 3.2 Guidelines-supported regimens and post-genotype VF (H1, H2)|2 METHODS > 2.3 Statistical methods|5 CONCLUSIONS|2 METHODS > 2.3 Statistical methods|3 | RESULTS > 3.1 | Drug resistance","1,3,4,5,6,7,8,9,10,11,12,14,16|1,3,4,5,6,9,13,14,15,16|1,7,8,11,15,16|2,3,4,5,6,7|5,6,7,10,12|1,2,11,14|3,4,11,13|1,7,8,10|9,15,16|2,13,14|2,8,10|5,6,9|3,4,12|12,15|14,16|12,15|9,13|11|10|13|2|8",13|10|6|6|5|4|4|4|3|3|3|3|3|2|2|2|2|1|1|1|1|1,0.2085|0.1598|0.0943|0.0925|0.0794|0.0640|0.0640|0.0638|0.0481|0.0479|0.0476|0.0474|0.0469|0.0323|0.0320|0.0320|0.0318|0.0161|0.0156|0.0156|0.0154|0.0154,11.9549|8.4568|7.1307|4.8264|9.6637|7.3696|7.8256|8.0241|8.5127|8.0291|4.5746|6.3983|4.8594|8.6373|9.7221|8.4012|7.8714|1.5478|2.9899|6.6118|3.8845|2.7168,22,34777,50225
40573423,20|2|21|22|3|16|5|18|14|1|17|10|4|19|13,"HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 4. Discussion|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 2. Materials and Methods > 2.1. Study Population and Design|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 4. Discussion|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 4. Discussion|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 2. Materials and Methods > 2.2. RNA Extraction, Polymerase Chain Reaction (PCR) Amplification, Sequencing, and Genome Assembly|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 4. Discussion|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 2. Materials and Methods > 2.3. HIV Sequencing and Subtyping|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 4. Discussion|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 4. Discussion|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 4. Discussion|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 3. Results > 3.2. Genetic Diversity|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 2. Materials and Methods > 2.2. RNA Extraction, Polymerase Chain Reaction (PCR) Amplification, Sequencing, and Genome Assembly|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 4. Discussion|HIV-1 Genetic Diversity and Transmitted Drug Resistance Mutations in ART-Naive Individuals in South Korea from 2021 to 2024 > 3. Results > 3.3. Distribution and Characterization of DRMs","1,2,5,6,7,8,10,11,12,13|2,3,4,5,6,7,8,12,14|1,5,6,7,8,10,11,12,14|2,3,4,11,12,14,15,16|8,10,12,15,16|2,9,13,14,16|1,3,4,11|3,4,7,9|5,6,9|13,15,16|9,15,16|3,4,11|1,8,10|7,9,13|1,14",10|9|9|8|5|5|4|4|3|3|3|3|3|3|2,0.1560|0.1445|0.1434|0.1271|0.0799|0.0794|0.0651|0.0628|0.0492|0.0476|0.0476|0.0474|0.0471|0.0464|0.0317,4.9398|8.3813|3.8578|6.6958|4.7996|5.2574|3.3331|5.0494|7.6180|6.5282|5.4903|1.3260|2.7526|4.6629|5.2217,15,27045,27561
40596906,20|5|23|8|16|1|2|17|4|14|12|27|10|6|13|15|21|26,Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Discussion|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Methods > Data collection|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Discussion|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Methods > Data collection > Phylogenetic analysis|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Discussion|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Abstract|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Abstract|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Discussion|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Methods > Population|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Results|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Results|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Conclusions > Data availability|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Results|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Methods > Data collection > Ethical aspects|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Results|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Discussion|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Discussion|Drug resistance mutations and phylogenetic analysis of HIV-1 subtypes B and F from mothers and children with vertical transmission > Conclusions,"3,4,8,9,10,11,12,14,15,16|1,2,3,4,5,6,7,11,12,13|1,5,6,9,10,13,14,16|1,3,4,5,6,7,10,12|2,9,10,11,12,14,15|2,5,6,7,8,15|2,7,8,11,15|1,9,11,14|8,14,15,16|3,4,13,16|5,6,7,12|1,3,4|8,13|13|16|9|10|2",10|10|8|8|7|6|5|4|4|4|4|3|2|1|1|1|1|1,0.1601|0.1598|0.1268|0.1268|0.1104|0.0945|0.0791|0.0645|0.0643|0.0628|0.0625|0.0482|0.0315|0.0159|0.0159|0.0159|0.0159|0.0156,8.8155|9.4651|6.8530|4.7642|7.2212|7.3926|6.8942|7.1238|8.7902|5.3906|4.2014|9.8380|5.5024|5.4212|5.5315|4.0283|2.9827|2.2558,18,28391,29404
40713598,13|14|3|2|4|8|1|7|5|9|6|11,HIV drug resistance in children and adolescents on NNRTI-based antiretroviral therapy and subsequent virologic response to dolutegravir-based regimens in Ghana > Abstract > Discussion|HIV drug resistance in children and adolescents on NNRTI-based antiretroviral therapy and subsequent virologic response to dolutegravir-based regimens in Ghana > Abstract > Discussion|HIV drug resistance in children and adolescents on NNRTI-based antiretroviral therapy and subsequent virologic response to dolutegravir-based regimens in Ghana > Abstract > Methods|HIV drug resistance in children and adolescents on NNRTI-based antiretroviral therapy and subsequent virologic response to dolutegravir-based regimens in Ghana > Abstract > Methods|HIV drug resistance in children and adolescents on NNRTI-based antiretroviral therapy and subsequent virologic response to dolutegravir-based regimens in Ghana > Abstract > Results > Study population|HIV drug resistance in children and adolescents on NNRTI-based antiretroviral therapy and subsequent virologic response to dolutegravir-based regimens in Ghana > Abstract > Discussion|HIV drug resistance in children and adolescents on NNRTI-based antiretroviral therapy and subsequent virologic response to dolutegravir-based regimens in Ghana > Abstract|HIV drug resistance in children and adolescents on NNRTI-based antiretroviral therapy and subsequent virologic response to dolutegravir-based regimens in Ghana > Abstract > Results > Treatment outcome on dolutegravir-based ART|HIV drug resistance in children and adolescents on NNRTI-based antiretroviral therapy and subsequent virologic response to dolutegravir-based regimens in Ghana > Abstract > Results > HIV-1 drug resistance mutations following virologic failure on NNRTI-based ART|HIV drug resistance in children and adolescents on NNRTI-based antiretroviral therapy and subsequent virologic response to dolutegravir-based regimens in Ghana > Abstract > Discussion|HIV drug resistance in children and adolescents on NNRTI-based antiretroviral therapy and subsequent virologic response to dolutegravir-based regimens in Ghana > Abstract > Results > Resistance prediction to current and alternative treatment options|HIV drug resistance in children and adolescents on NNRTI-based antiretroviral therapy and subsequent virologic response to dolutegravir-based regimens in Ghana > Abstract > Discussion,"3,4,5,6,7,8,9,10,11,13,15,16|1,3,4,5,6,7,8,9,11,13,15,16|1,5,6,7,8,9,10,11,12,13,14|1,7,8,10,11,12,14,15,16|3,4,5,6,7,8,11,12|1,5,6,9,12,13,14|1,3,4,10,12,14|2,3,4,13,14,16|2,15,16|9,15|2,10|2",12|12|11|9|8|7|6|6|3|2|2|1,0.1916|0.1905|0.1750|0.1447|0.1268|0.1099|0.0951|0.0950|0.0474|0.0313|0.0310|0.0164,5.4947|5.6295|6.9484|7.4332|7.2200|6.1150|5.0276|6.6876|4.5927|5.6188|2.5542|3.2481,12,18518,19380
40763144,25|2|6|26|33|27|10|8|14|11|15|32|9|20|24|3|5|7|12,"Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Discussion|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Methods|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Materials and methods > HIV drug resistance testing in Uganda|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Discussion|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Discussion|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Discussion|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Materials and methods > Ethics approval and consent to participate|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Materials and methods > Data collection|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Results > HIV drug resistance across drug classes|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Results|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Results > HIVDR among children and adolescents|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Discussion|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Materials and methods > Data analysis|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Results > HIVDR mutations among participants|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Results > Factors associated with HIVDR|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Results|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Materials and methods > Study design and participants|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Materials and methods > Operational definitions|Prevalence of HIV drug resistance, its correlates and common mutations among people living with HIV failing on ART in northern Uganda: A cross-sectional study > Abstract > Results > Baseline participant characteristics and HIVDR","3,4,5,6,7,9,10,11,15,16|1,2,3,4,9,13,14,15,16|1,8,10,12,13,14,15,16|3,4,5,6,7,9,10,11|1,2,5,6,8,13,15,16|1,2,5,6,9,14,16|2,5,6,7,10,12|1,2,3,4,10|12,14,15|3,4,12|7,8,13|8,9|8,13|11|11|11|12|14|7",10|9|8|8|8|7|6|5|3|3|3|2|2|1|1|1|1|1|1,0.1580|0.1436|0.1309|0.1298|0.1263|0.1102|0.0950|0.0784|0.0481|0.0474|0.0466|0.0315|0.0310|0.0164|0.0156|0.0154|0.0154|0.0154|0.0154,8.2512|8.5459|14.1012|8.1720|8.4824|9.7428|6.9346|5.6814|10.8369|4.8190|6.0806|6.5359|6.3670|4.2972|3.1879|3.0333|4.2810|5.2017|3.6814,19,27756,39121
40779404,4|5|16|15|1|13|14|10|3|12|6|17|2,Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials > METHODS > Preexisting Genotypic Analyses|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials > METHODS > B/F/TAF Efficacy Analysis|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials > DISCUSSION|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials > DISCUSSION|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials > DISCUSSION|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials > DISCUSSION|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials > RESULTS > Frequency and Detection of Preexisting K65R/N|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials > METHODS > Clinical Trial Study Participants|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials > RESULTS > Virologic Outcome of B/F/TAF in Participants With Preexisting K65R/N|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials > RESULTS > Characteristics and Demographics of Study Participants|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials > DISCUSSION|Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide in Participants With Preexisting K65R/N in HIV-1 in Phase 2/3/3b Clinical Trials,"1,3,4,5,6,7,8,9,10,11,12|1,2,3,4,5,6,7,10,13,15|2,3,4,8,9,10,11,12,15,16|2,3,4,8,9,10,12,15,16|2,8,10,12,13,14,15,16|5,6,8,9,11,14,15,16|1,3,4,9,12,13|1,2,5,6,7,11|1,5,6,7,13|13,14,16|7,14|14|11",11|10|10|9|8|8|6|6|5|3|2|1|1,0.1790|0.1583|0.1583|0.1404|0.1286|0.1270|0.0940|0.0933|0.0801|0.0479|0.0315|0.0161|0.0159,8.1559|6.0876|7.0986|7.0769|8.1424|7.8448|3.6960|1.8863|6.6917|5.9457|4.9409|4.8994|0.8113,13,21813,25353
