pmid,qid,question,chunk_ids,sections,scores
40391923,1,Does the paper report HIV sequences from patient samples?,2|3|4|13|11,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION,4.9518|2.8201|2.8092|2.6053|2.2047
40391923,10,What method was used for sequencing?,3|6|11|10|2,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS,3.6176|3.0614|2.3916|2.2779|1.5112
40391923,11,What type of samples were sequenced?,10|3|2|5|6,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS,3.8833|2.8234|1.8702|1.0171|0.9511
40391923,12,How many individuals had samples obtained for HIV sequencing?,3|2|6|11|4,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS,5.6486|4.4576|3.1716|3.0710|3.0628
40391923,13,Were the patients in the study in a clinical trial?,10|2|7|13|4,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS,4.4597|3.3585|3.1445|3.0325|2.6147
40391923,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,13|7|2|4|9,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION,7.7439|4.5119|4.4244|4.0239|3.9933
40391923,15,Which drug classes were received by individuals in the study before sample sequencing?,13|3|10|9|2,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS,5.7867|5.5096|4.9049|4.6801|3.5670
40391923,16,Which drugs were received by individuals in the study before sample sequencing?,13|3|9|10|2,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS,5.7867|5.5096|3.7794|3.6958|3.5670
40391923,2,Does the paper report in vitro drug susceptibility data?,10|7|11|9|6,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS,2.8312|2.7308|2.7142|2.5153|2.2449
40391923,3,What were the GenBank accession numbers for sequenced HIV isolates?,13|10|4|5|7,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION,6.2413|3.1119|2.7254|2.6162|2.6140
40391923,4,What were the GenBank accession numbers for sequenced HIV isolates?,13|10|4|5|7,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION,6.2413|3.1119|2.7254|2.6162|2.6140
40391923,5,From which countries were the sequenced samples obtained?,10|3|2|5|7,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION,6.1747|2.8287|2.7112|1.7761|1.5899
40391923,6,From which countries were the sequenced samples obtained?,10|3|2|5|7,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION,6.1747|2.8287|2.7112|1.7761|1.5899
40391923,7,From what years were the sequenced samples obtained?,10|3|2|5|6,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS,3.8865|3.8836|3.3477|2.9931|2.6299
40391923,8,Were samples cloned prior to sequencing?,3|10|2|6|5,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS,6.7271|3.5530|3.1681|2.7499|1.1110
40391923,9,Which HIV genes were reported to have been sequenced?,10|13|4|2|1,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study,5.9486|5.3538|2.6606|2.2485|2.2356
40400229,1,Does the paper report HIV sequences from patient samples?,3|2|10|6|7,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > CONCLUSIONS > AUTHOR CONTRIBUTIONS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS,5.5123|3.7287|2.4957|2.3418|2.2137
40400229,10,What method was used for sequencing?,2|6|3|5|1,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > Abstract,1.5974|1.5684|1.5512|0.4026|0.3956
40400229,11,What type of samples were sequenced?,5|3|4|2|10,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > CONCLUSIONS > AUTHOR CONTRIBUTIONS,0.4842|0.4794|0.4732|0.4450|0.3781
40400229,12,How many individuals had samples obtained for HIV sequencing?,6|9|3|2|4,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > CONCLUSIONS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS,4.2032|2.8841|2.6529|2.6251|2.4063
40400229,13,Were the patients in the study in a clinical trial?,3|2|4|6|7,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS,8.1278|6.8145|4.2394|4.2135|3.4147
40400229,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,6|3|9|2|4,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > CONCLUSIONS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS,6.8638|5.9089|4.1742|4.0105|3.8977
40400229,15,Which drug classes were received by individuals in the study before sample sequencing?,3|9|2|5|6,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > CONCLUSIONS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS,5.8227|5.2623|4.3193|4.2158|2.9135
40400229,16,Which drugs were received by individuals in the study before sample sequencing?,3|2|9|5|6,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > CONCLUSIONS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS,5.8227|4.3193|4.2620|3.1831|2.9135
40400229,2,Does the paper report in vitro drug susceptibility data?,3|1|2|10|9,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > Abstract|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > CONCLUSIONS > AUTHOR CONTRIBUTIONS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > CONCLUSIONS,5.5601|3.7664|3.5871|3.2354|2.6055
40400229,3,What were the GenBank accession numbers for sequenced HIV isolates?,3|9|2|1|4,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > CONCLUSIONS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > Abstract|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS,1.9207|1.7975|1.7825|1.7821|1.6747
40400229,4,What were the GenBank accession numbers for sequenced HIV isolates?,3|9|2|1|4,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > CONCLUSIONS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > Abstract|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS,1.9207|1.7975|1.7825|1.7821|1.6747
40400229,5,From which countries were the sequenced samples obtained?,3|2|9|5|4,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > CONCLUSIONS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS,4.1814|2.8935|2.8335|1.8728|1.4210
