PMID,QID,Question,Answer,Evidence,EvidenceLocation,Rationale,json_status
37515146,1,Does the paper report HIV sequences from patient samples?,Yes,"""Genotypic resistance testing was carried out in the pol gene (reverse transcriptase and protease regions) as follows."" ""Viral RNA was extracted from 1 mL of plasma using the QIAGEN kit, following the manufacturer’s instructions."" ""A total of 391 participants were recruited, with sequencing successfully carried out in 379 individual participant samples, giving a genotyping success rate of 96.9%.""",main_text,Sections 2.5 and 3.1 describe newly generated HIV PR/RT sequences from clinical plasma samples belonging to 379 participants.,strict
37515146,2,Does the paper report in vitro drug susceptibility data?,No,"""Genotypic resistance testing was carried out in the pol gene (reverse transcriptase and protease regions) as follows."" ""The predictive efficacies of each antiretroviral molecule were calculated according to the genotypic drug susceptibility score provided according to HIVdb algorithm (http://www.hivdb.stanford.edu, accessed on 24 May 2023).""",main_text,"The susceptibility estimates were computational predictions from genotypes, not experimental phenotypic measurements. No in vitro drug susceptibility assay or IC50/EC50 results are reported.",strict
37515146,3,Were sequences from the paper made publicly available?,Yes,"""A total of 391 participants were recruited, with sequencing successfully carried out in 379 individual participant samples, giving a genotyping success rate of 96.9%."" ""Sequence data are available on GenBank under the accession numbers GenBank MK702015-MK702057, MK867695-MK867757, and MK995397-MK995457.""",main_text,The Data Availability Statement on page 11 explicitly identifies publicly available sequence data and provides three GenBank accession ranges.,strict
37515146,4,What were the GenBank accession numbers for sequenced HIV isolates?,MK702015–MK702057; MK867695–MK867757; MK995397–MK995457,"""A total of 391 participants were recruited, with sequencing successfully carried out in 379 individual participant samples, giving a genotyping success rate of 96.9%."" ""Sequence data are available on GenBank under the accession numbers GenBank MK702015-MK702057, MK867695-MK867757, and MK995397-MK995457.""",main_text,These are all three accession ranges provided in the Data Availability Statement on page 11.,strict
37515146,5,How many individuals had samples obtained for HIV sequencing?,379,"""A total of 391 participants were recruited, with sequencing successfully carried out in 379 individual participant samples, giving a genotyping success rate of 96.9%."" ""The 379 participants with successful sequencing data were from eight regions distributed as follows: 53 (14%) from the Center, 40 (10.6%) for the Far North, 46 (12.1%) for the East, 41 (10.8%) for the Littoral, 44 (11.6%) for the North, 61 (16.1%) for the Northwest, 49 (12.9%) for the West and 45 (11.9%) for the Southwest.""",main_text,"Section 3.1 identifies 379 individuals contributing successfully sequenced samples. The larger recruitment total was 391, including 12 without successful sequencing.",strict
37515146,6,From which countries were the sequenced samples obtained?,Cameroon,"""The enrollment of participants was carried out in health facilities of eight regions of Cameroon: Centre, Littoral, East, West, Northwest, Southwest, North, and Far North."" ""In each region, patients were recruited in both urban and rural sites at the hospitals with the highest patient frequency.""",main_text,"All recruitment and sample collection sites were in Cameroon, as described in Section 2.1.",strict
37515146,7,From what years were the sequenced samples obtained?,2014–2019,"""We carried out a cross-sectional and analytical study for five years, from December 2014 to June 2019."" ""Patients presenting for ART initiation at the various recruitment sites were encountered by the recruitment clinician."" ""For each participant, 10 mL of venous blood was collected in an EDTA tube.""",main_text,Participants were sampled at enrollment in the cross-sectional study conducted from December 2014 through June 2019.,strict
37515146,8,Were samples cloned prior to sequencing?,Not applicable,"""Genotypic resistance testing was carried out in the pol gene (reverse transcriptase and protease regions) as follows."" ""The predictive efficacies of each antiretroviral molecule were calculated according to the genotypic drug susceptibility score provided according to HIVdb algorithm (http://www.hivdb.stanford.edu, accessed on 24 May 2023).""",main_text,"Although patient sequences were generated, no in vitro susceptibility data were reported. The specified rule therefore makes the cloning question not applicable.",strict
37515146,9,Which HIV genes were reported to have been sequenced?,"PR, RT","""Genotypic resistance testing was carried out in the pol gene (reverse transcriptase and protease regions) as follows."" ""Regarding DTG efficacy, during the same study period, we reported a prevalence of 0% resistance to DTG in ART naïve patients, inferring 100% predictive efficacy of DTG [17].""",main_text,"The newly generated sequences cover protease and reverse transcriptase. Dolutegravir resistance information was drawn from a cited previous study, not new integrase sequencing in this report.",strict
37515146,10,What method was used for sequencing?,Sanger sequencing,"""The products of the sequencing reaction obtained were purified by exclusion chromatography on SEPHADEX G50 resin and then sequenced using a genetic analyzer (ABI 3500®)."" ""Thus, the real prevalence of resistance would be better evaluated if we had a high-throughput sequencing technique (1% detection threshold), a platform unavailable in our context.""",main_text,Use of the ABI 3500 genetic analyzer identifies capillary Sanger sequencing. The discussion additionally confirms that high-throughput sequencing was unavailable.,strict
