PMID,QID,Question,Human-Answer,bm25_text_coverage,semantic_text_coverage,coverage_delta,bm25_chunk_ids,semantic_chunk_ids,bm25_reconstructed_sections,semantic_reconstructed_sections,bm25_excerpt,semantic_excerpt
37498738,9,Which HIV genes were reported to have been sequenced?,NFLG,0.0,0.0,0.0,19|15|5|2|11,5|6|4|2|14,Absence of Proviral Human Immunodeficiency Virus (HIV) Type 1 Evolution in Early-Treated Individuals With HIV Switching to Dolutegravir Monotherapy During 48 Weeks > DISCUSSION | Absence of Proviral Human Immunodeficiency Virus (HIV) Type 1 Evolution in Early-Treated Individuals With HIV Switching to Dolutegravir Monotherapy During 48 Weeks > RESULTS > Single Proviruses Carry DRMs Only on Defective Sequences | Absence of Proviral Human Immunodeficiency Virus (HIV) Type 1 Evolution in Early-Treated Individuals With HIV Switching to Dolutegravir Monotherapy During 48 Weeks > METHODS > Single HIV-1 Genome Dilution and Amplification | Absence of Proviral Human Immunodeficiency Virus (HIV) Type 1 Evolution in Early-Treated Individuals With HIV Switching to Dolutegravir Monotherapy During 48 Weeks > METHODS > ESS and Peripheral Blood Mononuclear Cell Samples | Absence of Proviral Human Immunodeficiency Virus (HIV) Type 1 Evolution in Early-Treated Individuals With HIV Switching to Dolutegravir Monotherapy During 48 Weeks > RESULTS > Viral Diversity in DTG Monotherapy Group Does Not Increase Over ESS Period,Absence of Proviral Human Immunodeficiency Virus (HIV) Type 1 Evolution in Early-Treated Individuals With HIV Switching to Dolutegravir Monotherapy During 48 Weeks > METHODS > Single HIV-1 Genome Dilution and Amplification | Absence of Proviral Human Immunodeficiency Virus (HIV) Type 1 Evolution in Early-Treated Individuals With HIV Switching to Dolutegravir Monotherapy During 48 Weeks > METHODS > NGS Analysis | Absence of Proviral Human Immunodeficiency Virus (HIV) Type 1 Evolution in Early-Treated Individuals With HIV Switching to Dolutegravir Monotherapy During 48 Weeks > METHODS > Near Full-Length HIV-1 Proviral Polymerase Chain Reaction and Next-Generation Sequencing | Absence of Proviral Human Immunodeficiency Virus (HIV) Type 1 Evolution in Early-Treated Individuals With HIV Switching to Dolutegravir Monotherapy During 48 Weeks > METHODS > ESS and Peripheral Blood Mononuclear Cell Samples | Absence of Proviral Human Immunodeficiency Virus (HIV) Type 1 Evolution in Early-Treated Individuals With HIV Switching to Dolutegravir Monotherapy During 48 Weeks > RESULTS > Cluster of Extremely Hypermutated Sequences in 2 Individuals Treated With DTG Monotherapy,[Absence of Proviral Human Immunodeficiency Virus (HIV) Type 1 Evolution in Early-Treated Individuals With HIV Switching to Dolutegravir Monotherapy During 48 Weeks > DISCUSSION] Understanding HIV-1 reservoir dynamics in PWH undergoing ART simplification will be an important aspect for further clinical treatment strategies and HIV reservoir studies. We performed an analysis of the HIV-1 reservoir over a period of 48 weeks in early-treated participants on successful DTG monot…,"[Absence of Proviral Human Immunodeficiency Virus (HIV) Type 1 Evolution in Early-Treated Individuals With HIV Switching to Dolutegravir Monotherapy During 48 Weeks > METHODS > Single HIV-1 Genome Dilution and Amplification] Individuals for single HIV-1 genome analysis were selected ( Supplementary Appendix 2 ) and DNA was isolated from 5 million cells, using the DNeasy blood and tissue kit (Qiagen), according to the manufacturer\'s instructions. DNA was diluted to single pr…"
37957382,9,Which HIV genes were reported to have been sequenced?,"Full genome, NFLG",0.0,0.0,0.0,2|30|43|40|18,48|43|39|26|40,Viral and host mediators of non-suppressible HIV-1 viremia > Main | Viral and host mediators of non-suppressible HIV-1 viremia > Discussion | Viral and host mediators of non-suppressible HIV-1 viremia > Methods > Integration site identification and epigenetics | Viral and host mediators of non-suppressible HIV-1 viremia > Methods > Plasma HIV-1 RNA sequencing | Viral and host mediators of non-suppressible HIV-1 viremia > Distinct cell survival and interferon signaling in NSV,"Viral and host mediators of non-suppressible HIV-1 viremia > Methods > HLA typing and HIV escape mutation data analysis | Viral and host mediators of non-suppressible HIV-1 viremia > Methods > Integration site identification and epigenetics | Viral and host mediators of non-suppressible HIV-1 viremia > Methods > Near-full-length proviral sequencing, sequence alignments, quality control and neighbor joining analyses | Viral and host mediators of non-suppressible HIV-1 viremia > Absence of immune activation and evidence of HLA escape in NSV | Viral and host mediators of non-suppressible HIV-1 viremia > Methods > Plasma HIV-1 RNA sequencing","[Viral and host mediators of non-suppressible HIV-1 viremia > Main] For the majority of persons with human immunodeficiency virus (PWH), antiretroviral therapy (ART) suppresses HIV-1 RNA to below the level of commercial assay detection ^1\ --\ 5^ . However, a subset of PWH demonstrate persistent low-level viremia while on ART ^6\ ,\ 7^ , a condition that not only represents a clinical conundrum for the clinician but can lead to substantial stigma and distress for the patient…","[Viral and host mediators of non-suppressible HIV-1 viremia > Methods > HLA typing and HIV escape mutation data analysis] HLA-A/B/C typing was performed using sequence-specific oligonucleotide probing and sequence-based typing as previously described ^98^ . We excised individual HIV genes from proviral sequences using Gene Cutter ^106^ . We then identified polymorphisms within these genes that are known to be associated with one or more host HLA alleles expressed, as defined…"
37823653,9,Which HIV genes were reported to have been sequenced?,"NFLG, Envelope",0.5,0.5,0.0,11|1|5|2|13,3|5|2|12|7,Fostemsavir resistance-associated polymorphisms in HIV-1 subtype C in a large cohort of treatment-naïve and treatment-experienced individuals in Botswana > DISCUSSION | Fostemsavir resistance-associated polymorphisms in HIV-1 subtype C in a large cohort of treatment-naïve and treatment-experienced individuals in Botswana > ABSTRACT | Fostemsavir resistance-associated polymorphisms in HIV-1 subtype C in a large cohort of treatment-naïve and treatment-experienced individuals in Botswana > MATERIALS AND METHODS > Mutation analysis | Fostemsavir resistance-associated polymorphisms in HIV-1 subtype C in a large cohort of treatment-naïve and treatment-experienced individuals in Botswana > MATERIALS AND METHODS > Study design and population | Fostemsavir resistance-associated polymorphisms in HIV-1 subtype C in a large cohort of treatment-naïve and treatment-experienced individuals in Botswana > DISCUSSION,Fostemsavir resistance-associated polymorphisms in HIV-1 subtype C in a large cohort of treatment-naïve and treatment-experienced individuals in Botswana > MATERIALS AND METHODS > Near full-length HIV genotyping | Fostemsavir resistance-associated polymorphisms in HIV-1 subtype C in a large cohort of treatment-naïve and treatment-experienced individuals in Botswana > MATERIALS AND METHODS > Mutation analysis | Fostemsavir resistance-associated polymorphisms in HIV-1 subtype C in a large cohort of treatment-naïve and treatment-experienced individuals in Botswana > MATERIALS AND METHODS > Study design and population | Fostemsavir resistance-associated polymorphisms in HIV-1 subtype C in a large cohort of treatment-naïve and treatment-experienced individuals in Botswana > DISCUSSION | Fostemsavir resistance-associated polymorphisms in HIV-1 subtype C in a large cohort of treatment-naïve and treatment-experienced individuals in Botswana > RESULTS > Participant characteristics,"[Fostemsavir resistance-associated polymorphisms in HIV-1 subtype C in a large cohort of treatment-naïve and treatment-experienced individuals in Botswana > DISCUSSION] The overall prevalence of FTR polymorphism in this cohort was 13.3%. Our findings are generally consistent with other data regarding FTR resistance, with a few differences. The most prevalent polymorphism in our study was M475I and M434I (prevalence \>5.0%), and we observed lower frequency of polymorphisms fo…","[Fostemsavir resistance-associated polymorphisms in HIV-1 subtype C in a large cohort of treatment-naïve and treatment-experienced individuals in Botswana > MATERIALS AND METHODS > Near full-length HIV genotyping] Viral sequences were generated by a long-range HIV genotyping protocol described elsewhere ( 24 , 27 ) with minor modifications that included a reduced annealing temperature (58 °C instead of 62 °C) as a backup amplification strategy and using the first-round ampli…"
41012586,9,What type of samples were sequenced?,"PR, RT, IN (presumably)",0.6666666666666666,0.6666666666666666,0.0,17|20|7|18|19,23|22|3|17|7,Virological Effectiveness of Dolutegravir Plus Darunavir in People with Multi-Drug-Resistant HIV: Data from the PRESTIGIO Registry > 4. Discussion | Virological Effectiveness of Dolutegravir Plus Darunavir in People with Multi-Drug-Resistant HIV: Data from the PRESTIGIO Registry > 4. Discussion | Virological Effectiveness of Dolutegravir Plus Darunavir in People with Multi-Drug-Resistant HIV: Data from the PRESTIGIO Registry > 3. Results > 3.1. 4DR-PWH Included in the Analysis | Virological Effectiveness of Dolutegravir Plus Darunavir in People with Multi-Drug-Resistant HIV: Data from the PRESTIGIO Registry > 4. Discussion | Virological Effectiveness of Dolutegravir Plus Darunavir in People with Multi-Drug-Resistant HIV: Data from the PRESTIGIO Registry > 4. Discussion,Virological Effectiveness of Dolutegravir Plus Darunavir in People with Multi-Drug-Resistant HIV: Data from the PRESTIGIO Registry > 5. Conclusions | Virological Effectiveness of Dolutegravir Plus Darunavir in People with Multi-Drug-Resistant HIV: Data from the PRESTIGIO Registry > 5. Conclusions | Virological Effectiveness of Dolutegravir Plus Darunavir in People with Multi-Drug-Resistant HIV: Data from the PRESTIGIO Registry > 2. Materials and Methods > 2.1. Definitions and Statistical Analysis | Virological Effectiveness of Dolutegravir Plus Darunavir in People with Multi-Drug-Resistant HIV: Data from the PRESTIGIO Registry > 4. Discussion | Virological Effectiveness of Dolutegravir Plus Darunavir in People with Multi-Drug-Resistant HIV: Data from the PRESTIGIO Registry > 3. Results > 3.1. 4DR-PWH Included in the Analysis,"[Virological Effectiveness of Dolutegravir Plus Darunavir in People with Multi-Drug-Resistant HIV: Data from the PRESTIGIO Registry > 4. Discussion] One important consideration is the estimation of DTG susceptibility across groups. In fact, it is possible that DTG susceptibility was overestimated in certain cases, given the predefined criteria used when genotypic resistance testing for integrase inhibitors was unavailable—specifically, full activity \((\mathrm{GSS} = 1)\) wa…",[Virological Effectiveness of Dolutegravir Plus Darunavir in People with Multi-Drug-Resistant HIV: Data from the PRESTIGIO Registry > 5. Conclusions] Data Availability Statement: The data presented in this study are available on request from the corresponding author. <table><tr><td>4DR</td><td>4-class Drug Resistance</td></tr><tr><td>4DR-PWH</td><td>People with HIV with 4-class Drug Resistance</td></tr><tr><td>ART</td><td>Antiretroviral Therapy</td></tr><tr><td>ARV</td><td>A…
37585352,9,Which HIV genes were reported to have been sequenced?,Pol,0.0,1.0,1.0,1|21|18|16|8,6|7|2|24|5,Archived rilpivirine-associated resistance mutations among ART-naive and virologically suppressed people living with HIV-1 subtype C in Botswana: implications for cabotegravir/rilpivirine use > Abstract > Objectives | Archived rilpivirine-associated resistance mutations among ART-naive and virologically suppressed people living with HIV-1 subtype C in Botswana: implications for cabotegravir/rilpivirine use > Limitations of the study | Archived rilpivirine-associated resistance mutations among ART-naive and virologically suppressed people living with HIV-1 subtype C in Botswana: implications for cabotegravir/rilpivirine use > Discussion | Archived rilpivirine-associated resistance mutations among ART-naive and virologically suppressed people living with HIV-1 subtype C in Botswana: implications for cabotegravir/rilpivirine use > Discussion | Archived rilpivirine-associated resistance mutations among ART-naive and virologically suppressed people living with HIV-1 subtype C in Botswana: implications for cabotegravir/rilpivirine use > Materials and methods > Drug resistance mutations and interpretation,Archived rilpivirine-associated resistance mutations among ART-naive and virologically suppressed people living with HIV-1 subtype C in Botswana: implications for cabotegravir/rilpivirine use > Materials and methods > Near full-length HIV genotyping | Archived rilpivirine-associated resistance mutations among ART-naive and virologically suppressed people living with HIV-1 subtype C in Botswana: implications for cabotegravir/rilpivirine use > Materials and methods > HIV-1 subtyping | Archived rilpivirine-associated resistance mutations among ART-naive and virologically suppressed people living with HIV-1 subtype C in Botswana: implications for cabotegravir/rilpivirine use > Abstract > Methods | Archived rilpivirine-associated resistance mutations among ART-naive and virologically suppressed people living with HIV-1 subtype C in Botswana: implications for cabotegravir/rilpivirine use > Data availability | Archived rilpivirine-associated resistance mutations among ART-naive and virologically suppressed people living with HIV-1 subtype C in Botswana: implications for cabotegravir/rilpivirine use > Materials and methods > Selection of study participants,[Archived rilpivirine-associated resistance mutations among ART-naive and virologically suppressed people living with HIV-1 subtype C in Botswana: implications for cabotegravir/rilpivirine use > Abstract > Objectives] Pre-existing rilpivirine resistance-associated mutations (RVP-RAMs) have been found to predict HIV-1 virological failure in those switching to long-acting injectable cabotegravir/rilpivirine. We here evaluated the prevalence of archived RPV-RAMs in a cohort of …,"[Archived rilpivirine-associated resistance mutations among ART-naive and virologically suppressed people living with HIV-1 subtype C in Botswana: implications for cabotegravir/rilpivirine use > Materials and methods > Near full-length HIV genotyping] HIV-1 proviral DNA sequences were generated using next-generation sequencing (NGS) as previously described elsewhere. ^15^ Briefly, a long-range HIV genotyping protocol was used to generate viral sequences and the first-round a…"
38427738,9,Which HIV genes were reported to have been sequenced?,"Gag, Pol, Env, Nef, vpu",0.2,1.0,0.8,49|48|1|29|30,52|54|5|2|53,Epistatic pathways can drive HIV-1 escape from integrase strand transfer inhibitors > DISCUSSION | Epistatic pathways can drive HIV-1 escape from integrase strand transfer inhibitors > DISCUSSION | Epistatic pathways can drive HIV-1 escape from integrase strand transfer inhibitors > Abstract | Epistatic pathways can drive HIV-1 escape from integrase strand transfer inhibitors > RESULTS > The Env mutations alter the conformational landscape and stability of Env trimers | Epistatic pathways can drive HIV-1 escape from integrase strand transfer inhibitors > RESULTS > The Env mutations alter the conformational landscape and stability of Env trimers,Epistatic pathways can drive HIV-1 escape from integrase strand transfer inhibitors > MATERIALS AND METHODS > Plasmids | Epistatic pathways can drive HIV-1 escape from integrase strand transfer inhibitors > MATERIALS AND METHODS > Long-term passaging of HIV-1 in the presence of ARVs | Epistatic pathways can drive HIV-1 escape from integrase strand transfer inhibitors > RESULTS > HIV-1 acquires multiple mutations in the Env- and NC-coding regions during long-term propagation in DTG | Epistatic pathways can drive HIV-1 escape from integrase strand transfer inhibitors > RESULTS > HIV-1 acquires multiple mutations in the Env- and NC-coding regions during long-term propagation in DTG | Epistatic pathways can drive HIV-1 escape from integrase strand transfer inhibitors > MATERIALS AND METHODS > Preparation of virus stocks,"[Epistatic pathways can drive HIV-1 escape from integrase strand transfer inhibitors > DISCUSSION] It is important to note that individuals on PI-containing regimens have also been reported to experience virological failure in the absence of mutations in PR ( *8* , *9* , *13* ). Mutations in the CT of gp41 have been associated with PI resistance in vivo ( *12* ), and mutations in the gp41 HR region analogous to the gp41 HR mutations reported here and previously ( *45* , *46*…","[Epistatic pathways can drive HIV-1 escape from integrase strand transfer inhibitors > MATERIALS AND METHODS > Plasmids] The full-length HIV-1 molecular clones pNL4-3 ( *47* ), pNL(AD8) ( *51* ), and CH185 (previously denoted K3016, a gift from C. Ochsenbauer and J. Kappes, University of Alabama) ( *50* ) were used in this study. pBR-NL43-IRES-eGFP-nef ^+^ (pBR43IeG), a proviral clone that coexpresses Nef and eGFP from a single bicistronic RNA, was obtained from F. Kirchhoff…"
18715920,9,Which HIV genes were reported to have been sequenced?,IN,1.0,1.0,0.0,26|6|22|28|12,6|20|17|15|3,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION | Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping. | Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION | Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION | Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Automated in vitro selection of EVG-resistant viruses.,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping. | Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Replication kinetics of mutant HIV-1 viruses. | Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Confirmation of primary resistance mutations. | Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains. | Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Cells and viruses.,"[Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION] The mutation T66I has been previously reported as a resistance mutation conferring reduced susceptibility to the diketo acid inhibitors S-1360 ( 14 ) and L-731,988 ( 20 ). Shimura ( 33 ) also reported T66I and E92Q as RAMs of EVG. However, in those studies the Q148R mutation was not detected …","[Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.] Viral RNA was extracted from culture supernatant or virus stock using a NucliSens easyMAG apparatus (bioMérieux, Marcy l\' Etoile, France), a high-throughput automated nucleic acid extraction system. cDNA encoding reverse transcriptase and IN was generated with Expand…"
19104010,9,Which HIV genes were reported to have been sequenced?,IN,1.0,1.0,0.0,27|31|30|16|28,6|16|5|28|30,"Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > GS-9160 selected a novel pattern of IN inhibitor resistance mutations. | Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > DISCUSSION | Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > DISCUSSION | Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Clonal sequencing of viral DNA. | Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > Activity of GS-9160 against mutations conferring resistance to other IN inhibitors.","Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Construction of infectious HIV-1 DNA clones with IN mutations. | Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Clonal sequencing of viral DNA. | Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Viruses. | Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > Activity of GS-9160 against mutations conferring resistance to other IN inhibitors. | Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > DISCUSSION","[Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > GS-9160 selected a novel pattern of IN inhibitor resistance mutations.] Clonal sequencing of GS-9160-selected viruses from passages 5, 6, 8, and 9 revealed the successive emergence of mutations E92V and L74M in the catalytic core domain of HIV-1 IN (Table ​ (Table7). 7 ). Mutation E92V emerged first at passage 5, followed by the emergence of L74M at pass…","[Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Construction of infectious HIV-1 DNA clones with IN mutations.] Mutations conferring resistance to IN inhibitors were introduced into the infectious wild-type HIV-1 DNA clone HXB2 by site-directed mutagenesis. Mutation(s) was confirmed by sequencing. [Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type …"
21115794,9,Which HIV genes were reported to have been sequenced?,IN,1.0,1.0,0.0,27|3|30|24|11,11|13|10|3|27,"*In Vitro* Antiretroviral Properties of S/GSK1349572, a Next-Generation HIV Integrase Inhibitor ^▿^ > DISCUSSION | *In Vitro* Antiretroviral Properties of S/GSK1349572, a Next-Generation HIV Integrase Inhibitor ^▿^ > MATERIALS AND METHODS > Cells and viruses. | *In Vitro* Antiretroviral Properties of S/GSK1349572, a Next-Generation HIV Integrase Inhibitor ^▿^ > DISCUSSION | *In Vitro* Antiretroviral Properties of S/GSK1349572, a Next-Generation HIV Integrase Inhibitor ^▿^ > DISCUSSION | *In Vitro* Antiretroviral Properties of S/GSK1349572, a Next-Generation HIV Integrase Inhibitor ^▿^ > MATERIALS AND METHODS > Isolation of drug-resistant viruses.","*In Vitro* Antiretroviral Properties of S/GSK1349572, a Next-Generation HIV Integrase Inhibitor ^▿^ > MATERIALS AND METHODS > Isolation of drug-resistant viruses. | *In Vitro* Antiretroviral Properties of S/GSK1349572, a Next-Generation HIV Integrase Inhibitor ^▿^ > MATERIALS AND METHODS > Cross-resistance profiling of S/GSK1349572. | *In Vitro* Antiretroviral Properties of S/GSK1349572, a Next-Generation HIV Integrase Inhibitor ^▿^ > MATERIALS AND METHODS > Mechanistic cellular studies. | *In Vitro* Antiretroviral Properties of S/GSK1349572, a Next-Generation HIV Integrase Inhibitor ^▿^ > MATERIALS AND METHODS > Cells and viruses. | *In Vitro* Antiretroviral Properties of S/GSK1349572, a Next-Generation HIV Integrase Inhibitor ^▿^ > DISCUSSION","[*In Vitro* Antiretroviral Properties of S/GSK1349572, a Next-Generation HIV Integrase Inhibitor ^▿^ > DISCUSSION] The substitutions observed in the passage study with S/GSK1349572 had no effect or minimal effects on susceptibility to S/GSK1349572 or other INIs when they were introduced into a laboratory strain by site-directed mutagenesis. Moreover, the substitutions described here have not been observed so far in passage studies with other INIs, except for T124A, which is …","[*In Vitro* Antiretroviral Properties of S/GSK1349572, a Next-Generation HIV Integrase Inhibitor ^▿^ > MATERIALS AND METHODS > Isolation of drug-resistant viruses.] Drug-resistant viruses were isolated according to a previously described protocol ( 24 ). Briefly, the virus used for initiating passage work was prepared by coculturing MT-2 cells with Molt-4 cells persistently infected with HIV-1 strain IIIB for 3 days. Fresh MT-2 cells were dispensed into each well of a 24-wel…"
23749954,9,Which HIV genes were reported to have been sequenced?,RT,1.0,1.0,0.0,9|10|5|1|4,4|3|9|1|10,The preferential selection of K65R in HIV-1 subtype C is attenuated by nucleotide polymorphisms at thymidine analogue mutation sites > Discussion | The preferential selection of K65R in HIV-1 subtype C is attenuated by nucleotide polymorphisms at thymidine analogue mutation sites > Discussion | The preferential selection of K65R in HIV-1 subtype C is attenuated by nucleotide polymorphisms at thymidine analogue mutation sites > Results | The preferential selection of K65R in HIV-1 subtype C is attenuated by nucleotide polymorphisms at thymidine analogue mutation sites > Abstract | The preferential selection of K65R in HIV-1 subtype C is attenuated by nucleotide polymorphisms at thymidine analogue mutation sites > Results,The preferential selection of K65R in HIV-1 subtype C is attenuated by nucleotide polymorphisms at thymidine analogue mutation sites > Results | The preferential selection of K65R in HIV-1 subtype C is attenuated by nucleotide polymorphisms at thymidine analogue mutation sites > Results | The preferential selection of K65R in HIV-1 subtype C is attenuated by nucleotide polymorphisms at thymidine analogue mutation sites > Discussion | The preferential selection of K65R in HIV-1 subtype C is attenuated by nucleotide polymorphisms at thymidine analogue mutation sites > Abstract | The preferential selection of K65R in HIV-1 subtype C is attenuated by nucleotide polymorphisms at thymidine analogue mutation sites > Discussion,"[The preferential selection of K65R in HIV-1 subtype C is attenuated by nucleotide polymorphisms at thymidine analogue mutation sites > Discussion] These results show that silent nucleotide polymorphisms found at TAM sites can attenuate the tendency of viruses containing the 64/65 subtype C sequence to favour the K65R resistance mutation pathway. The recombinant viruses that were tested developed K65R under drug pressure at high rates, but below the rates of viruses that did…","[The preferential selection of K65R in HIV-1 subtype C is attenuated by nucleotide polymorphisms at thymidine analogue mutation sites > Results] Open in new tab Download slide To investigate the impact of these silent nucleotide polymorphisms on the preferred development of K65R in subtype C virus, we first generated HIV-1 NL4-3 clones containing single nucleotide mutations at positions 64 and 65 to create viruses behaving as if they were subtype C, i.e. NL4-3 (64/65), as pr…"
