pmid,k,example_pmids
18715920,5,20421122|25691633|25552724|25653436|25348535
19104010,5,25348535|25956162|26149983|20421122|37185867
21115794,5,25691633|25348535|26149983|25552724|38206187
23749954,5,26149983|25552724|28424286|38206187|37185867
24227862,5,25348535|25552724|31611857|37303226|38206187
25637519,5,25348535|37303226|26149983|25482475|25261422
26246578,5,25348535|25653436|25552724|25956162|25691633
26311878,5,25348535|25552724|25653436|35061879|25691633
26559830,5,25808007|35134180|21189351|25348535|30333167
27009474,5,33228206|36578581|36347497|25956162|34694877
27124362,5,35491829|25385110|37815035|37112915|26149983
28559249,5,21189351|31611857|25808007|34422316|25956162
29373677,5,25348535|20388636|25956162|25281399|25808007
30053052,5,36708743|37303226|25348535|38376918|38206187
30803972,5,25808007|21189351|34422316|31611857|30333167
31988104,5,37185867|26149983|38206187|25348535|36082606
32601157,5,25348535|26149983|29769116|27645238|25691633
33855437,5,37303226|36708743|25385110|38206187|37815035
34516245,5,31611857|25348535|25552724|25691633|25261422
35730213,5,31611857|35905753|25642847|37167996|32027734
35913500,5,37399555|36240386|37317505|37293603|32027734
35945163,5,34978890|38207125|37399555|37317505|37167996
36415058,5,34978890|38207125|37399555|36240386|25694653
36454248,5,30517632|36578581|35508579|36680436|19933171
36519389,5,38376918|36479423|25956162|31611857|37317505
36571282,5,36728219|38206187|36082606|36578581|20029816
36597160,5,37167996|37194419|37317505|36479423|37815035
36645792,5,34694877|36479423|19938977|37815035|37167996
36659824,5,37815035|37317505|37131300|37167996|36479423
36660819,5,37815035|34694877|34978890|25694653|36082606
36694270,5,31600343|20029816|36578581|35508579|20718620
36706364,5,36479423|34694877|37293603|37815035|37317505
36738248,5,29415189|35838991|37317505|30631792|29584723
36751650,5,26129754|35061671|30560685|35305571|37112921
36779485,5,34978890|38207125|37303226|36708743|36479423
36795586,5,37279560|37293603|36479423|37258034|37194419
36851704,5,35305571|35061671|25504831|37279560|37367727
36851760,5,25956162|34369051|35631067|19917747|20666602
36920025,5,31611857|25956162|25348535|25552724|38376918
36931676,5,31611857|35508579|26041893|28744024|36298841
36961945,5,35838991|31611857|25635815|36680436|20345882
36967989,5,31611857|20718620|20660676|26149983|36708743
36982978,5,25808007|21189351|26149983|34422316|21114823
37017009,5,20345882|35305571|36680436|26196688|37279560
37029656,5,36578581|37258034|36708743|35508579|38137828
37039023,5,25956162|37283423|34835480|25504831|36578581
37042390,5,36479423|37293603|20345882|25635815|36680436
