pmid,k,example_pmids
18715920,10,20421122|25691633|25552724|25653436|25348535|25956162|26149983|20388636|38206187|19933797
19104010,10,25348535|25956162|26149983|20421122|37185867|25691633|25552724|20388636|31611857|25367908
21115794,10,25691633|25348535|26149983|25552724|38206187|25367908|19933797|37185867|36708743|38376918
23749954,10,26149983|25552724|28424286|38206187|37185867|36708743|25956162|25385110|20702636|20810731
24227862,10,25348535|25552724|31611857|37303226|38206187|38376918|26149983|25956162|19933797|21189351
25637519,10,25348535|37303226|26149983|25482475|25261422|20029816|38206187|25552724|36708743|37185867
26246578,10,25348535|25653436|25552724|25956162|25691633|26149983|31611857|36578581|38206187|37185867
26311878,10,25348535|25552724|25653436|35061879|25691633|31611857|25956162|26149983|36708743|37303226
26559830,10,25808007|35134180|21189351|25348535|30333167|33055182|25552724|34422316|20718620|21114823
27009474,10,33228206|36578581|36347497|25956162|34694877|34694878|38558010|25420695|26149983|20388636
27124362,10,35491829|25385110|37815035|37112915|26149983|37185867|38206187|27084918|37399555|25348535
28559249,10,21189351|31611857|25808007|34422316|25956162|25348535|38376918|21114823|25552724|30333167
29373677,10,25348535|20388636|25956162|25281399|25808007|26017662|25552724|25691633|34694877|38206187
30053052,10,36708743|37303226|25348535|38376918|38206187|26149983|26115688|37185867|25956162|20029816
30803972,10,25808007|21189351|34422316|31611857|30333167|35134180|21114823|25348535|33055182|25956162
31988104,10,37185867|26149983|38206187|25348535|36082606|36708743|38376918|25552724|31611857|37303226
32601157,10,25348535|26149983|29769116|27645238|25691633|25552724|38206187|19933797|37185867|35134180
33855437,10,37303226|36708743|25385110|38206187|37815035|38141637|36082606|20666602|37317505|37565832
34516245,10,31611857|25348535|25552724|25691633|25261422|38206187|25956162|37185867|37303226|26149983
35730213,10,31611857|35905753|25642847|37167996|32027734|31600343|36476348|25635815|37194419|32761071
35913500,10,37399555|36240386|37317505|37293603|32027734|36479423|25635815|34694877|36728219|38207125
35945163,10,34978890|38207125|37399555|37317505|37167996|36566079|36240386|37194419|34694877|36728219
36415058,10,34978890|38207125|37399555|36240386|25694653|35305571|34370795|37279560|36082606|37194419
36454248,10,30517632|36578581|35508579|36680436|19933171|36479423|37367727|20345882|25754408|35631067
36519389,10,38376918|36479423|25956162|31611857|37317505|37194419|36082606|36240386|25642847|25261422
36571282,10,36728219|38206187|36082606|36578581|20029816|36016383|37194419|25956162|37112921|35061671
36597160,10,37167996|37194419|37317505|36479423|37815035|20345882|20388636|37293603|34694877|36728219
36645792,10,34694877|36479423|19938977|37815035|37167996|25694653|36566079|36082606|37293603|35493118
36659824,10,37815035|37317505|37131300|37167996|36479423|34369051|37194419|37279560|36566079|34694877
36660819,10,37815035|34694877|34978890|25694653|36082606|36240386|32027734|37167996|36566079|19938977
36694270,10,31600343|20029816|36578581|35508579|20718620|25956162|19686436|26196688|34835480|37317505
36706364,10,36479423|34694877|37293603|37815035|37317505|19938977|37279560|35905753|25694653|29892063
36738248,10,29415189|35838991|37317505|30631792|29584723|38058650|31600343|20666602|29309418|35508579
36751650,10,26129754|35061671|30560685|35305571|37112921|38376918|26121491|31611857|36479423|25653132
36779485,10,34978890|38207125|37303226|36708743|36479423|37317505|35508579|25754408|20345882|29026792
36795586,10,37279560|37293603|36479423|37258034|37194419|37317505|36728219|36578581|36476348|36299554
36851704,10,35305571|35061671|25504831|37279560|37367727|35493118|36366418|20666602|36680436|30517632
36851760,10,25956162|34369051|35631067|19917747|20666602|35508579|19686436|20718620|26196688|38206187
36920025,10,31611857|25956162|25348535|25552724|38376918|20124001|36578581|26149983|21189351|38206187
36931676,10,31611857|35508579|26041893|28744024|36298841|37293603|33055182|32027734|31227699|37283423
36961945,10,35838991|31611857|25635815|36680436|20345882|36479423|37317505|38376918|36728219|33228206
36967989,10,31611857|20718620|20660676|26149983|36708743|29026792|35215928|25348535|38206187|34370795
36982978,10,25808007|21189351|26149983|34422316|21114823|37185867|33055182|20718620|25552724|19686436
37017009,10,20345882|35305571|36680436|26196688|37279560|37167996|37367727|37293603|29415189|19933171
37029656,10,36578581|37258034|36708743|35508579|38137828|25956162|34369051|33228206|37279560|36680168
37039023,10,25956162|37283423|34835480|25504831|36578581|20029816|29415189|29026792|37194419|36514107
37042390,10,36479423|37293603|20345882|25635815|36680436|37317505|26196688|20388636|37279560|25956162
37052343,10,38376918|19938977|26129754|31611857|25694653|20483657|38207125|37815035|25642847|37279560
37071019,10,25552724|25348535|36347497|36708743|38376918|34694877|31611857|25956162|25653436|34694878
37085698,10,25956162|36298841|36578581|20718620|20029816|31611857|35631067|26115688|29584723|35508579
37104815,10,37167996|29892063|36566079|32027734|37317505|27231099|29415189|34694877|19938977|38376918
37112971,10,35061671|37112921|37293603|36016383|20029816|36578581|36366418|20453629|35215928|36298841
37147875,10,33228206|37317505|25956162|38558010|36347497|34835480|37194419|37293603|36299554|35508579
37272233,10,37293603|36479423|31611857|29309418|37194419|36299554|25956162|36578581|38558010|31600343
37279764,10,37112921|28178281|26129754|20029816|25261422|35061671|25410050|35508579|36016295|36146776
37327289,10,35215928|36016383|20483657|37279560|38376918|25635815|20029816|36514107|25420695|27231099
37340869,10,34978890|38207125|36240386|36082606|37399555|31611857|34694877|36566079|25694653|25420695
37358226,10,37279560|36479423|20666602|19933171|31611857|37317505|29892063|36680436|27231099|35493118
37376649,10,34694877|37194419|36082606|26041893|36566079|37815035|37167996|25956162|25635815|36240386
37381002,10,20718620|25956162|35215928|20029816|35508579|35631067|29026792|36298841|26115688|36578581
37439411,10,37317505|36708743|35508579|38206187|20666602|36578581|20029816|36016383|37258034|38137828
37495103,10,37317505|37194419|37293603|34835480|36578581|30517632|26196688|38558010|36479423|36299554
37498738,10,38376918|31611857|30420517|20666602|36074794|36476348|37283423|25956162|25694653|31227699
37515095,10,37112921|25956162|36016295|31611857|30517632|38376918|35631067|36298841|36479423|34978890
37515146,10,34835480|35305571|20029816|35061671|25504831|36298841|20718620|37112921|37279560|27231099
37520425,10,36479423|37293603|37317505|37279560|31611857|20345882|27231099|26196688|20666602|36299554
37537871,10,25956162|30333167|38376918|26041893|37317505|35838991|31611857|20666602|20718620|37283423
37540331,10,37167996|37112915|19938977|36479423|37317505|36566079|37815035|37194419|37293603|34694877
37541705,10,37815035|37167996|34694877|36566079|34694878|19938977|38141637|36479423|32027734|29892063
37546367,10,27231099|38376918|25956162|37293603|35631067|36578581|35061671|37279560|34835480|37317505
37554471,10,36479423|37293603|38207125|37317505|36299554|38558010|33228206|37399555|36240386|37565832
37573167,10,31611857|37258034|36479423|35508579|37317505|20666602|36728219|37293603|26196688|36578581
37574435,10,37194419|36728219|36082606|38206187|38207125|34694877|36479423|37317505|37293603|37399555
37585352,10,25956162|38376918|37112921|26115688|29415189|34636431|31611857|35838991|26041893|37279560
37593123,10,37112921|25956162|31611857|28178281|36016383|38376918|35508579|35305571|35794938|35631067
37626789,10,26196688|20455758|19933171|20345882|36680436|37317505|20029816|31611857|36479423|35508579
37632026,10,36479423|36101479|20345882|37367727|20029816|35493118|37317505|20666602|26196688|37279560
37632071,10,37317505|38137828|36479423|31611857|20666602|37565832|33228206|20345882|35508579|37194419
37649807,10,37293603|37279560|36479423|34694877|37399555|36299554|25694653|25681380|37167996|29892063
37662576,10,25552724|25956162|38376918|31611857|20124001|21189351|25348535|29765018|20666602|29892063
37674678,10,37112921|25956162|28178281|26129754|25410050|35508579|35794938|31611857|20029816|35061671
37701387,10,36479423|26196688|37317505|29892063|31611857|37293603|19938977|34835480|37815035|37167996
