pmid,k,example_pmids
18715920,5,20421122|19933797|25691633|20388636|27645238
19104010,5,25367908|25552724|27645238|25348535|25414202
21115794,5,25367908|27645238|25414202|25552724|25348535
23749954,5,25659108|25839730|37185867|37303226|20483657
24227862,5,20124001|19933797|25482475|25552724|25355888
25637519,5,25482475|20124001|25355888|25385110|25348535
26246578,5,35061879|25691633|37896768|26017662|37303226
26311878,5,25348535|25691633|37896768|25552724|26017662
26559830,5,34694878|25261422|35134180|25808007|34978890
27009474,5,19917747|21189351|35061879|25653436|35893472
27124362,5,36708743|20124001|20666602|37896768|25281399
28559249,5,37303226|34978890|35134180|25261422|35061879
29373677,5,25281399|37896768|25348535|20388636|25414202
30053052,5,20124001|25754408|36016383|20008779|20507208
30803972,5,35134180|25808007|35061879|34978890|34694878
31988104,5,26149983|35491829|20421122|19933797|29892063
32601157,5,27645238|25691633|30010985|25414202|25552724
33855437,5,37303226|36708743|35061879|34978890|25261422
34516245,5,20421122|25482475|19933797|35491829|26149983
35730213,5,36680436|36728219|37279560|37112915|38137828
35913500,5,37399555|38207125|36240386|34978890|37317505
35945163,5,34978890|37399555|38207125|36566079|34694878
36415058,5,38207125|37194419|37399555|36728219|38143853
36454248,5,30517632|36016383|36225747|33501504|20455758
36519389,5,36728219|37194419|36680436|37317505|37279560
36571282,5,36578581|37258034|32041622|35061879|34835480
36597160,5,36566079|38137828|37258034|32041622|34694878
36645792,5,36680436|34694878|37317505|34978890|36728219
36659824,5,37131300|38131882|37112915|35905753|38141637
36660819,5,37399555|37112915|25367908|38141637|25694653
36694270,5,27782811|35300056|34515004|36680436|33119663
36706364,5,36680436|37194419|36728219|35905753|37279560
36738248,5,36680436|34978890|35061879|37258034|38058650
36751650,5,27782811|25653132|34855860|25899877|26020400
36779485,5,35838991|35493118|36101479|38207125|36347497
36795586,5,37112915|37399555|38137828|37279560|27231099
36851704,5,36578581|33119663|32041622|34835480|36680436
36851760,5,36680436|34694878|34835480|21765953|35134180
36920025,5,20660676|20308382|36680168|25482475|29511083
36931676,5,28744024|37624329|33119663|36566079|38131882
36961945,5,36680436|25635815|25261422|37317505|34978890
36967989,5,31600343|28178281|36366418|34835480|33119663
36982978,5,27645238|25808007|25690598|26017662|25367908
37017009,5,36680436|26196688|37279560|30517632|34694878
37029656,5,36101479|37258034|35893472|35300056|33635845
37039023,5,37226112|25413141|25411830|34835480|25261422
37042390,5,36680436|25754408|20453629|26196688|25659108
37052343,5,34694878|38207125|34978890|37258034|36680436
37071019,5,35491829|25552724|34694877|20421122|30333167
37085698,5,24655349|34835480|32041622|36680436|31416460
37104815,5,37930812|34978890|37303226|38207125|37258034
37112971,5,35061671|37112921|36225747|36366418|30517632
37147875,5,35893472|36299554|36347497|36101479|30631792
37272233,5,25826122|35300056|27782811|35794938|36186451
37279764,5,27782811|25879488|35300056|25899877|26020400
37327289,5,36680436|33119663|32045455|28178281|25754408
37340869,5,34978890|38207125|34694878|35061879|36240386
37358226,5,36728219|37194419|36680436|37279560|37112915
37376649,5,34978890|37194419|34694878|37258034|37317505
37381002,5,27782811|34515004|25879488|35300056|25653132
37439411,5,35794938|37303226|37258034|36708743|27782811
37495103,5,36680436|34835480|33119663|27782811|36366418
37498738,5,25635815|37930812|36476348|36225747|31611857
37515095,5,36225747|35061671|36366418|37112921|32045455
37515146,5,34835480|31416460|28178281|32045455|36366418
37520425,5,36680436|37279560|37624329|36728219|34694878
37537871,5,38058650|27314585|34835480|26115688|28178281
37540331,5,38137828|37112915|36728219|38131882|37565832
37541705,5,37167996|38141637|35905753|34694878|20455758
37546367,5,27782811|25899877|34515004|36680436|35300056
37554471,5,37399555|38143853|38207125|36240386|33228206
37573167,5,37258034|36680436|36578581|34835480|37226112
37574435,5,37317505|38131882|38137828|37131300|36680436
