QID,model_name,base A,base P,base R,base F,FT A,FT P,FT R,FT F,QSP A,QSP P,QSP R,QSP F,FT+QSP A,FT+QSP P,FT+QSP R,FT+QSP F
1,GPT-4o,0.8533333333333334,0.9166666666666666,0.8627450980392157,0.888888888888889,0.92,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.8666666666666667,0.8796296296296297,0.931372549019608,0.9047619047619048,0.9266666666666666,0.941747572815534,0.9509803921568628,0.946341463414634
1,Llama3.1-70B,0.7733333333333333,0.9146341463414634,0.7352941176470589,0.8152173913043479,0.8266666666666667,0.9222222222222224,0.8137254901960784,0.8645833333333334,0.88,0.8962264150943396,0.931372549019608,0.9134615384615384,0.9066666666666666,0.9150943396226416,0.9509803921568628,0.9326923076923076
1,Llama3.1-8B,0.82,0.9310344827586208,0.7941176470588235,0.8571428571428571,0.7666666666666667,0.9135802469135802,0.7254901960784313,0.8087431693989071,0.7733333333333333,0.75,1.0,0.8571428571428571,0.7066666666666667,0.7377049180327869,0.8823529411764706,0.8035714285714285
2,GPT-4o,0.8266666666666667,0.5094339622641509,1.0,0.6749999999999999,0.9666666666666668,0.8928571428571429,0.925925925925926,0.9090909090909092,0.7666666666666667,0.4354838709677419,1.0,0.6067415730337078,0.9533333333333334,0.8571428571428571,0.8888888888888888,0.8727272727272727
2,Llama3.1-70B,0.9466666666666668,0.7714285714285715,1.0,0.870967741935484,0.9533333333333334,0.8571428571428571,0.8888888888888888,0.8727272727272727,0.8266666666666667,0.5094339622641509,1.0,0.6749999999999999,0.9066666666666666,0.7407407407407407,0.7407407407407407,0.7407407407407407
2,Llama3.1-8B,0.8733333333333333,0.5909090909090909,0.9629629629629628,0.732394366197183,0.94,0.875,0.7777777777777778,0.823529411764706,0.7533333333333333,0.421875,1.0,0.5934065934065934,0.7066666666666667,0.3508771929824561,0.7407407407407407,0.4761904761904761
3,GPT-4o,0.98,0.9310344827586208,0.9642857142857144,0.9473684210526316,0.9866666666666668,1.0,0.9285714285714286,0.962962962962963,0.9533333333333334,0.8,1.0,0.888888888888889,0.9666666666666668,0.8709677419354839,0.9642857142857144,0.9152542372881356
3,Llama3.1-70B,0.92,0.7105263157894737,0.9642857142857144,0.8181818181818182,0.9466666666666668,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.9533333333333334,0.8181818181818182,0.9642857142857144,0.8852459016393442,0.9333333333333332,0.8461538461538461,0.7857142857142857,0.8148148148148148
3,Llama3.1-8B,0.8733333333333333,0.6153846153846154,0.8571428571428571,0.7164179104477612,0.86,0.6129032258064516,0.6785714285714286,0.6440677966101694,0.8666666666666667,0.5869565217391305,0.9642857142857144,0.7297297297297297,0.6533333333333333,0.3285714285714285,0.8214285714285714,0.4693877551020408
4,GPT-4o,0.9933333333333332,1.0,0.9545454545454546,0.9767441860465116,0.9933333333333332,1.0,0.9545454545454546,0.9767441860465116,0.9933333333333332,0.9565217391304348,1.0,0.9777777777777776,1.0,1.0,1.0,1.0
4,Llama3.1-70B,0.9866666666666668,1.0,0.9090909090909092,0.9523809523809524,0.9866666666666668,1.0,0.9090909090909092,0.9523809523809524,1.0,1.0,1.0,1.0,0.9533333333333334,1.0,0.6818181818181818,0.8108108108108109
