PMID,QID,Question,Type,Category,Answer
40391923,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,"Yes, the paper reports HIV sequences from patient samples."
40391923,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,"No, the paper does not report in vitro drug susceptibility data."
40391923,3,Were sequences from the paper made publicly available?,Boolean,Data availability,"Yes, the sequences from the paper were made publicly available."
40391923,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,"The GenBank accession numbers for the sequenced HIV isolates are PV008448-PV008641, PV407014-PV407203, and PV419497-PV419583."
40391923,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,234 individuals had samples obtained for HIV sequencing.
40391923,6,From which countries were the sequenced samples obtained?,List,Demographics,"The sequenced samples were obtained from Cameroon, Côte d'Ivoire, Malawi, Republic of Congo, Uganda, Zambia, and Zimbabwe."
40391923,7,From what years were the sequenced samples obtained?,List,Demographics,The sequenced samples were obtained between 2022 and 2025.
40391923,8,Were samples cloned prior to sequencing?,Boolean,Technical,"No, the samples were not cloned prior to sequencing."
40391923,9,Which HIV genes were reported to have been sequenced?,List,Technical,The HIV genes that were reported to have been sequenced are integrase (IN) and protease/reverse transcriptase (PR/RT).
40391923,10,What method was used for sequencing?,List,Technical,The method used for sequencing was Sanger sequencing.
40391923,11,What type of samples were sequenced?,List,Technical,The type of samples that were sequenced were plasma or dried blood spots (DBS).
40391923,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,"Yes, sequences were obtained from individuals with virological failure on a treatment regimen."
40391923,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,"No, the patients in the study were not in a clinical trial."
40391923,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,"Yes, the paper reports HIV sequences from individuals who had previously received ARV drugs."
40391923,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,The drug classes that were received by individuals in the study before sample sequencing were NRTIs and INSTIs.
40391923,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"The drugs that were received by individuals in the study before sample sequencing were tenofovir, lamivudine, and dolutegravir."
40400229,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,"Yes, the paper reports HIV sequences from patient samples."
40400229,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,"Yes, the paper reports in vitro drug susceptibility data."
40400229,3,Were sequences from the paper made publicly available?,Boolean,Data availability,"No, the sequences from the paper were not made publicly available."
40400229,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available.
40400229,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,43 individuals had samples obtained for HIV sequencing.
40400229,6,From which countries were the sequenced samples obtained?,List,Demographics,England.
40400229,7,From what years were the sequenced samples obtained?,List,Demographics,2017-2020.
40400229,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not available.
40400229,9,Which HIV genes were reported to have been sequenced?,List,Technical,The M184I/V and K103Q genes were reported to have been sequenced.
40400229,10,What method was used for sequencing?,List,Technical,The Stanford algorithm was used for sequencing.
40400229,11,What type of samples were sequenced?,List,Technical,Blood or other bodily fluids from HIV-positive individuals.
40400229,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,"Yes, sequences were obtained from individuals with virological failure on a treatment regimen."
40400229,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,"Yes, the patients in the study were in a clinical trial."
40400229,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Not available.
40400229,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not available.
40400229,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Not available.
40431710,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
40431710,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
40431710,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
40431710,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not mentioned
40431710,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,1
40431710,6,From which countries were the sequenced samples obtained?,List,Demographics,Switzerland
40431710,7,From what years were the sequenced samples obtained?,List,Demographics,1994
40431710,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not mentioned
40431710,9,Which HIV genes were reported to have been sequenced?,List,Technical,HIV-1 protease and reverse transcriptase
40431710,10,What method was used for sequencing?,List,Technical,Next-generation sequencing
40431710,11,What type of samples were sequenced?,List,Technical,Blood sample
40431710,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
40431710,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,No
40431710,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
40431710,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,"NRTIs, NNRTIs, PIs, and INSTIs"
40431710,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"Bictegravir (BIC), Emtricitabine (FTC), Tenofovir alafenamide (TAF), and Doravirine (DOR)"
40431742,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,"Yes, the paper reports HIV sequences from patient samples."
40431742,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,"Yes, the paper reports in vitro drug susceptibility data."
40431742,3,Were sequences from the paper made publicly available?,Boolean,Data availability,"No, sequences from the paper were not made publicly available."
40431742,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,No information is available to answer this question.
40431742,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,1677 individuals had samples obtained for HIV sequencing.
40431742,6,From which countries were the sequenced samples obtained?,List,Demographics,Argentina.
40431742,7,From what years were the sequenced samples obtained?,List,Demographics,2017-2021.
40431742,8,Were samples cloned prior to sequencing?,Boolean,Technical,No information is available to answer this question.
40431742,9,Which HIV genes were reported to have been sequenced?,List,Technical,The protease and reverse-transcriptase regions of the HIV-1 pol gene.
40431742,10,What method was used for sequencing?,List,Technical,Sanger sequencing.
40431742,11,What type of samples were sequenced?,List,Technical,Plasma samples.
40431742,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,No information is available to answer this question.
40431742,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,No information is available to answer this question.
40431742,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,"No, the paper does not report HIV sequences from individuals who had previously received ARV drugs."
40431742,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,No drug classes were received by individuals in the study before sample sequencing.
40431742,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,No drugs were received by individuals in the study before sample sequencing.
40490983,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,"Yes, the paper reports HIV sequences from patient samples."
40490983,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,"Yes, the paper reports in vitro drug susceptibility data."
40490983,3,Were sequences from the paper made publicly available?,Boolean,Data availability,"No, the paper does not explicitly state that sequences from the paper were made publicly available."
40490983,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available.
40490983,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not available.
40490983,6,From which countries were the sequenced samples obtained?,List,Demographics,Kenya.
40490983,7,From what years were the sequenced samples obtained?,List,Demographics,2011-2021.
40490983,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not available.
40490983,9,Which HIV genes were reported to have been sequenced?,List,Technical,Protease and reverse transcriptase.
40490983,10,What method was used for sequencing?,List,Technical,Sanger sequencing.
40490983,11,What type of samples were sequenced?,List,Technical,Plasma HIV-1 RNA.
40490983,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes.
40490983,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not available.
40490983,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes.
40490983,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Protease inhibitors (PIs) and nucleoside reverse transcriptase inhibitors (NRTIs).
40490983,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"Efavirenz, nevirapine, atazanavir/ritonavir, and lopinavir/ritonavir."
