PMID,QID,Question,Answer
40872801,1,Does the paper report HIV sequences from patient samples?,Not reported
40872801,2,Does the paper report in vitro drug susceptibility data?,Not reported
40872801,3,Were sequences from the paper made publicly available?,Not reported
40872801,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
40872801,5,How many individuals had samples obtained for HIV sequencing?,Not reported
40872801,6,From which countries were the sequenced samples obtained?,Not reported
40872801,7,From what years were the sequenced samples obtained?,Not reported
40872801,8,Were samples cloned prior to sequencing?,Not reported
40872801,9,Which HIV genes were reported to have been sequenced?,Not reported
40872801,10,What method was used for sequencing?,Not reported
40872801,11,What type of samples were sequenced?,Not reported
40872801,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Not reported
40872801,13,Were the patients in the study in a clinical trial?,Not reported
40872801,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Not reported
40872801,15,Which drug classes were received by individuals in the study before sample sequencing?,Not reported
40872801,16,Which drugs were received by individuals in the study before sample sequencing?,Not reported
40938120,1,Does the paper report HIV sequences from patient samples?,Yes
40938120,2,Does the paper report in vitro drug susceptibility data?,No
40938120,3,Were sequences from the paper made publicly available?,Not reported
40938120,4,What were the GenBank accession numbers for sequenced HIV isolates?,
40938120,5,How many individuals had samples obtained for HIV sequencing?,1048
40938120,6,From which countries were the sequenced samples obtained?,China
40938120,7,From what years were the sequenced samples obtained?,2019-2022
40938120,8,Were samples cloned prior to sequencing?,No
40938120,9,Which HIV genes were reported to have been sequenced?,
40938120,10,What method was used for sequencing?,
40938120,11,What type of samples were sequenced?,Plasma
40938120,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
40938120,13,Were the patients in the study in a clinical trial?,No
40938120,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No
40938120,15,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI"
40938120,16,Which drugs were received by individuals in the study before sample sequencing?,"TDF, 3TC, EFV, NVP, D4T, AZT, LPV/r"
40938996,1,Does the paper report HIV sequences from patient samples?,No
40938996,2,Does the paper report in vitro drug susceptibility data?,No
40938996,3,Were sequences from the paper made publicly available?,Not reported
40938996,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
40938996,5,How many individuals had samples obtained for HIV sequencing?,Not reported
40938996,6,From which countries were the sequenced samples obtained?,Not Found
40938996,7,From what years were the sequenced samples obtained?,Not reported
40938996,8,Were samples cloned prior to sequencing?,
40938996,9,Which HIV genes were reported to have been sequenced?,"Protease, PR; Reverse transcriptase, RT; Integrase, IN; Capsid, CA; Envelope"
40938996,10,What method was used for sequencing?,"Sanger sequencing, Oxford Nanopore sequencing"
40938996,11,What type of samples were sequenced?,Not reported
40938996,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
40938996,13,Were the patients in the study in a clinical trial?,No
40938996,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?, Not reported
40938996,15,Which drug classes were received by individuals in the study before sample sequencing?,INSTI
40938996,16,Which drugs were received by individuals in the study before sample sequencing?,Dolutegravir (DTG)
41129268,1,Does the paper report HIV sequences from patient samples?,Yes
41129268,2,Does the paper report in vitro drug susceptibility data?,No
41129268,3,Were sequences from the paper made publicly available?,Not reported
41129268,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
41129268,5,How many individuals had samples obtained for HIV sequencing?,333
41129268,6,From which countries were the sequenced samples obtained?,Uganda
41129268,7,From what years were the sequenced samples obtained?,2021
41129268,8,Were samples cloned prior to sequencing?,No
41129268,9,Which HIV genes were reported to have been sequenced?,
41129268,10,What method was used for sequencing?,Sanger sequencing
41129268,11,What type of samples were sequenced?,Plasma
41129268,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes
41129268,13,Were the patients in the study in a clinical trial?,No
41129268,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes
41129268,15,Which drug classes were received by individuals in the study before sample sequencing?," NRTI, NNRTI, PI, INSTI"
41129268,16,Which drugs were received by individuals in the study before sample sequencing?,"DTG, LPV, ABC, 3TC, TDF, AZT"
40490983,1,Does the paper report HIV sequences from patient samples?,Yes
40490983,2,Does the paper report in vitro drug susceptibility data?,No
40490983,3,Were sequences from the paper made publicly available?,No
40490983,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
40490983,5,How many individuals had samples obtained for HIV sequencing?,187
40490983,6,From which countries were the sequenced samples obtained?,Kenya
40490983,7,From what years were the sequenced samples obtained?,2011-2021
40490983,8,Were samples cloned prior to sequencing?,No
40490983,9,Which HIV genes were reported to have been sequenced?,"PR, RT"
40490983,10,What method was used for sequencing?,Sanger sequencing
40490983,11,What type of samples were sequenced?,Plasma
40490983,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes
40490983,13,Were the patients in the study in a clinical trial?,No
40490983,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes
40490983,15,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI"
40490983,16,Which drugs were received by individuals in the study before sample sequencing?,"ATV, LPV, DTG"
40974886,1,Does the paper report HIV sequences from patient samples?,Yes
40974886,2,Does the paper report in vitro drug susceptibility data?,No
40974886,3,Were sequences from the paper made publicly available?,Not reported
40974886,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
40974886,5,How many individuals had samples obtained for HIV sequencing?,241
40974886,6,From which countries were the sequenced samples obtained?,Not Found
40974886,7,From what years were the sequenced samples obtained?,1997-2019
40974886,8,Were samples cloned prior to sequencing?,No
40974886,9,Which HIV genes were reported to have been sequenced?,"PR, RT, IN"
