PMID,QID,Question,Answer
40872801,1,Does the paper report HIV sequences from patient samples?,Yes
40872801,2,Does the paper report in vitro drug susceptibility data?,No
40872801,3,Were sequences from the paper made publicly available?,Not reported
40872801,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
40872801,5,How many individuals had samples obtained for HIV sequencing?,9685
40872801,6,From which countries were the sequenced samples obtained?,Not Found
40872801,7,From what years were the sequenced samples obtained?,Not Found
40872801,8,Were samples cloned prior to sequencing?,No
40872801,9,Which HIV genes were reported to have been sequenced?,Not reported
40872801,10,What method was used for sequencing?,Unknown
40872801,11,What type of samples were sequenced?,Unknown
40872801,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes
40872801,13,Were the patients in the study in a clinical trial?,No
40872801,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes
40872801,15,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI"
40872801,16,Which drugs were received by individuals in the study before sample sequencing?,"Abacavir (ABC), Zidovudine'(AZT), Zalcitabine (DDC), Didanosine (DDI), Lamivudine (3TC), Stavudine (D4T), Emtricitabine(FTC), Tenofovir (TFV), Nevirapine (NVP), Delavirdine (DLV), Efavirenz (EFV), Etravirine (ETR), Rilpivirine (RPV), Doravirine (DOR), Amprenavir (APV), Lopinavir'(LPV), Atazanavir (ATV), Derunavir (DRV), Raltegravir (RAL), Elvitegravir(EVG), Dolutagravir (DTG), Bictegravir (BIC), cabotagravir (CAB), Lenacapavir (LEN)"
40938120,1,Does the paper report HIV sequences from patient samples?,Yes
40938120,2,Does the paper report in vitro drug susceptibility data?,No
40938120,3,Were sequences from the paper made publicly available?,Yes
40938120,4,What were the GenBank accession numbers for sequenced HIV isolates?,PX133190-PX134237
40938120,5,How many individuals had samples obtained for HIV sequencing?,1048
40938120,6,From which countries were the sequenced samples obtained?,China
40938120,7,From what years were the sequenced samples obtained?,2019-2022
40938120,8,Were samples cloned prior to sequencing?,No
40938120,9,Which HIV genes were reported to have been sequenced?,"Protease, PR; Reverse transcriptase, RT"
40938120,10,What method was used for sequencing?,Sanger sequencing
40938120,11,What type of samples were sequenced?,Plasma
40938120,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
40938120,13,Were the patients in the study in a clinical trial?,No
40938120,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No
40938120,15,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI (Nucleoside Reverse Transcriptase Inhibitor), including Abacavir (ABC), Zidovudine'(AZT), Zalcitabine (DDC), Didanosine (DDI), Lamivudine (3TC), Stavudine (D4T), Emtricitabine(FTC), Tenofovir (TFV); NNRTI (Non-Nucleosid Reverse Transcriptase Inhibitor), including Nevirapine (NVP), Delavirdine (DLV), Efavirenz (EFV), Etravirine (ETR), Rilpivirine (RPV), Doravirine (DOR); PI (Protease Inhibitor), including Amprenavir (APV), Lopinavir'(LPV), Atazanavir (ATV), Derunavir (DRV); INSTI (Integrase Inhibitor), including Raltegravir (RAL), Elvitegravir(EVG), Dolutagravir (DTG), Bictegravir (BIC), cabotagravir (CAB), Lenacapavir (LEN); CAI (Capsid Inhibitor), including GS-CA1, Lenacapavir (GS-6207)"
40938120,16,Which drugs were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INST"
40938996,1,Does the paper report HIV sequences from patient samples?,Yes
40938996,2,Does the paper report in vitro drug susceptibility data?,Yes
40938996,3,Were sequences from the paper made publicly available?,Not reported
40938996,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
40938996,5,How many individuals had samples obtained for HIV sequencing?,3
40938996,6,From which countries were the sequenced samples obtained?,Not Found
40938996,7,From what years were the sequenced samples obtained?,Not Found
40938996,8,Were samples cloned prior to sequencing?,No
40938996,9,Which HIV genes were reported to have been sequenced?,Envelope; Integrase; Near full length genome
40938996,10,What method was used for sequencing?,Illumina sequencing
40938996,11,What type of samples were sequenced?,PBMC
40938996,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
40938996,13,Were the patients in the study in a clinical trial?,No
40938996,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Unknown
40938996,15,Which drug classes were received by individuals in the study before sample sequencing?,INSTI
40938996,16,Which drugs were received by individuals in the study before sample sequencing?,Dolutegravir (DTG)
