PMID,QID,question,evidence,rationale,answer
18715920,1,Does the paper report HIV sequences from patient samples?,"The paper mentions ""viral RNA was extracted from culture supernatant or virus stock"" and ""genotyping of the IN-encoding region of the pol gene of the viruses"".","The paper reports HIV sequences from patient samples, specifically from culture supernatant or virus stock.",Yes
18715920,2,Does the paper report in vitro drug susceptibility data?,"The paper mentions ""antiviral assays"" and ""determination of viral p24 levels"" to measure the susceptibility of HIV-1 strains to different IN inhibitors.","The paper reports in vitro drug susceptibility data, specifically the susceptibility of HIV-1 strains to different IN inhibitors.",Yes
18715920,3,Were sequences from the paper made publicly available?,The paper does not mention making sequences publicly available.,The paper does not report making sequences publicly available.,No
18715920,4,What were the GenBank accession numbers for sequenced HIV isolates?,The paper does not mention GenBank accession numbers.,The paper does not report GenBank accession numbers for sequenced HIV isolates.,Not reported
18715920,5,How many individuals had samples obtained for HIV sequencing?,The paper does not mention the number of individuals.,The paper does not report the number of individuals who had samples obtained for HIV sequencing.,Not reported
18715920,6,From which countries were the sequenced samples obtained?,The paper does not mention the country of origin of the samples.,The paper does not report the country of origin of the sequenced samples.,Not reported
18715920,7,From what years were the sequenced samples obtained?,The paper does not mention the year of sample collection.,The paper does not report the year of sample collection.,Not reported
18715920,8,Were samples cloned prior to sequencing?,"The paper mentions ""viral RNA was extracted from culture supernatant or virus stock"" but does not mention cloning.",The paper does not report cloning prior to sequencing.,No
18715920,9,Which HIV genes were reported to have been sequenced?,"The paper mentions ""genotyping of the IN-encoding region of the pol gene of the viruses"".",The paper reports sequencing of the IN gene.,IN
18715920,10,What method was used for sequencing?,"The paper mentions ""automated population-based full-sequence analysis (ABI Prism BigDye Terminator cycle sequencing)"".",The paper reports using Sanger sequencing.,Sanger sequencing
18715920,11,What type of samples were sequenced?,"The paper mentions ""viral RNA was extracted from culture supernatant or virus stock"".",The paper reports sequencing of viral RNA from culture supernatant or virus stock.,Viral RNA from culture supernatant or virus stock
18715920,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,"The paper mentions ""virus breakthrough"" and ""virologic failure"" in the context of selecting resistant viruses.",The paper reports sequencing of viruses from individuals with virological failure on a treatment regimen.,Yes
18715920,13,Were the patients in the study in a clinical trial?,The paper does not mention a clinical trial.,The paper does not report the patients being in a clinical trial.,No
18715920,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,"The paper mentions ""virus breakthrough"" and ""virologic failure"" in the context of selecting resistant viruses.",The paper reports sequencing of viruses from individuals who had previously received ARV drugs.,Yes
18715920,15,Which drug classes were received by individuals in the study before sample sequencing?,"The paper mentions ""IN inhibitors"" and specifically mentions ""EVG"" and ""RAL"".","The paper reports that individuals received IN inhibitors, specifically EVG and RAL, before sample sequencing.",IN inhibitors (EVG and RAL)
18715920,16,Which drugs were received by individuals in the study before sample sequencing?,"The paper mentions ""EVG"" and ""RAL"" as the specific drugs used in the study.",The paper reports that individuals received EVG and RAL before sample sequencing.,EVG and RAL
19104010,1,Does the paper report HIV sequences from patient samples?,"The paper does not explicitly state that genetic sequencing was performed on clinical samples from patients. However, it does mention that the antiviral activity of GS-9160 was evaluated in HIV-1-infected MT-2 and MT-4 cell lines as well as in primary human T lymphocytes.","Based on the information provided, it appears that the paper does not report HIV sequences from patient samples. The antiviral activity of GS-9160 was evaluated in cell lines and primary human T lymphocytes, but there is no mention of sequencing patient samples.",No.
19104010,2,Does the paper report in vitro drug susceptibility data?,The paper reports the antiviral activity of GS-9160 in HIV-1-infected MT-2 and MT-4 cell lines as well as in primary human T lymphocytes. It also mentions the EC50 values of GS-9160 in the presence of human serum and the human serum components HSA and α1-AGP.,"The paper reports in vitro drug susceptibility data, including the antiviral activity of GS-9160 in different cell types and the effect of human serum on its potency.",Yes.
