model,Type,accuracy,precision,recall,f1
GPT-4o FT,Boolean,0.9476190476190476,0.9268018354882938,0.8633103414782086,0.8789427997721152
GPT-4o FT,List,0.8725,0.9161149240183032,0.8377511317901578,0.8739880065606819
GPT-4o FT,Number,0.8333333333333334,0.9629629629629629,0.78,0.8618784530386739
GPT-4o FT+QSP,Boolean,0.9247619047619048,0.8211960325883964,0.83286349197962,0.820130334807968
GPT-4o FT+QSP,List,0.8466666666666667,0.8753897870593579,0.8071384105754611,0.8373020217408215
GPT-4o FT+QSP,Number,0.8333333333333334,0.9411764705882353,0.8,0.8648648648648648
GPT-4o QSP,Boolean,0.8952380952380953,0.7274474490024936,0.8527392542464999,0.7700740595863813
GPT-4o QSP,List,0.8025,0.830491737020046,0.7534618737809633,0.7828531615653789
GPT-4o QSP,Number,0.8333333333333334,0.9310344827586207,0.81,0.8663101604278076
GPT-6 Astra QSP,Boolean,0.9285714285714286,0.8111407915755742,0.8163020404408988,0.8032720677913007
GPT-6 Astra QSP,List,0.9083333333333333,0.9213040452192846,0.8991453079571556,0.909142200202706
GPT-6 Astra QSP,Number,0.7933333333333333,0.9726027397260274,0.71,0.8208092485549133
Kimi K3 QSP,Boolean,0.9476190476190476,0.8412437847020592,0.8312912209822423,0.8321495043346963
Kimi K3 QSP,List,0.9091666666666667,0.9038911802912684,0.9208761837353567,0.9119027795502417
Kimi K3 QSP,Number,0.8466666666666667,0.9753086419753086,0.79,0.8729281767955802
