model,QID,fixed,broken,both_wrong
GPT-6 Astra QSP,1,16,7,4
GPT-6 Astra QSP,2,31,6,4
GPT-6 Astra QSP,3,6,3,1
GPT-6 Astra QSP,4,1,2,0
GPT-6 Astra QSP,5,11,17,14
GPT-6 Astra QSP,6,19,14,3
GPT-6 Astra QSP,7,16,9,2
GPT-6 Astra QSP,8,4,2,7
GPT-6 Astra QSP,9,31,5,12
GPT-6 Astra QSP,10,14,5,6
GPT-6 Astra QSP,11,25,10,8
GPT-6 Astra QSP,12,8,17,5
GPT-6 Astra QSP,13,4,4,2
GPT-6 Astra QSP,14,14,9,4
GPT-6 Astra QSP,15,33,7,10
GPT-6 Astra QSP,16,46,6,11
Kimi K3 QSP,1,17,6,3
Kimi K3 QSP,2,33,3,2
Kimi K3 QSP,3,6,2,1
Kimi K3 QSP,4,1,2,0
Kimi K3 QSP,5,9,7,16
Kimi K3 QSP,6,19,13,3
Kimi K3 QSP,7,16,8,2
Kimi K3 QSP,8,4,3,7
Kimi K3 QSP,9,32,4,11
Kimi K3 QSP,10,12,8,8
Kimi K3 QSP,11,24,9,9
Kimi K3 QSP,12,9,9,4
Kimi K3 QSP,13,4,2,2
Kimi K3 QSP,14,14,7,4
Kimi K3 QSP,15,36,7,7
Kimi K3 QSP,16,46,7,11
