PMID,QID,Question,Answer
18715920,1,Does the paper report HIV sequences from patient samples?,Yes
18715920,2,Does the paper report in vitro drug susceptibility data?,No
18715920,3,Were sequences from the paper made publicly available?,No
18715920,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
18715920,5,How many individuals had samples obtained for HIV sequencing?,Not reported
18715920,6,From which countries were the sequenced samples obtained?,Not reported
18715920,7,From what years were the sequenced samples obtained?,Not reported
18715920,8,Were samples cloned prior to sequencing?,Not reported
18715920,9,Which HIV genes were reported to have been sequenced?,Not reported
18715920,10,What method was used for sequencing?,Not reported
18715920,11,What type of samples were sequenced?,Not reported
18715920,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Not reported
18715920,13,Were the patients in the study in a clinical trial?,Not reported
18715920,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Not reported
18715920,15,Which drug classes were received by individuals in the study before sample sequencing?,Not reported
18715920,16,Which drugs were received by individuals in the study before sample sequencing?,Not reported
19104010,1,Does the paper report HIV sequences from patient samples?,No
19104010,2,Does the paper report in vitro drug susceptibility data?,No
19104010,3,Were sequences from the paper made publicly available?,No
19104010,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
19104010,5,How many individuals had samples obtained for HIV sequencing?,0
19104010,6,From which countries were the sequenced samples obtained?,Not reported
19104010,7,From what years were the sequenced samples obtained?,Not reported
19104010,8,Were samples cloned prior to sequencing?,Not reported
19104010,9,Which HIV genes were reported to have been sequenced?,Not reported
19104010,10,What method was used for sequencing?,Not reported
19104010,11,What type of samples were sequenced?,Not reported
19104010,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
19104010,13,Were the patients in the study in a clinical trial?,No
19104010,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No
19104010,15,Which drug classes were received by individuals in the study before sample sequencing?,None
19104010,16,Which drugs were received by individuals in the study before sample sequencing?,None
21115794,1,Does the paper report HIV sequences from patient samples?,No
21115794,2,Does the paper report in vitro drug susceptibility data?,Yes
21115794,3,Were sequences from the paper made publicly available?,No
21115794,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
21115794,5,How many individuals had samples obtained for HIV sequencing?,0
21115794,6,From which countries were the sequenced samples obtained?,Not applicable
21115794,7,From what years were the sequenced samples obtained?,Not applicable
21115794,8,Were samples cloned prior to sequencing?,Not applicable
21115794,9,Which HIV genes were reported to have been sequenced?,Not applicable
21115794,10,What method was used for sequencing?,Not applicable
21115794,11,What type of samples were sequenced?,Not applicable
21115794,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Not applicable
21115794,13,Were the patients in the study in a clinical trial?,Not applicable
21115794,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Not applicable
21115794,15,Which drug classes were received by individuals in the study before sample sequencing?,None
21115794,16,Which drugs were received by individuals in the study before sample sequencing?,None
23749954,1,Does the paper report HIV sequences from patient samples?,Yes
23749954,2,Does the paper report in vitro drug susceptibility data?,Yes
23749954,3,Were sequences from the paper made publicly available?,No
23749954,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
23749954,5,How many individuals had samples obtained for HIV sequencing?,Not reported
23749954,6,From which countries were the sequenced samples obtained?,Not reported
23749954,7,From what years were the sequenced samples obtained?,Not reported
23749954,8,Were samples cloned prior to sequencing?,Not reported
23749954,9,Which HIV genes were reported to have been sequenced?,Not reported
23749954,10,What method was used for sequencing?,Not reported
23749954,11,What type of samples were sequenced?,Not reported
23749954,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
23749954,13,Were the patients in the study in a clinical trial?,No
23749954,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No
23749954,15,Which drug classes were received by individuals in the study before sample sequencing?,None
23749954,16,Which drugs were received by individuals in the study before sample sequencing?,None
24227862,1,Does the paper report HIV sequences from patient samples?,Yes
24227862,2,Does the paper report in vitro drug susceptibility data?,Yes
24227862,3,Were sequences from the paper made publicly available?,No
