PMID,QID,Question,Answer
18715920,1,Does the paper report HIV sequences from patient samples?,No
18715920,2,Does the paper report in vitro drug susceptibility data?,Yes
18715920,3,Were sequences from the paper made publicly available?,No
18715920,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
18715920,5,How many individuals had samples obtained for HIV sequencing?,0
18715920,6,From which countries were the sequenced samples obtained?,Not reported
18715920,7,From what years were the sequenced samples obtained?,Not reported
18715920,8,Were samples cloned prior to sequencing?,No
18715920,9,Which HIV genes were reported to have been sequenced?,"Integrase, IN"
18715920,10,What method was used for sequencing?,Not reported
18715920,11,What type of samples were sequenced?,Not reported
18715920,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
18715920,13,Were the patients in the study in a clinical trial?,No
18715920,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No
18715920,15,Which drug classes were received by individuals in the study before sample sequencing?,Not reported
18715920,16,Which drugs were received by individuals in the study before sample sequencing?,Not reported
19104010,1,Does the paper report HIV sequences from patient samples?,No
19104010,2,Does the paper report in vitro drug susceptibility data?,Yes
19104010,3,Were sequences from the paper made publicly available?,No
19104010,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
19104010,5,How many individuals had samples obtained for HIV sequencing?,0
19104010,6,From which countries were the sequenced samples obtained?,Not reported
19104010,7,From what years were the sequenced samples obtained?,Not reported
19104010,8,Were samples cloned prior to sequencing?,No
19104010,9,Which HIV genes were reported to have been sequenced?,Not reported
19104010,10,What method was used for sequencing?,Not reported
19104010,11,What type of samples were sequenced?,Not reported
19104010,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
19104010,13,Were the patients in the study in a clinical trial?,No
19104010,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No
19104010,15,Which drug classes were received by individuals in the study before sample sequencing?,Not reported
19104010,16,Which drugs were received by individuals in the study before sample sequencing?,Not reported
21115794,1,Does the paper report HIV sequences from patient samples?,No
21115794,2,Does the paper report in vitro drug susceptibility data?,Yes
21115794,3,Were sequences from the paper made publicly available?,No
21115794,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
21115794,5,How many individuals had samples obtained for HIV sequencing?,Not reported
21115794,6,From which countries were the sequenced samples obtained?,Not reported
21115794,7,From what years were the sequenced samples obtained?,Not reported
21115794,8,Were samples cloned prior to sequencing?,Not reported
21115794,9,Which HIV genes were reported to have been sequenced?,Not reported
21115794,10,What method was used for sequencing?,Not reported
21115794,11,What type of samples were sequenced?,Not reported
21115794,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
21115794,13,Were the patients in the study in a clinical trial?,No
21115794,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No
21115794,15,Which drug classes were received by individuals in the study before sample sequencing?,Not reported
21115794,16,Which drugs were received by individuals in the study before sample sequencing?,Not reported
23749954,1,Does the paper report HIV sequences from patient samples?,No
23749954,2,Does the paper report in vitro drug susceptibility data?,Yes
23749954,3,Were sequences from the paper made publicly available?,No
23749954,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
23749954,5,How many individuals had samples obtained for HIV sequencing?,0
23749954,6,From which countries were the sequenced samples obtained?,Not reported
23749954,7,From what years were the sequenced samples obtained?,Not reported
23749954,8,Were samples cloned prior to sequencing?,Yes
23749954,9,Which HIV genes were reported to have been sequenced?,RT
23749954,10,What method was used for sequencing?,Not reported
23749954,11,What type of samples were sequenced?,Not reported
23749954,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
23749954,13,Were the patients in the study in a clinical trial?,No
23749954,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No
23749954,15,Which drug classes were received by individuals in the study before sample sequencing?,Not reported
23749954,16,Which drugs were received by individuals in the study before sample sequencing?,Not reported
24227862,1,Does the paper report HIV sequences from patient samples?,No
24227862,2,Does the paper report in vitro drug susceptibility data?,
24227862,3,Were sequences from the paper made publicly available?,
24227862,4,What were the GenBank accession numbers for sequenced HIV isolates?,
24227862,5,How many individuals had samples obtained for HIV sequencing?,
24227862,6,From which countries were the sequenced samples obtained?,
24227862,7,From what years were the sequenced samples obtained?,
24227862,8,Were samples cloned prior to sequencing?,
24227862,9,Which HIV genes were reported to have been sequenced?,
24227862,10,What method was used for sequencing?,
24227862,11,What type of samples were sequenced?,
24227862,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,
24227862,13,Were the patients in the study in a clinical trial?,
24227862,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,
24227862,15,Which drug classes were received by individuals in the study before sample sequencing?,
24227862,16,Which drugs were received by individuals in the study before sample sequencing?,
25637519,1,Does the paper report HIV sequences from patient samples?,
25637519,2,Does the paper report in vitro drug susceptibility data?,
25637519,3,Were sequences from the paper made publicly available?,
25637519,4,What were the GenBank accession numbers for sequenced HIV isolates?,
25637519,5,How many individuals had samples obtained for HIV sequencing?,
25637519,6,From which countries were the sequenced samples obtained?,
25637519,7,From what years were the sequenced samples obtained?,
25637519,8,Were samples cloned prior to sequencing?,
25637519,9,Which HIV genes were reported to have been sequenced?,
25637519,10,What method was used for sequencing?,
25637519,11,What type of samples were sequenced?,
25637519,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,
25637519,13,Were the patients in the study in a clinical trial?,
25637519,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,
25637519,15,Which drug classes were received by individuals in the study before sample sequencing?,
25637519,16,Which drugs were received by individuals in the study before sample sequencing?,
26246578,1,Does the paper report HIV sequences from patient samples?,No
26246578,2,Does the paper report in vitro drug susceptibility data?,Yes
26246578,3,Were sequences from the paper made publicly available?,No
26246578,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
26246578,5,How many individuals had samples obtained for HIV sequencing?,0
26246578,6,From which countries were the sequenced samples obtained?,Not reported
26246578,7,From what years were the sequenced samples obtained?,Not reported
26246578,8,Were samples cloned prior to sequencing?,No
26246578,9,Which HIV genes were reported to have been sequenced?,Integrase
26246578,10,What method was used for sequencing?,Not reported
26246578,11,What type of samples were sequenced?,Not reported
26246578,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
26246578,13,Were the patients in the study in a clinical trial?,No
26246578,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,
26246578,15,Which drug classes were received by individuals in the study before sample sequencing?,Not reported
26246578,16,Which drugs were received by individuals in the study before sample sequencing?,Not reported
26311878,1,Does the paper report HIV sequences from patient samples?,No
26311878,2,Does the paper report in vitro drug susceptibility data?,Yes
26311878,3,Were sequences from the paper made publicly available?,No
26311878,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
26311878,5,How many individuals had samples obtained for HIV sequencing?,0
26311878,6,From which countries were the sequenced samples obtained?,Not Found
26311878,7,From what years were the sequenced samples obtained?,Not Found
26311878,8,Were samples cloned prior to sequencing?,No
26311878,9,Which HIV genes were reported to have been sequenced?,Integrase
26311878,10,What method was used for sequencing?,Not reported
26311878,11,What type of samples were sequenced?,Not reported
26311878,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
26311878,13,Were the patients in the study in a clinical trial?,No
26311878,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No
26311878,15,Which drug classes were received by individuals in the study before sample sequencing?,Not reported
26311878,16,Which drugs were received by individuals in the study before sample sequencing?,Not reported
26559830,1,Does the paper report HIV sequences from patient samples?,No
26559830,2,Does the paper report in vitro drug susceptibility data?,Yes
26559830,3,Were sequences from the paper made publicly available?,
26559830,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
26559830,5,How many individuals had samples obtained for HIV sequencing?,0
26559830,6,From which countries were the sequenced samples obtained?,Not Found
26559830,7,From what years were the sequenced samples obtained?,Not Found
26559830,8,Were samples cloned prior to sequencing?,No
26559830,9,Which HIV genes were reported to have been sequenced?,None
26559830,10,What method was used for sequencing?,Not reported
26559830,11,What type of samples were sequenced?,Not reported
26559830,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
26559830,13,Were the patients in the study in a clinical trial?,No
26559830,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,
26559830,15,Which drug classes were received by individuals in the study before sample sequencing?,None
26559830,16,Which drugs were received by individuals in the study before sample sequencing?,None
27009474,1,Does the paper report HIV sequences from patient samples?,Yes
27009474,2,Does the paper report in vitro drug susceptibility data?,Yes
27009474,3,Were sequences from the paper made publicly available?,Yes
27009474,4,What were the GenBank accession numbers for sequenced HIV isolates?,KU761565
27009474,5,How many individuals had samples obtained for HIV sequencing?,1
27009474,6,From which countries were the sequenced samples obtained?,United States
27009474,7,From what years were the sequenced samples obtained?,"2014, 2015"
27009474,8,Were samples cloned prior to sequencing?,Yes
27009474,9,Which HIV genes were reported to have been sequenced?,Pol
27009474,10,What method was used for sequencing?,Sanger sequencing
27009474,11,What type of samples were sequenced?,Plasma
27009474,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
27009474,13,Were the patients in the study in a clinical trial?,No
27009474,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,
27009474,15,Which drug classes were received by individuals in the study before sample sequencing?,INSTI
27009474,16,Which drugs were received by individuals in the study before sample sequencing?,"Tenofovir, Emtricitabine, Elvitegravir, Cobicistat"
27124362,1,Does the paper report HIV sequences from patient samples?,No
27124362,2,Does the paper report in vitro drug susceptibility data?,Yes
27124362,3,Were sequences from the paper made publicly available?,No
27124362,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
27124362,5,How many individuals had samples obtained for HIV sequencing?,Not reported
27124362,6,From which countries were the sequenced samples obtained?,Not reported
27124362,7,From what years were the sequenced samples obtained?,Not reported
27124362,8,Were samples cloned prior to sequencing?,Not reported
27124362,9,Which HIV genes were reported to have been sequenced?,Not reported
27124362,10,What method was used for sequencing?,Not reported
27124362,11,What type of samples were sequenced?,Not reported
27124362,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
27124362,13,Were the patients in the study in a clinical trial?,No
27124362,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No
27124362,15,Which drug classes were received by individuals in the study before sample sequencing?,Not reported
27124362,16,Which drugs were received by individuals in the study before sample sequencing?,Not reported
28559249,1,Does the paper report HIV sequences from patient samples?,Yes
28559249,2,Does the paper report in vitro drug susceptibility data?,Yes
28559249,3,Were sequences from the paper made publicly available?,No
28559249,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported
28559249,5,How many individuals had samples obtained for HIV sequencing?,Not reported
28559249,6,From which countries were the sequenced samples obtained?,Not reported
28559249,7,From what years were the sequenced samples obtained?,Not reported
28559249,8,Were samples cloned prior to sequencing?,No
28559249,9,Which HIV genes were reported to have been sequenced?,Not reported
28559249,10,What method was used for sequencing?,Not reported
28559249,11,What type of samples were sequenced?,Not reported
28559249,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No
28559249,13,Were the patients in the study in a clinical trial?,No
28559249,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No
28559249,15,Which drug classes were received by individuals in the study before sample sequencing?,Not reported
28559249,16,Which drugs were received by individuals in the study before sample sequencing?,Not reported
29373677,1,Does the paper report HIV sequences from patient samples?,Yes
29373677,2,Does the paper report in vitro drug susceptibility data?,
29373677,3,Were sequences from the paper made publicly available?,
29373677,4,What were the GenBank accession numbers for sequenced HIV isolates?,
29373677,5,How many individuals had samples obtained for HIV sequencing?,
29373677,6,From which countries were the sequenced samples obtained?,
29373677,7,From what years were the sequenced samples obtained?,
29373677,8,Were samples cloned prior to sequencing?,
29373677,9,Which HIV genes were reported to have been sequenced?,
29373677,10,What method was used for sequencing?,
29373677,11,What type of samples were sequenced?,
29373677,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,
29373677,13,Were the patients in the study in a clinical trial?,
29373677,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,
29373677,15,Which drug classes were received by individuals in the study before sample sequencing?,
29373677,16,Which drugs were received by individuals in the study before sample sequencing?,
30053052,1,Does the paper report HIV sequences from patient samples?,
30053052,2,Does the paper report in vitro drug susceptibility data?,
30053052,3,Were sequences from the paper made publicly available?,
30053052,4,What were the GenBank accession numbers for sequenced HIV isolates?,
30053052,5,How many individuals had samples obtained for HIV sequencing?,
30053052,6,From which countries were the sequenced samples obtained?,
30053052,7,From what years were the sequenced samples obtained?,
30053052,8,Were samples cloned prior to sequencing?,
30053052,9,Which HIV genes were reported to have been sequenced?,
30053052,10,What method was used for sequencing?,
30053052,11,What type of samples were sequenced?,
30053052,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,
30053052,13,Were the patients in the study in a clinical trial?,
30053052,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,
30053052,15,Which drug classes were received by individuals in the study before sample sequencing?,
30053052,16,Which drugs were received by individuals in the study before sample sequencing?,
30803972,1,Does the paper report HIV sequences from patient samples?,
30803972,2,Does the paper report in vitro drug susceptibility data?,
30803972,3,Were sequences from the paper made publicly available?,
30803972,4,What were the GenBank accession numbers for sequenced HIV isolates?,
30803972,5,How many individuals had samples obtained for HIV sequencing?,
30803972,6,From which countries were the sequenced samples obtained?,
