PMID,QID,Question,Answer
40872801,1,Does the paper report HIV sequences from patient samples?,No.
40872801,2,Does the paper report in vitro drug susceptibility data?,No.
40872801,3,Were sequences from the paper made publicly available?,No.
40872801,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported.
40872801,5,How many individuals had samples obtained for HIV sequencing?,Not reported.
40872801,6,From which countries were the sequenced samples obtained?,Not Found.
40872801,7,From what years were the sequenced samples obtained?,Not Found.
40872801,8,Were samples cloned prior to sequencing?,No.
40872801,9,Which HIV genes were reported to have been sequenced?,Unknown.
40872801,10,What method was used for sequencing?,Unknown.
40872801,11,What type of samples were sequenced?,Unknown.
40872801,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No.
40872801,13,Were the patients in the study in a clinical trial?,No.
40872801,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No.
40872801,15,Which drug classes were received by individuals in the study before sample sequencing?,"The individuals in the study received the following drug classes before sample sequencing: NRTI, NNRTI, PI, and INSTI."
40872801,16,Which drugs were received by individuals in the study before sample sequencing?,"The individuals in the study received the following drugs before sample sequencing: Abacavir (ABC), Zidovudine'(AZT), Zalcitabine (DDC), Didanosine (DDI), Lamivudine (3TC), Stavudine (D4T), Emtricitabine(FTC), Tenofovir (TFV), Nevirapine (NVP), Delavirdine (DLV), Efavirenz (EFV), Etravirine (ETR), Rilpivirine (RPV), Doravirine (DOR), Amprenavir (APV), Lopinavir'(LPV), Atazanavir (ATV), Derunavir (DRV), Raltegravir (RAL), Elvitegravir(EVG), Dolutagravir (DTG), Bictegravir (BIC), cabotagravir (CAB), Lenacapavir (LEN), GS-CA1, Lenacapavir (GS-6207)."
40938120,1,Does the paper report HIV sequences from patient samples?,Yes.
40938120,2,Does the paper report in vitro drug susceptibility data?,No.
40938120,3,Were sequences from the paper made publicly available?,"Yes, the sequences from the paper were made publicly available."
40938120,4,What were the GenBank accession numbers for sequenced HIV isolates?,The GenBank accession numbers for the sequenced HIV isolates are PX133190-PX134237.
40938120,5,How many individuals had samples obtained for HIV sequencing?,1260
40938120,6,From which countries were the sequenced samples obtained?,Not reported.
40938120,7,From what years were the sequenced samples obtained?,2019-2022.
40938120,8,Were samples cloned prior to sequencing?,No.
